"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ac5402de1ddf427ab8d2b0a8a0a44f19","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"2a2947125c677c6e27898ad4e9b9dca7","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","WAL_1855D",NA
"0cc2420a6a4698f8bf664d50b17d26b4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA
"6a17479edbe461431433bddb084f731e","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"010f0ac2691bc0be12d0633d4b5d2cc4","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA
"058ed3f9b3464dcd2af7145b3b9c9026","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","1-68",NA
"5e151aa3f416a2fa6f0a1d8985282783","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Finegoldia",NA
"a66dd8d31584930c2b0f811f572dddcf","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",NA
"de61860db8d93da85692dffb5cf32ab9","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Phascolarctobacterium",NA
"5b6a30b5a900999d91448bc79c5e14d4","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus",NA
"8937656c16c20701c107e715bad86732","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"25def15fb42bed6855ede4893d27a21d","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia",NA
"f7686a74ca2d3729eb66305e8a26309b","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"d73c014c9a033812619aa44e9cae934f","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Varibaculum",NA
"eea6b86c0c75e740670ccc50613b1b23","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"0f0a1f8c92368be6e8d3145bd4e94cd1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus",NA
"180b74e94caf35fac5e1f0f4b7ad9d9f","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Odoribacter",NA
"ed1528f4822674c9e1da64b84c778e9f","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"0f92fcc184a951ff8b0914467ad2f8f9","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",NA
"60c57911662a9159dfdd0fc05d975a55","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Gemmiger",NA
"148c7eb0139bbc1b8c87dd31464742e4","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes",NA
"ad7bc2bb6e1ec90a9bc3c8949bce80d6","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]",NA
"d56536a97c18adccf18eb08958d93345","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"a9387e76477da8688775569cf540191b","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","SMB53",NA
"f95daccc7c507e37800de5207028b992","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus",NA
"1ad289cd8f44e109fd95de0382c5b252","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium",NA
"5ff715b26c5f3632a12da2d4dbd758bd","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus",NA
"e2c3ff4f647112723741aa72087f1bfa","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"b45c9784d674879d68d54362419a1d70","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",NA
"446ec4331e4894b14be920825fc962a5","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","ph2",NA
"237135dc8b20f922cabee934f7d410a1","Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae","Turicibacter",NA
"0eb15dc6ca644533da15764998436274","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",NA
