"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ac5402de1ddf427ab8d2b0a8a0a44f19","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"2a2947125c677c6e27898ad4e9b9dca7","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","WAL_1855D",NA
"0cc2420a6a4698f8bf664d50b17d26b4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","onderdonkii"
"651794369aeb3db83839b81fe49c8b4e","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"e6a34eb113dba66df0b8bbec907a8f5d","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","putredinis"
"79280cea51a6fe8a3432b2f266dd34db","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"d39f37b814ebd81091a949f8bd9d1710","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","caccae"
"6a17479edbe461431433bddb084f731e","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"010f0ac2691bc0be12d0633d4b5d2cc4","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"576c2135e8ddf9d0a3674a5937d2466d","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"fa1d5d724ccb4287e07ea1caa9d35502","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"04c8be5a3a6ba2d70446812e99318905","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"d05c86b5bfc092d8677507fb1eae8d66","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"059c8f8bb468064b134ea6d3661761ea","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"058ed3f9b3464dcd2af7145b3b9c9026","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","1-68",NA
"7a9469ff27dc7afffdb7238976da0a6e","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"4d04d759f5a6615dac43060726239891","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"846b433f433cbb20d6208bd54067f911","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister",NA
"cc42ed01e236e8f05d25a7310d47e354","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"877f27b47c85f6b2d3cf8a6aa86def40","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ea2b0e4a93c24c6c3661cbe347f93b74","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"f837443696652157e220ae13e330e0e6","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus",NA
"5e151aa3f416a2fa6f0a1d8985282783","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Finegoldia",NA
"a24dae6b87885a55d81df1ea6d1abaf5","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"fcab01e402145abc9e946d12aad1cde5","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus",NA
"a66dd8d31584930c2b0f811f572dddcf","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","distasonis"
"c162a4f3943238810eba8a25f0563cca","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"b0645cbec7653c887cb868a248d95874","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"de61860db8d93da85692dffb5cf32ab9","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Phascolarctobacterium",NA
"149e7d5e484d157f2ac6140a2111618e","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"cae14798faeabb8e1b8840e712839921","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"5b6a30b5a900999d91448bc79c5e14d4","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus",NA
