"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9"
"sim1",2.23991706123441,3.33183354585439,3.45335423480175,5.64636461590427,6.25074883780117,5.64671426943241,8.51121237610634,7.85566236692358
"sim2",2.12899096077429,3.25697483068797,5.23398170895264,4.57722106999853,4.60011362071969,7.55716306783621,6.80729585667063,7.75434675444405
"sim3",1.85102854672864,3.99095780234235,3.31342476519073,4.80360509607703,5.64926501324789,6.91234324221979,6.33727941951553,7.48903046018464
"sim4",1.85062558062532,3.43455223764098,5.37146296265405,5.5628951581772,7.20095694063129,5.88862088471707,5.87911768920383,8.220918990464
"sim5",2.78108979690021,4.98304206905849,3.66130179409831,4.78800409982658,5.7390561860497,5.41320671257448,6.41678578590491,9.39377383962992
"sim6",2.17332456413118,3.26972100227077,4.68897682925178,4.57379931072588,4.46813781769796,5.11989220986619,6.15354866906205,7.05110730589434
"sim7",2.21825014631644,3.32711209148526,3.40881475426347,4.72083972078626,5.45199216948792,5.33343929924705,7.91186395915756,7.45893470457344
"sim8",1.65477679533494,3.19929075987615,3.4664980757975,4.41068701456041,5.48905400784309,6.5700960812795,7.44150497705604,8.63829831738613
"sim9",3.04066544572231,2.59687101668097,3.93747911316278,5.74479834214836,5.97086349390085,6.13544781033492,5.46664293602611,8.34987468286326
"sim10",2.30644733184651,2.58571608390946,4.0105614875459,3.51469876412864,6.2699718649185,6.63163601811827,6.97561630788617,9.25444879177297
"sim11",2.96225119248667,3.88572165924668,3.68000589958075,4.9845795023584,4.45207284334402,5.21934636426477,7.61064793745457,8.35242082171466
"sim12",2.38056880082906,2.78878116321001,3.3755311048507,4.01196496641817,5.58278453755296,6.16083161045506,6.82340624106949,7.80330536024484
"sim13",2.37604314049269,4.34547883941521,3.82465245198893,5.27460560307282,6.10295067926103,5.98266970415568,8.40258521812517,8.27133242554347
"sim14",1.79331699336896,3.57355690641443,4.87889821087485,5.40571394015871,5.46921250670649,6.01046522966598,7.47682049820288,8.42358907532719
"sim15",2.6438019200969,3.5481185009439,3.39895594500717,5.2744413509359,5.42617310546399,6.60016531428834,6.3856638584684,7.82843802867419
"sim16",3.53587437283323,4.71278205103664,4.07558945427313,4.34561263328228,5.54844024178053,5.30413006801821,7.27511867793797,8.32186968077959
"sim17",2.71750492301443,2.69833536906432,3.25071672700936,3.58077512608098,6.42783419758995,7.1470727836226,7.70573821345125,8.71375932421776
"sim18",2.48229358896444,2.75236931124533,5.03664680762176,4.49421795915665,5.85482429222732,6.75896872547849,8.89858775315086,7.27458078304902
"sim19",2.11582110842023,2.67341336445995,3.56197159113451,4.71458113427464,5.61892659876317,5.69683872319378,7.94564765956028,8.29455936589276
"sim20",2.03106698925144,3.76565661852971,4.19489182963868,4.88490260280317,6.51682107037215,5.93318722855843,7.10484129690361,7.52322878593645
"sim21",2.3518031791209,3.6332819444058,3.35243816376902,5.38157446970755,5.96491068789059,5.97207523254891,8.60745737210252,7.8514299135336
"sim22",2.22169506212201,3.28782143662726,3.49833196754238,4.09944720858469,5.78961494623007,5.95906526939386,7.65120816996775,7.26503499698294
"sim23",1.62733780659214,3.15603912193354,3.02495356840492,4.29875176362491,5.66805972116552,6.58726806801154,5.79639311851974,7.98025701449785
"sim24",2.24025851346376,3.83293897494782,2.66067274716744,4.68872837433898,5.67747784207056,7.60426192454982,6.09720347917147,7.51209317957306
"sim25",3.21635475960478,3.11069013952615,3.79300112354968,3.76194543321479,5.60297957533292,6.27237793248082,6.99074449030124,8.43026005598267
"sim26",2.09352391854945,2.82053341422488,3.75192987254551,4.34216462327523,6.51712842616465,6.26462860596072,7.02518456005424,7.02837716917126
"sim27",1.83379510194084,2.63047986636549,4.67989247270259,4.31042016760719,6.26981429799694,7.42108301680129,7.81966964028403,7.25979837504721
"sim28",1.54098797939609,3.12669656904776,4.46961144470824,5.154807254919,4.7269472208451,6.09019680706491,7.71435302333196,7.33692690030999
"sim29",2.3095336624905,2.74684966288575,4.84112795264535,4.8627027681818,5.54246431012826,5.74061589355924,6.05329636832385,7.24441863720298
"sim30",2.24982399244655,2.80809217515063,3.52684989714621,5.142448726852,5.29500760098395,7.34247187904265,7.81729937719649,8.54945745591778
"sim31",2.07556027268264,2.72549113860605,4.20241016966563,5.99475539890017,5.95710533594204,6.80738048175174,6.89917231875103,7.13273122235322
"sim32",2.88452529153413,3.55318012976456,4.99454532406138,4.95522561885451,4.8751728943975,5.08057642687989,6.34145371280666,8.08893851040385
"sim33",2.36251082075114,2.69956528694838,2.97830896293584,3.24810192336075,5.99250941875134,6.01822814518356,6.03291612592426,7.77587669385605
"sim34",2.09630641300548,2.76226976931517,3.6003456828675,3.6434200926221,5.48239618778625,7.29443641118244,7.9447617344438,8.36899742352425
"sim35",2.20386706875353,3.72724277281799,3.49035836553247,4.38510496626001,4.68273643015095,5.98396468963487,7.33989321180252,9.34253730510211
"sim36",2.30772136040419,4.67424356239378,4.44640766037136,5.27736512474353,5.14435957449954,6.92158040937695,8.53382164251032,8.03184252228442
"sim37",1.96689842796117,3.23837965694738,4.26866151820039,4.71084715962384,5.35975276073528,6.94214336219107,7.24696655284493,8.19892399266106
"sim38",2.78803419372673,3.14090417914938,4.124499322612,4.74213266083087,4.82625210648375,5.88253481934888,7.21695925137909,7.50146710569865
"sim39",2.352279073336,3.16606678838674,4.37726673885064,4.21904505065752,5.34009933736942,6.68129383934142,7.1315002284256,7.96189353661627
"sim40",1.76560290230859,3.35978178998048,3.65162785377856,3.97169204308906,4.85441432763805,7.16571731809381,7.34117331799386,7.99148434022767
"sim41",2.02865603979371,3.80896231738169,4.23398557916552,5.65280075135877,5.84027095075476,7.28385413825541,6.74008174377502,7.6639882933049
"sim42",1.95083973516226,2.88852058641875,3.41315935827177,4.57231461532903,6.01069887021704,5.13412008621409,6.59926600859613,8.80031808257147
"sim43",1.39129696966472,3.60588137929883,4.26944749105244,5.67759080216821,6.13300841175063,5.78001277098851,8.54364999904434,7.34358194553111
"sim44",2.09263953340149,2.49214095395275,3.60921900601903,4.93166819884143,6.19009684539081,6.96310242997343,5.96594455657771,7.77149317296017
"sim45",1.9530584437956,2.4254094912861,3.4599881751522,4.34450147548346,6.38913987375167,5.97044861200209,7.74183981893311,7.38644988408189
"sim46",3.1230846020917,3.00964912123397,3.44581474596946,3.91889163979873,5.85565093000723,6.09089564855487,7.08186186174148,7.25533464324877
"sim47",2.4314612470035,3.26373594628198,4.0643447936314,4.35276059918941,6.07711587106684,6.8115499601407,8.43085119709939,7.77129402105857
"sim48",2.91470825551744,2.97525341554893,3.86773375197062,5.39050479191596,4.82084387766523,6.72675230931916,7.36918357146053,9.13335327403061
"sim49",1.72315544500252,3.01103959702131,2.33347243701197,5.10182215341368,4.95477840454663,6.41207203536219,6.5976035894837,7.14159645165516
"sim50",2.53286967284853,3.73658655613054,3.24519464705895,4.85177641195612,4.79187399989547,6.35411360543771,7.60422236160537,7.86735515191466
"sim51",2.77218001667417,3.87474555780098,3.69470026753581,4.44854691719659,6.31488109262286,6.47792123465882,7.1257954166996,7.1687191712726
"sim52",2.37468355917841,2.73162098136435,4.78244383327998,6.23813297663878,6.06548595670746,7.28838031406928,7.30471090740248,7.67506357924622
"sim53",2.59518967943856,3.69511364555771,2.92565501766556,5.00712437711941,5.50180261628616,5.66740673318391,6.93597983059383,7.23892734098669
"sim54",1.76135031186763,3.0359419073202,3.42975898194963,4.37571009717792,6.21861415333069,5.97922181158338,7.5588849130219,8.49983978540303
"sim55",1.86884516438544,3.39292926236062,3.33512882813515,4.30622323784588,5.49252832926518,6.63234942392657,6.83877381910475,7.01446653622491
"sim56",2.57883467312209,3.08776998804992,3.99404467479108,4.76760180793767,6.39243911879346,8.09659617287912,7.72063881011604,7.54184075410136
"sim57",2.26716424381936,2.90549065784996,4.66908426807761,6.12241073773788,4.8859212203855,6.8864802419138,7.77372479393862,9.13137704954528
"sim58",2.58680237953931,4.60960435079308,4.75605088685602,4.54222933008452,4.92414634117047,5.65495156121581,7.35883020050832,8.2489027443828
"sim59",2.26922311483493,3.2983299559847,4.10736634127863,4.7585291965479,5.31434986472826,5.99201840936848,6.98219089335836,8.07304223488903
"sim60",1.79445873114262,2.60409254352146,5.03129241167029,4.67825039366048,5.64544914016919,6.38782873090727,7.03275292586697,7.21267617976779
"sim61",2.68892710518552,3.96680498082018,3.81891660245452,5.43942096134271,5.1835665351238,7.68569795593797,7.96212211203912,8.96203655266686
"sim62",2.51680971742011,3.03677010063702,4.15760692540447,5.30993137501458,4.84581291702582,6.67967961830668,7.36219498338518,7.36901833457558
"sim63",2.69932018861243,3.40227194027584,4.97917837265966,3.96192991309669,7.22927439676158,5.75190391855012,7.57548241360491,7.08908491188949
"sim64",3.27757699156923,3.39235047468818,3.52858072466731,5.26612463986046,5.76789182410049,5.63948269969505,6.25680239060506,9.84738348763859
"sim65",3.15162090143591,2.82976376614626,4.71194951049083,5.0981343128349,5.24828421549473,6.70584685143293,6.9105247516064,8.87123225983355
"sim66",1.95466453205293,2.71325414335712,3.91415928560734,5.77215044679021,5.10886548885685,5.52491077596725,7.46369827451518,7.70453377074521
"sim67",2.71307764969473,3.67800580732862,3.93805423334538,4.44310616050682,5.37782501094477,7.44046641371315,6.55183029020878,8.07854567007109
"sim68",2.47436432361221,2.58062160052784,4.27078841966474,4.52387885202048,4.88213695391612,6.2133823266206,6.39707518125238,7.77571661633118
"sim69",2.74062111739081,3.61196711327063,4.46344881984609,5.27463443888934,6.13830161917861,7.88345068518267,6.97705619787948,7.62207414977767
"sim70",2.53478184575254,3.16863008137893,3.78342310053588,5.07708487814212,6.27909784755924,5.80924864992545,7.20569026470576,8.5383591907124
"sim71",2.10463680926301,2.76915972027296,4.16261919800382,5.15353736918853,3.88737844463866,6.67024142566173,7.331002703344,8.83485152060327
"sim72",2.71992503921954,3.37666939515764,3.08916897849203,5.83839979198806,5.14792480715141,6.62218914664777,6.8853242249999,7.37220146689423
"sim73",2.30674857630572,2.2673483918887,4.38642298258391,4.84118834249776,5.27760265363597,7.19264575605503,7.95300324610687,9.18891682535461
"sim74",2.67656811958913,3.21474131112823,3.35157512068369,4.964451445006,6.53554504184489,7.40379302446,7.2958429105317,8.31138289870163
"sim75",2.74034899423013,2.39681636525857,4.6210959065285,3.62133761070057,6.82057016872865,5.96948679483043,8.3861467000597,8.61954187888464
