"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9"
"sim1",2.46851058747086,4.08499987964252,4.08786213555657,7.55726771265923,8.33520377630677,6.55830761001162,10.20836722224,10.8703411647982
"sim2",2.47025187398164,3.7471607804219,6.61036436404277,5.82239518347756,5.08411230233029,10.1557257672192,8.84978939951162,10.3873537797415
"sim3",1.97781606532604,5.09294736933071,3.04402661650742,6.34746267937184,6.71408267428744,8.35851584392826,8.82520610475656,9.65195184363367
"sim4",2.183679435697,4.47996962491844,5.7914228956897,6.14269740370876,9.36791070658369,7.28530992340762,6.90036775810153,11.2748277380687
"sim5",2.67869157512852,6.09432281000804,5.60547404166837,6.46442533600151,7.06468151173676,6.32824913695497,8.11739754609166,11.9634285344192
"sim6",2.61558436991962,4.04011597159402,6.67724987571967,5.26268855140717,5.94645480700738,6.63542007321661,8.18239300685228,9.57029740103846
"sim7",2.92118793283868,3.874144363667,4.77495452656618,5.6687795252263,7.27365497581472,6.60993420153462,10.2273137168837,9.28873481400556
"sim8",2.17699914066577,3.34549855023436,4.36544483158841,5.30849429580605,7.25097869213679,7.98503677703232,10.0690659193099,12.017995923173
"sim9",4.02874148713188,3.03146913859978,5.6097369542305,8.2633477951479,7.99649145100897,7.09472849037988,6.12689472499856,11.6187704952607
"sim10",2.67152903039923,3.28001679271415,4.74965352298382,5.19457907091249,8.78322722742561,7.7288173977737,8.83602835688158,11.8848356564331
"sim11",3.54077493238416,4.07826064733931,4.30707889031162,6.3733286238614,5.45594477000583,7.55253851778791,11.4045037597293,10.3037647852533
"sim12",3.1045641043541,3.09051209389724,3.90241485277266,5.2287817834463,7.15631331483347,8.67866260523683,9.75757064432685,10.4125018644833
"sim13",3.19565755000131,5.15900123136842,4.34424914506377,6.59755074950354,8.80721518766202,7.71785809848284,10.8551193381341,10.1036684391429
"sim14",2.38368739378364,4.65595487751346,5.13201708640434,6.85766802333738,7.60954663636146,7.5215545703964,10.8952134165169,11.6375848028891
"sim15",3.02093218067755,4.75307918612459,3.98827579341271,7.23354302886311,6.20870767712853,8.45233138831767,7.61932011242977,10.2874445982363
"sim16",4.68006254758035,6.32244672734553,5.09554374094985,5.02731903992866,6.49149119414027,6.50452002465726,9.08009773096116,10.7834450642193
"sim17",4.64976216024594,3.0798888804207,4.37558732335417,4.9054860270648,7.92400657424047,8.91048941965744,10.0595396346017,11.9242622295664
"sim18",2.59335935209899,3.06327367369266,7.55433389885495,5.01988136524037,6.50699809512474,8.77804188449936,11.8370327704907,9.02796092499195
"sim19",2.92543536488472,3.17464084480713,4.98106029427047,5.99946276848207,7.22189846892007,7.4404184398661,9.99162114459509,10.4287509945414
"sim20",2.42908430002978,4.38519939477942,5.02615259931998,5.82660499897371,8.22634456969561,7.65851324893172,9.18173517276771,9.84594099901665
"sim21",2.94538232234886,4.08960596951828,3.92504906497727,6.4074949680016,7.38487353338525,7.66437775509608,12.0617856116779,10.1948187790912
"sim22",3.00076496456331,3.83038778370762,4.30756553863514,5.57499545740028,6.99923113800583,7.68466985660608,9.84414006573664,9.76672571400735
"sim23",1.81345060321225,3.76138818061279,3.18251899307205,6.12571513314204,7.73091879255949,9.55399492997793,7.72400468698249,10.3517387943686
"sim24",2.00351760504248,4.28860421914062,2.77655582125073,5.51173811674528,7.40070383860374,8.35691155590063,8.85661835155357,8.98906755670117
"sim25",4.40492816856134,3.82216810765648,4.65111909954185,5.50592310169159,8.38447107664844,10.1632364999958,9.69641417779194,11.7762643798462
"sim26",2.50333107320771,3.75746343230291,4.33077597964338,5.8700147837875,8.98001226294778,7.07221120405507,9.02026814701979,8.67930642158917
"sim27",2.2839622709456,3.25881083845836,5.8533212930136,5.40876665759741,8.04682649395667,10.1558226844902,9.6535559314135,9.42185525257539
"sim28",1.88606135991192,3.37492442913504,6.27373159538606,6.20710641167103,6.24835086518344,8.61056607348618,9.84282613384596,9.68407266853818
"sim29",3.24125390677634,2.87441678027532,6.0334908449626,6.72869403767837,7.39545007652197,7.56938764321783,8.81672444160771,9.1142029015971
"sim30",3.52760518337494,2.95009568650004,4.95227682773885,5.89988455447658,6.12254768785936,8.7042352113961,10.5846677561286,10.5348463930578
"sim31",2.36390148199219,3.72760011599676,5.6947296623917,6.96497819537849,7.93736528821455,7.96626905483862,8.37446910013505,8.70623984817966
"sim32",3.44614776509287,4.41177062915346,6.68848137770273,6.14895644814267,5.94395793817972,6.72979642480736,8.87344407238521,9.61921885458641
"sim33",2.84644166127919,3.40211919167197,3.34829324726533,3.67910383921892,6.96653646475627,7.67588445853403,7.51283344815749,9.56622348340268
"sim34",2.81442723034196,2.9332954433907,4.27808695476991,4.57324015624084,6.38964666246964,9.01824475436269,10.3431056465751,9.7599745860867
"sim35",2.81832392819237,3.87333158509355,3.85850297359202,5.76949499750789,6.81332786000199,7.47476149780237,9.23556792946734,12.248275003279
"sim36",2.28260608780193,5.47294622906441,5.14590461963569,6.52130649131033,6.77748212454421,9.5760078710603,10.8494396608407,10.801709200195
"sim37",2.30086414295066,4.18759536666754,4.72189197595852,5.78603886560008,7.21177198681723,9.00206497922885,9.36068052479879,10.1766953031792
"sim38",3.54094119844096,4.38729850669034,5.61101066490632,5.63038937463449,6.10996152186728,7.23062326558839,9.11075307454596,10.3362126572284
"sim39",3.07605955176517,3.93559921646918,6.21430619756217,5.69218118924436,6.57002416581264,8.20923664379251,8.56210643545541,9.84961752620837
"sim40",2.19522516788712,3.91187785554993,4.20255779663474,5.47064948987595,5.93212463775766,9.18199152199955,10.0028617671247,10.4839746324712
"sim41",2.84234412100076,5.27340114198008,6.21646823578308,7.14524659073505,7.19022829484175,10.43568982784,8.68463094290327,9.67979670330568
"sim42",2.29333204391377,3.56307707173361,4.80292624142726,4.94054289161918,8.39482510513596,7.18088321030394,8.69735529614223,11.7454314825836
"sim43",1.59287645707486,4.94733336918142,5.92866947348885,7.1272257277101,8.44934963013253,6.7916285800883,10.7159316386393,9.13349143394419
"sim44",2.54333095605895,2.82921404356906,4.55722008421771,6.34586797778076,7.81519325236025,9.14857985570851,7.20238746347822,9.85307009522273
"sim45",2.41167076385343,3.13380803468165,4.87841202785608,6.24288240481693,7.95267985092364,7.45167277738631,9.50426817765297,10.1051696529652
"sim46",3.53634645248821,3.40425881946201,4.51815676360244,4.13569526105593,6.05970558592101,7.29483245288489,8.96581440349086,9.56610344900152
"sim47",3.4928641097095,3.9554463238277,5.22160067696341,5.71362975448689,7.60684760587383,8.84427966122242,11.9503380519911,10.3225609124234
"sim48",3.85449769741111,3.39585099058321,4.87999903720017,6.21784819984732,5.95336532376845,8.90024488133423,10.5723870197065,12.1810983740443
"sim49",2.10760842933352,3.93029724550027,2.80583928182678,6.56908033122695,6.37570514541448,8.13493701540236,8.75614206217266,9.4057799301573
"sim50",3.01977013383611,4.06268355027319,4.61175620256397,5.06951802642056,6.82771068462119,8.04017757613913,9.91189792791962,10.1991429947959
"sim51",3.65697417238004,5.11214553605038,4.69753828987177,5.57373038415824,7.39751550963372,8.31885994595049,10.2059849128045,10.7402363980333
"sim52",2.43553923526264,3.32774567146047,5.19011445983385,8.17553779190874,8.29941537062099,8.96956378924896,8.7357428811153,9.57442875901252
"sim53",3.48582846976648,5.86368122955671,3.36928031871366,6.50117309169112,7.37209251092376,7.72304314417286,9.94191502425005,10.1823098318981
"sim54",2.71705830246127,3.88166797243074,4.95919045043076,5.26159753065433,7.61747538419521,7.25498558140824,9.47673777281943,9.85280494632545
"sim55",2.14273363712083,3.64261690370523,4.0916591591727,7.20008933170642,7.07778946602966,8.17015166371095,8.70879191498574,8.37854538535153
"sim56",2.88086147854193,3.91124353659105,5.63664468391618,6.71928591310803,8.18977645733713,11.6333402165273,9.04880452251222,10.3819183274092
"sim57",2.70135662122079,3.59341066028675,6.44230156686463,7.9145250425679,7.03406229631014,8.16310712080793,10.0232804976207,11.8494936497499
"sim58",3.06768106652593,6.19088577560311,5.5225796421065,5.51180028578214,6.13320805430864,7.51911190604284,10.1488958078252,10.726801001169
"sim59",3.08579188409256,4.05666142577783,6.10176664657753,6.00246133088514,7.19230141921711,7.68183159683544,8.94980417772591,10.2810095906284
"sim60",2.13990156752144,2.6743867254341,5.84378761013434,5.09225191024506,7.26346275550251,7.5214101048177,9.75193254700014,9.24840250010518
"sim61",4.33825952598895,5.12602353665719,4.72248451649237,6.50457812255688,5.82780546622031,10.3766665012291,9.64130224272711,11.5462918138402
"sim62",4.26728986319335,3.93435654507279,4.32459645995393,7.43684235335069,6.40656365284972,9.56048128442461,8.93341230818544,10.2284435747375
"sim63",3.17050166429381,4.27938739994844,5.35973367928116,4.95689666881113,9.6021485810544,7.48428682026503,9.68738885739789,8.95334035495317
"sim64",3.4755167449405,4.98853249706091,4.52388937149602,6.94675189059306,6.88453750745036,7.37981142898901,8.01002815874494,12.325711597206
"sim65",3.31685172094866,3.99317184881485,5.83478191858387,6.48852640222555,6.8122825450938,7.9743725744398,8.2558145134823,11.3988640492363
"sim66",2.24194398615889,3.40448112969022,5.00996777030654,6.78689632447154,6.66360944050646,8.16192314462112,9.19180557448914,10.2909334529294
"sim67",3.26949853165102,5.21138668307573,5.03153703196826,6.30214229885364,6.93056317822795,9.17022622111788,8.30619566465953,11.0182629438363
"sim68",3.22763896490493,3.31249993337746,5.29506489792453,6.08914439182712,5.96820452902476,7.57980637193822,8.0617425364179,9.15920461762605
"sim69",3.44791226881565,3.90422171932011,5.3614610364401,5.46684682256044,7.33922500168935,9.65921169342418,9.25031374247256,9.63420916368643
"sim70",3.06427298142972,4.39714210615168,4.35800158059238,5.8975055956523,8.30898928177469,6.91825665813352,8.8445894358443,11.1435798696547
"sim71",2.58002311155985,4.1462009208824,6.50505508484506,6.88621740381885,4.03879205458087,8.02845019066743,9.68771283835756,11.0814617185323
"sim72",3.28281411605182,3.73179035908039,4.22038329559331,6.93890664459941,6.90664277678363,8.16935738590729,8.8913137825364,9.72470284215096
"sim73",2.83951620811105,2.39123830684894,5.68282689538484,5.91482982903787,7.08932878756703,9.05610411636162,9.55085915466391,11.1089945484755
"sim74",4.05205212220389,4.22922604983447,3.87750086302874,6.41836768430072,8.53140735964954,9.06818287431704,10.1733315623607,10.5455504347895
"sim75",3.67908785755339,3.46435865835614,5.5398469891196,4.53492078064793,7.66562192135921,6.83032575406558,11.3968860773808,10.543365191161
"sim76",2.27394535326675,3.53773873603817,5.64490998186711,5.53671253597049,6.13776648745307,9.19245145394404,9.88466286602934,10.068457121504
"sim77",4.04222705684119,3.00680298089617,5.26929669391827,6.52502466078362,4.9902506683621,10.3319687823369,8.71617104430082,12.0888396921737
"sim78",2.85446828529062,4.33939811118256,4.64512153225268,7.16865443530539,6.45122263337405,8.85539529804112,8.75204981994269,8.35771068400275
"sim79",2.55253585910791,3.7762301376327,4.36332341698098,6.37057196398161,7.88851026487705,6.89410687414605,8.17137949882343,9.08298951264319
"sim80",2.50494532789527,5.64422794001315,3.91594125360982,4.11348090376435,8.17755572622027,8.34748606722484,8.39817345798564,9.93350350425433
"sim81",1.77806906675035,1.69054296655781,4.47964628720155,6.70545537992535,6.78054500766805,6.91975763512661,7.36724641565365,9.89181138462811
"sim82",1.63930236323569,3.32670368818811,5.33772931206612,5.41886109596672,10.0631885446711,8.52642812572748,9.44849952895268,10.4345983107684
"sim83",3.51774737186188,4.59183882956128,4.33368694752786,6.19538702211055,6.44018742826866,7.29854783427537,9.69288804857617,10.584383128676
"sim84",4.03671063787778,3.57579292724754,5.05031194999549,6.87992672309544,7.07779275121605,9.20959347151273,9.81096529313297,10.3059905072138
"sim85",2.44436560950856,4.65762520779262,2.87600395970487,6.83449043397179,5.77253991726948,7.67614591524531,9.38308521195223,8.51529552358478
"sim86",3.47428708941407,3.94712756395427,4.20403456800415,6.95300512606458,8.27958483384818,7.69404637106545,10.0308126077196,10.8199562753784
"sim87",2.71710189494063,3.45499824869203,4.30435509899311,6.89103184052938,9.67637903089591,9.01832918877409,8.55343610228097,9.70053900586469
"sim88",4.80421961423991,5.44793706979656,4.69092704679631,7.02565830413446,5.95151438407933,9.11327337436019,7.88712969033622,10.6610314052783
"sim89",2.95431380385662,5.9038518870078,5.43114156198974,5.06778839133216,7.75172541620821,9.43635408318644,9.00584115210593,11.6546585108179
"sim90",3.6318831262107,3.96793975983165,5.08063752541283,4.62448725698661,6.96891082712751,8.52461394180589,9.25088129094532,9.45265170150618
