"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9"
"sim1",1.82547012263517,2.4393802444493,2.59105003627183,4.20999542005016,4.31642501170073,4.11549101938238,6.16122289941899,5.92881531857614
"sim2",1.73120496250548,2.45634277699216,3.93550953551358,3.35609461393632,3.30973304107367,5.4384423844971,4.97690521524191,5.51913579627697
"sim3",1.62973621031031,2.65538857170072,2.8669008639481,3.78890131283111,4.18781445027004,4.78176970196284,4.65802057415641,5.35858046897226
"sim4",1.65604088818109,2.6851727172371,4.28476629009793,4.01024736501685,5.53274970986901,4.35898170764722,4.65105743624797,5.7655297731444
"sim5",2.22447740307877,3.72696985454331,2.92117350899296,3.75704431960828,4.11828807277892,3.94261461559222,4.7963119066536,6.89531960581256
"sim6",1.67668987475105,2.55773641678684,3.22464738682448,3.45918565013026,3.23743586515001,3.9663585339526,4.37518241377905,5.23452734634373
"sim7",1.64292143039991,2.55710804898839,2.4925641043106,3.77764968189193,4.00668508127552,4.03941315224639,5.99869590518574,5.55598948405488
"sim8",1.59673340328086,2.64074392409043,2.82268208959296,3.43370048563245,3.94930430565067,5.06443547812946,5.29345764396881,6.32568664160408
"sim9",2.10519525680394,2.1591186874665,2.9251836458846,4.27787735762048,4.70475664119309,4.39414104453028,4.17695714905452,6.11757697890259
"sim10",1.75283738847445,2.17569283907792,2.86692809793208,2.57111939358631,4.54941042453296,4.75660727279639,5.23739226336653,6.55300788064038
"sim11",2.59474576309012,3.11658899346956,3.02412476444209,3.83585396950285,3.32276492869706,3.92525358447262,5.64857463367754,6.20041507416824
"sim12",1.85380367004313,2.01936802624691,2.64996860178587,3.11742023505079,4.44406047489509,4.63703751162874,4.72807405836545,5.71733064788177
"sim13",1.94226325500961,3.37302023412283,3.16668403641148,3.8948392437474,4.24472395743308,4.31808762212414,6.31615056305303,6.27012535638367
"sim14",1.56206389438737,2.87712531759756,3.68886972240028,4.28358766786468,3.97963949210226,4.25912542242963,5.42588809634277,5.91449681755804
"sim15",2.20258626416215,2.96763650671251,2.7366032600552,4.09115308341257,3.95977328487582,4.75057567846938,4.91470816470324,5.74206241461635
"sim16",2.89403022546651,3.64542967702195,2.98422241905837,3.21028901804071,4.0889919328755,4.00873145855185,5.36968255098662,6.00797245479211
