"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",2.10733613040811,4.31657020212824,4.16653812549725,5.59710821704735,5.33588240879793,6.17570194330986,7.45209069828195,8.24380278220477,9.62179742725056
"sim2",2.02970754216802,3.41453513232466,5.68199801549784,4.12027167689695,5.4702915999665,6.94314469856767,7.07962079953328,7.6142148964221,10.0208826459295
"sim3",2.44743487941592,2.91889328750355,6.6264735898888,6.2043891608488,5.94791342558104,6.33682617907229,7.50157161532392,7.05620734640412,7.89015440801295
"sim4",2.69768605960983,2.80543121281019,3.95738259230293,4.74037660342672,5.67163319180241,6.09577335542124,7.534096952178,8.13343003910866,7.87990867611642
"sim5",1.47762726341914,3.33904686541879,4.43740697139133,5.22720821017708,5.97833943680827,6.12430198978476,7.20070144874674,7.76557581922993,7.8521578044838
"sim6",3.6952101940772,3.14223904200598,4.59803147741384,4.43278899545783,6.99953122652824,7.4470134725638,7.57872438358717,10.0318480166367,9.02720750611566
"sim7",3.27568160122713,2.60245975223629,3.99707816806278,4.21507874928429,6.31759104836045,6.74786994600608,8.26395260797996,7.42564214573059,9.62041851107984
"sim8",2.18424633710837,2.66602380072573,5.22227023808142,5.05898431316265,6.80566531180553,7.38538419372424,8.06704997763293,8.28319250290049,8.56932373798013
"sim9",3.21978503802299,2.73701378582194,3.78377805951143,4.98869804459562,6.47005961676088,8.11770214041591,7.29878879084344,7.42203800914701,8.24241167738789
"sim10",2.47250931305472,3.05207287015771,6.19767148855437,4.87116741765677,6.75873428637472,6.92253786418525,8.26725569902685,6.76781452620771,8.66824082175478
"sim11",2.53759282203487,3.03277972223424,4.50501029834704,5.99843298654687,5.5497004520209,8.10726571586114,7.79134571335509,8.90884722046073,9.27612580298008
"sim12",2.63771214212325,3.18720394082198,4.27066440845638,4.58230670162383,6.31496744029603,5.61738146983226,8.27168697253771,9.74246206548952,7.72976838187593
"sim13",3.19823980334889,3.04853300065953,4.48495643061633,5.32416394838918,5.02503945112823,7.16319639236027,8.7057060174753,9.16031740712406,9.91932773121978
"sim14",2.76351625787107,2.81500342010164,3.40760543016494,4.49601715454643,4.85059012209408,7.11694841045748,7.46556463409413,7.68913526068464,9.15106168683608
"sim15",1.86771993710244,2.66129388851017,5.91321363198835,5.06170220051258,5.39347492189372,4.94790303693748,7.66735985273542,7.06146006250053,8.24435956927642
"sim16",2.17165831121859,3.409676806686,3.35079300758061,5.16716342526854,5.55818111170636,6.41292431354278,8.35072005488573,7.95331314159986,8.77001731922089
"sim17",2.56136538962747,4.3007751856113,3.34316893225807,5.57667707377186,5.19447655789857,7.33442751098847,7.7841670842694,8.4381030140103,9.1680491343411
"sim18",2.26180700501768,2.35972236585133,5.91143778434477,4.76642117805371,5.65395593794658,6.70406203139024,7.18993979489148,8.173451987889,8.13932816969335
"sim19",2.45013024292833,3.5040797936817,4.81642216475629,4.77547752736425,5.22105210210085,5.63270766888232,7.9351304676346,6.84920213018588,9.3186967430969
"sim20",2.54143964456969,3.79203039649277,4.80056868980474,5.72538329107636,5.51852700399001,5.72992162158257,6.83229669161211,8.30435018168523,8.40885888489054
"sim21",3.29788842119435,2.60761988742141,3.27532267754693,5.13159563091091,5.45762955759843,7.08005274866853,8.6354333726509,8.73998194110354,8.82987927137438
"sim22",2.17899978921951,2.49889851944774,3.19281381592136,5.08564196351113,5.84526504431354,6.65510538386432,7.292841860363,9.29225740546281,8.21214832779085
"sim23",1.97585725862674,2.9088672651033,4.47330500211456,6.26642789756231,5.63853655106023,7.18892160208095,8.21580379646703,7.05864009768927,9.10745469303922
"sim24",2.61121857081329,3.01702989338319,4.94434011338252,4.68146672394706,5.93247395938746,5.01664798843012,5.82787442799424,7.77513104213762,9.36360798269644
"sim25",2.79769042165018,2.37321011560376,5.42266815909388,5.53269032999365,4.99599447079091,6.31485338827607,5.70746564380599,8.39306953040813,11.0560047768017
"sim26",1.45887203974802,2.77260137004284,3.00859790079538,4.2084708152046,4.60445311949723,6.81866027603888,8.1956306604971,7.48929050136768,8.55348363542649
"sim27",2.22244540163183,3.08968339635029,4.01752945575353,3.37708719119432,4.89679357733565,6.21807994417752,5.97967231227862,9.14489088577193,7.86029839287909
"sim28",2.28058817988796,2.61197942456716,4.92825692967404,4.72758916133849,5.92616107450271,6.04596864701444,7.16989692332106,8.61298877149234,9.79933051115871
"sim29",2.20588395120647,3.52171281227787,3.89407025705316,4.54935257210833,5.719361893744,5.12372819668846,8.5065661378847,7.37606785292165,8.09787214805096
