"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9"
"sim1",4.15743375962299,6.80587678655489,7.92996243383323,12.4286018506478,15.4363102585183,14.2913169450091,20.5130222239003,21.8116507625048
"sim2",5.78714733451856,6.92245478765421,14.8001676534491,11.231219106576,9.8509485188419,19.0363461541558,16.8466607986316,19.8652647125276
"sim3",3.27068026173588,8.78729565005314,4.06423901466747,11.461513772276,11.3408689488559,17.6233810734065,16.5529948721906,20.7290505691249
"sim4",3.309256561185,9.36493945423794,11.1438091453648,12.2059679842075,21.3768452277105,16.6834277011959,14.1927697201567,22.2003321570123
"sim5",4.50422488140384,8.44216242793245,10.0949261211676,10.4214656277448,12.9480178187395,12.6414544620146,17.5703786100602,27.3856300909982
"sim6",4.6026303206696,6.85565838327798,11.9310891407554,9.86609671495243,10.2102886963313,10.4389138592016,15.3606706636711,20.662088029176
"sim7",4.94837717231198,8.12052487600762,10.0055801096295,10.153580425675,13.8068365407476,13.5635906775685,17.9068204639576,19.5324673932533
"sim8",2.19709908894305,7.37204427261723,7.62516859236231,11.6999616347817,15.0966588134282,15.8928325343181,15.3089506272587,23.9433467098427
"sim9",6.1656590281444,5.97254904365782,11.3304895889753,15.4394629823177,15.0220114477609,12.8571697337254,10.9525385100519,23.2707218016377
"sim10",6.00478017538852,6.11159281891787,9.16613058162621,10.3473370458522,17.8489931637214,12.536843502879,17.6516880447211,22.0876164282847
"sim11",7.24349208375075,6.70886976340082,8.43619037208985,14.7415048956413,9.6964717893981,11.4071475503814,21.2535914605458,21.6994203834294
"sim12",6.22025391959176,5.74945172749677,7.28633114240933,10.3074047991613,13.113924059334,18.7222764398417,17.9562569896257,23.5220814149625
"sim13",6.14501157604528,8.92938645182468,6.13930241799917,10.4666592536932,18.5395455469748,15.4766698774984,21.8726924463456,17.5691262765793
"sim14",4.20312632196821,6.56244471245357,8.66075180528326,11.239960228625,13.40144935613,16.3077295126744,21.6042537475873,21.4809556382569
"sim15",5.79729808376187,8.8975591319416,6.35356446007929,12.2576885551093,12.2363577584453,15.1352075373987,13.3098419713864,18.3036350621063
"sim16",8.97083470903406,11.1843649708809,9.82697214985045,8.54960831071333,11.5835593690351,13.8428052482458,19.152804498217,23.2958220797251
"sim17",7.86220060755607,6.29497403155154,7.63857583051939,8.1355200447953,16.6785695346022,16.2155818834203,20.9438968617445,21.9271882712747
"sim18",4.18783607381494,4.2130713897466,12.511403438444,8.53957929806322,12.3510640667762,16.841006413589,25.7618803194478,18.9724710233915
"sim19",6.6570637868108,7.8897464055543,7.16864241487368,13.7400999530335,18.4514194928185,12.9834693371844,18.6467029877818,23.3513916916966
"sim20",4.4242525072514,10.7179700545134,9.78372078111094,10.8778445136622,15.6146379318172,16.0223418104112,18.3504981079968,19.520187323129
"sim21",4.96250070720912,7.3971420371778,7.79649966888098,12.3627957821847,15.6896854895955,15.7033523382949,22.0003920950236,20.8328007458342
"sim22",5.15526789083672,8.39419462569602,7.05591859150033,10.9725520427905,15.0889056923723,14.4389922913274,20.7917213260291,20.7558830514592
