"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9"
"sim1",2.17302596631967,2.86883031873324,2.62170847195672,6.20759704722381,5.01384565270124,5.82591889015809,9.41113338212855,8.49700717750193
"sim2",2.98436766584603,3.44923881585575,6.41848815593298,4.32766222320967,3.45911269199113,7.35514651157567,6.77248682489635,8.13058243788672
"sim3",1.59226143904794,3.45517823542546,3.53188307488776,4.22627479526563,5.062432677066,6.61835163398096,6.19115090576075,7.4564248775247
"sim4",1.75164022613135,3.96817171090288,6.08791940269686,6.45121992858751,8.28725507948418,5.80488842745196,6.08736288894411,9.48912767029501
"sim5",2.25911490323551,4.96415173444343,3.84328996704109,4.86900573447598,5.5470215014842,4.86901459611112,5.62595550786407,10.445328456981
"sim6",1.70471441123238,3.56040710441597,4.64476258668301,5.14041019526615,3.23484206102565,4.15019340133575,4.84907468660476,7.64279720569758
"sim7",1.70017813412889,3.30186923394953,2.6728152900705,5.55736158705852,5.39428615002178,4.62159999378248,7.96090417786391,7.03808190924794
"sim8",1.8116258954524,4.11350273625826,3.6674747716697,4.13955566892306,6.27115498015994,8.19879587005485,6.38436458242062,8.89049549456473
"sim9",2.5547185033664,1.89553858101056,4.35248823747859,5.64922645566236,7.6433755882434,6.068544467593,5.25929830925111,8.53074775547197
"sim10",2.27270015687315,3.55464287453253,3.39717347656197,2.78415975118659,6.51038456368118,4.91121151067246,7.30634426995412,9.24921162830922
"sim11",4.05786445239753,5.09930568598433,2.97185117773437,6.30740631903798,3.33004549505435,4.35872798129237,7.6214193700823,8.90819823761459
"sim12",2.38522391178909,2.09189750522631,3.7512023721388,3.42689567256196,5.43063108733385,6.92687316939695,5.92172808620071,7.87917664862259
"sim13",2.91455307409685,4.91393054902959,3.64413756005182,4.41665159622699,6.38804001100162,5.99675927555,8.3789569844135,7.66889330452729
"sim14",1.93944967174094,4.5130058732527,4.68820318001015,5.67765844962832,5.72906145137416,7.01044482365238,7.33494391366425,7.80429958468769
"sim15",3.02420049306014,4.48781033698374,3.18560233707781,6.43793038085763,4.49708275586642,6.40064002747509,6.19930362913,7.66835429156467
"sim16",4.71539463769869,4.97979960859571,3.73845545753728,3.58944681221303,5.71886855990152,5.00249807687119,6.27638361449248,9.07524052273422
"sim17",3.04300546711357,2.26036900955592,2.82361564363116,3.08231382269019,7.0866511869817,7.28036714253362,7.97684138491036,9.59960209953685
"sim18",2.97213825543647,2.31067167890527,4.41825212514493,4.54770772429693,6.16498536398064,7.01093215599441,10.6930061873565,7.30570545951222
"sim19",2.90009539561385,3.11094398011385,4.18194573224492,5.66773740570697,5.71560442019606,5.23476847099181,7.05409805440329,9.86511366857496
"sim20",3.10434269438677,5.40885757521156,4.47049945067102,4.45334173696077,7.13238823390564,5.12445094794245,7.9908923581612,6.94945932964851
"sim21",2.87436643625087,4.28145795450661,3.4651765316258,7.24681906964499,5.36897019673382,5.5022662173183,8.56477282484809,7.56644982225477
"sim22",1.93111232106694,3.23424460687501,3.00328825404175,3.43291322752659,6.78515905523608,6.80598296053726,7.34418609639444,8.39041773794486
"sim23",1.43562611474144,2.83158656604027,3.07538739934153,3.9564119812711,6.2174605839428,7.06039695874473,5.13542851104937,8.32804579165199
"sim24",2.54721668445355,4.3313407905968,2.55499519433606,4.73428057152459,7.44216924855592,7.59846544206423,7.04281355765273,7.25602530359204
"sim25",3.61314412565504,3.24069691355397,3.9289412688467,3.92410640700532,5.73849070117221,6.40336286104902,6.56427636739137,9.56611740864569
"sim26",1.84766398520606,2.47123956693853,4.35603567673229,4.11487660581579,6.82688799677274,6.33056397493531,7.49054356935541,7.47535954877441
"sim27",1.61859524523365,3.13233375565128,4.74235157929386,4.84954588363684,6.15028190118533,8.21002066620009,7.74797895105714,6.46280302191216
"sim28",1.29459322826012,2.36854531118096,4.89603196036347,5.97704728394292,3.60581212611524,5.23589346779711,8.78661463785063,7.51186151514763
"sim29",2.37911512451235,2.68414725457643,3.41182312301155,5.22989381628618,5.13981156607832,5.32441949717583,6.79470653428142,6.96885020588226
"sim30",1.59064515672918,1.98137531542203,2.78982864460735,4.44010801221955,5.32753475287718,6.85696741488192,7.74099775335285,10.2399043412098
"sim31",2.02350210899115,2.5520265748846,3.7642622702498,7.53318592592303,5.95028759058539,7.41075865114174,6.51902047262884,6.29819045215834
"sim32",2.43193296453276,3.86016307460447,5.37894113971662,5.95238030019995,4.48923882873721,4.2490339541614,6.62945281307231,7.67033732376018
"sim33",1.84280745710755,2.31282734555382,2.79230553412077,3.25086723433941,6.50155839616405,7.14324082396316,5.18552142884018,6.89656029948193
"sim34",1.4295481943867,2.73972645758373,3.09385663834356,3.43061728559836,5.21024592254493,7.17618883763966,8.67213671393452,8.84275266398581
"sim35",1.70565479314165,3.61727289901935,2.86140421630132,4.11114983266942,4.30828099934223,5.75017344116376,8.69080591812586,9.95872001064434
"sim36",2.88631377432095,4.53968674634467,4.78972072526996,5.45708749792867,5.20152936072498,7.2158601681782,9.94584484933836,7.66587134878764
"sim37",2.35244213805267,3.24622349355203,3.84623713313946,5.98079661225271,5.15425503215551,6.74324009237856,7.97152190298888,8.04180914477335
"sim38",2.29702976049012,2.49156350734878,4.08045016779943,4.77994306928869,4.60193805610223,5.86099164417293,6.68602503527832,7.52542722455949
"sim39",2.45248902153911,2.68544497554156,4.26069770417773,4.40111907247784,4.86688572260927,7.64682623192536,7.12997607387535,8.29407311539664
"sim40",1.8080885556238,4.47730241409877,3.05389567087245,3.88588470515923,3.71919549297818,6.47954270997776,7.48180613330112,8.59557089547387
"sim41",2.72467985619966,3.46515184127846,4.46428504250773,6.04319172756265,6.65834586813793,6.07367964951474,6.72970156965887,7.73029064120469
"sim42",2.62640901589369,3.11076926420322,3.53591685860413,4.26410655799921,7.41221663782846,4.4737949968234,5.64142588740861,9.60966452512591
"sim43",1.23538772375891,4.38373907509542,4.65730932060421,6.74368568180338,7.05635299229162,5.48945451953699,9.10038591238368,7.93906897329219
"sim44",2.20902627606508,1.81645874451049,3.90958399396925,4.85565664946232,6.29004611383242,7.70732100272986,4.86066900074713,7.65285885590383
"sim45",1.83705873266686,1.62436522319332,4.34783377086964,3.87541527529326,7.01818517792658,5.45223478146586,7.71400602541649,7.462367845092
"sim46",2.70765903268886,2.88668478624178,3.02485940682835,3.37918043611515,6.62399687516732,6.90047203578542,6.89996151592939,6.60312595076738
"sim47",2.19996087619669,3.36042393563113,4.1823025779892,4.56922000909781,6.03248058872846,7.12522672922101,8.82712618661812,8.41504644030309
"sim48",3.07705107710808,2.65186900223545,4.37928151402939,5.43587465764077,4.03255991980934,6.91871780194866,8.10002891163364,10.6864673607153
"sim49",1.63601250553452,3.6976986808306,2.12242516991147,3.7790024769804,4.12853539930625,6.45188001420089,6.26567085675376,5.98048299552789
"sim50",2.41796441137405,3.31968070224356,3.37316593867289,4.90656087535405,5.3898087240286,7.35512868951625,7.7397523052328,9.07615386441945
"sim51",3.29604547767272,3.56807142368908,3.60009971754545,3.84301251369272,6.27688308681237,6.6650891294291,6.92840912390553,7.33890001059891
"sim52",2.51445184479743,2.32156064980992,5.10798722830208,6.28677582861458,6.14136420256988,8.33881063837242,7.34629069652238,7.11666335851864
"sim53",3.54132884368119,2.98519018229336,2.15939905283517,4.60410297755548,5.43102328042317,4.98230428263557,7.09461825300002,8.34259764848913
"sim54",1.65179078576996,3.16620273957167,2.71074399046903,4.55364604137532,6.75635274313936,5.17022169431156,8.6843423211853,9.76605454332216
"sim55",2.13966080075411,3.32459505210056,3.391261409872,4.12420422166941,5.66717326050508,6.37937082438091,6.27952509241912,6.59930842939246
"sim56",2.35170911549597,2.74167312043847,3.90997627960664,5.18097386896934,7.26226907494015,7.74451713268636,7.74239397554442,8.32262442566998
"sim57",2.43502913541388,3.44111170731282,4.37771574862897,5.8675620706536,4.01380786310445,7.45776565993336,7.17987929527378,8.95870613786689
"sim58",3.43825501123586,5.08951409648091,5.53088046994963,6.38491252038166,4.79736034619284,5.83492554623951,8.1430032236558,9.29651583012873
"sim59",2.17691132086525,2.71305451579819,4.0506745031001,5.10775254124242,5.15557473417168,6.25503261084305,7.79892306064142,7.69796207917082
"sim60",1.21298190965849,3.46200684527532,6.01341319293886,4.61954817075397,6.59112749854022,5.68820280329663,6.49726837310431,6.97396352499169
"sim61",2.94084757766337,4.27752825196937,3.53710916120721,5.72123638280433,5.59996602884738,9.02707913835423,9.70126653565139,9.25763768245805
