"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.733550572502894,0.723454835039169,0.741902352199921,0.727642191509269,0.74946682521212,0.730256842241696,0.825182179824693,0.748642874177596,0.7797372758818
"sim2",0.750694974264454,0.683147862582087,0.828632201700554,0.750033375237293,0.7453503772533,0.76601580980765,0.769431880905027,0.796676124019271,0.807350310735618
"sim3",0.730613974683272,0.685810817108292,0.7850383124032,0.720537972775865,0.739393559738625,0.746005451999943,0.794190006747151,0.733534557979914,0.759864118376479
"sim4",0.79634948356202,0.726754936052104,0.747507638491487,0.743451830996482,0.800775341903133,0.758436068652234,0.781988278914168,0.793848197544199,0.783434701222924
"sim5",0.663758344783673,0.737440139469409,0.811136063381518,0.795674235866137,0.763915477482733,0.79253809290857,0.75938013192737,0.739964880936578,0.762155755752311
"sim6",0.807649546517213,0.700274466784969,0.81293778476776,0.72611942505875,0.802019620701431,0.794798524165252,0.764808602201097,0.773085923125712,0.777808605957568
"sim7",0.802289551451743,0.63954028515271,0.77766676392875,0.75721302670817,0.763589746573147,0.744515889977412,0.747813053245023,0.771018862490232,0.778386606963272
"sim8",0.752891935026908,0.747296199355223,0.834754924185712,0.800330868335826,0.786714822886451,0.784055640938416,0.749970322724064,0.794088934807338,0.739617332494171
"sim9",0.830623496795884,0.737207213708148,0.77843299975282,0.720045990621754,0.804591358836588,0.78633097244348,0.753721094165117,0.749071886351717,0.758407291138662
"sim10",0.763340750620168,0.775299733690404,0.854098986442664,0.748222019426052,0.820699354420438,0.739866394728468,0.769177572078725,0.753361627864934,0.744531437148469
"sim11",0.744050567618808,0.736415892319915,0.786130478238327,0.760418743678145,0.795379904426521,0.780978782083587,0.766341514725949,0.78250888357201,0.785806730598
"sim12",0.847365561177822,0.75231270386642,0.784466187402943,0.759383068050924,0.80168173170407,0.754117541891214,0.766295530889238,0.750332766737079,0.747960252960511
"sim13",0.815735602258214,0.819241162622754,0.746219213710821,0.774344644131944,0.768090797710431,0.773640462298107,0.773331866983023,0.792703441939905,0.803007475885707
"sim14",0.749446114733979,0.773206719666934,0.697845380954159,0.756497892067714,0.749342353576784,0.78049288444384,0.76457816257739,0.764046507391635,0.772105310142453
"sim15",0.756559287188544,0.732119501660548,0.829631271321544,0.79165077763299,0.759471869924884,0.731883753694894,0.741707201895238,0.728866949820038,0.786316588645575
"sim16",0.669728785135581,0.779525138472126,0.798988997491537,0.769484356115885,0.770454910802686,0.733119465275048,0.756574742196253,0.766111439974858,0.749136569287914
"sim17",0.710129427590219,0.778550448899474,0.668536781318057,0.796757450530439,0.716244423923894,0.797169902717538,0.772833753395645,0.789395064578592,0.764811300324315
"sim18",0.712129759296999,0.695721333783963,0.79245032793322,0.725970088776082,0.782141343903687,0.767895852235696,0.730591842378843,0.77833069561978,0.746717737590801
"sim19",0.718187597089707,0.723131870772823,0.737761826946801,0.735107236503873,0.772837122224422,0.760421406740189,0.770827639305704,0.757220499778801,0.759063009342707
"sim20",0.691099775572245,0.700380470170014,0.769526883036642,0.814303411620559,0.767947582064251,0.746164193330682,0.732960823011821,0.765546404366456,0.76936105644942
"sim21",0.82494675561918,0.760918352641799,0.731750961109002,0.760774456032081,0.792441439098195,0.785448632767568,0.799785305091282,0.75544150656803,0.794172667078115
"sim22",0.698268721624256,0.763125171709899,0.767890393772904,0.760612154524152,0.74407938773626,0.767105022780248,0.746045337708022,0.75100108357661,0.754253624082081
"sim23",0.609401617869368,0.744915690952664,0.846648175115705,0.756417125703316,0.793996646449441,0.819117525722547,0.763418972291695,0.749410490985144,0.782919592621922
"sim24",0.727242271810194,0.809616207752755,0.787061973748883,0.711080855397587,0.7520516652439,0.7315878607467,0.756856997858661,0.755537792527904,0.765651533968374
"sim25",0.73240926993219,0.712219436863437,0.76968538206555,0.776305848332808,0.697701297350338,0.75852024097988,0.761451876115558,0.781013120605257,0.797938150011334
"sim26",0.672940015378619,0.748403787787693,0.675213392292494,0.741132526115842,0.720280583688379,0.743080125612111,0.731212360285591,0.762140831806778,0.783637940828398
"sim27",0.745493734853724,0.784614816298243,0.764066020983633,0.751903924075192,0.743409814311531,0.784876718149607,0.77565039756835,0.778073874949648,0.769181756991201
"sim28",0.680839475422771,0.730059566277991,0.759262248323708,0.759402054540212,0.73667443128728,0.786702933729236,0.754881329719361,0.762056867874276,0.797686259396995
"sim29",0.649075784188597,0.78353671734941,0.665655718561993,0.767262536998168,0.755641156442807,0.716008871904149,0.809499806822392,0.771332547695262,0.757442003152458
"sim30",0.675578454136844,0.813532421443269,0.698907812196052,0.808326536057066,0.788089117441551,0.746609161733806,0.775490715098483,0.770018900372445,0.763551426774425
"sim31",0.753036256450399,0.7295997214551,0.812667738298765,0.73819568237514,0.752489808625292,0.768225863492933,0.749938458584648,0.772298318560708,0.774714769385415
"sim32",0.797232853729141,0.720673962844889,0.726107549063446,0.712245111757999,0.721954972241679,0.821777694681319,0.7572845107591,0.770506420127097,0.779593575952786
"sim33",0.787111599279055,0.801718700698424,0.778848889176249,0.762906256643069,0.764130555694769,0.760568736324021,0.767236133301013,0.718628443496215,0.764103605929566
"sim34",0.738383226308132,0.791763786497137,0.755214759647679,0.772328106826271,0.79466728971853,0.79312106059327,0.752743732604892,0.776640764790566,0.816060229580357
