"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.643548587477206,0.700565455016828,0.725202810576064,0.715936070181925,0.729634631051595,0.68605685925093,0.690519274048698,0.71684972974499,0.734949187764747
"sim2",0.696537633558201,0.667438307926813,0.738001254168439,0.688688972781529,0.721565317379493,0.686852268651708,0.68645328244635,0.71378943342706,0.716254346326679
"sim3",0.686044847182011,0.672789955476012,0.747989262271049,0.74315393102006,0.721850962271102,0.720334476815795,0.718812747265559,0.686275805856555,0.675599331684865
"sim4",0.7206761482522,0.621666707467658,0.657060117725411,0.698358460704913,0.698358797215187,0.702413677296131,0.703478020562095,0.694134397178845,0.689102641123402
"sim5",0.558551742320891,0.698994373553146,0.714583840720136,0.676718043074691,0.727364827806506,0.698025315740535,0.685009269206489,0.720037921857581,0.696454343290411
"sim6",0.712451686842803,0.706066991221147,0.720054923941057,0.70890131744248,0.743188360312666,0.728961709505688,0.726896814203054,0.74240746948706,0.699606870330824
"sim7",0.672924741576585,0.679084771311936,0.672581985907363,0.679953035484514,0.690820085242721,0.710858559831513,0.721634125429682,0.699595959090956,0.684529976965819
"sim8",0.741724521330353,0.661756092103316,0.753399234409113,0.737714649022014,0.759310255653616,0.714127936627286,0.715799620036412,0.722877458904326,0.705251389087554
"sim9",0.785039178486499,0.638182144924897,0.671704427811135,0.689560455761386,0.737190931629795,0.729385097002206,0.72005879170593,0.716855250143758,0.719251810374995
"sim10",0.655216651015239,0.663902389877037,0.839897168561979,0.702923501651951,0.700517404310611,0.718173819387195,0.720436310248986,0.690195739248576,0.711921553012374
"sim11",0.638857495173974,0.677216917190289,0.724428840480197,0.730445362776996,0.713254194442349,0.719240224470298,0.71357796086059,0.710232328463833,0.710185034750702
"sim12",0.729910252310185,0.704425424206225,0.699848011535211,0.653212849881202,0.740879609471341,0.676571116385857,0.737551118898149,0.72057956573989,0.685835468516192
"sim13",0.754618981671638,0.656834536105178,0.700080734519228,0.720364859646231,0.700801955077925,0.704848536109119,0.724563500108873,0.692725791015233,0.733457511260468
"sim14",0.709601933700889,0.694448832842576,0.668783021080586,0.691441640881615,0.703936234045117,0.712103082373489,0.73268348254532,0.703160332638558,0.716226336396589
"sim15",0.604164094512088,0.615943395746082,0.734787933551385,0.75890106537402,0.709581464062762,0.681107455743688,0.72140120063274,0.695542642834669,0.70650143857629
"sim16",0.604921184306007,0.651053212803128,0.653949690146113,0.717581489770682,0.69071137441171,0.684292419804634,0.707910810159614,0.716391666368288,0.717161589441757
"sim17",0.610730595078666,0.731828553398897,0.66020075059827,0.671812807331194,0.681578711954195,0.743056438919431,0.743008009019141,0.704856715660598,0.711494405651034
"sim18",0.624285479761297,0.603197791403596,0.736604924799902,0.709100212082335,0.709255686670773,0.731325196217206,0.699154166154595,0.686856600987837,0.703583603148206
"sim19",0.607018467808203,0.688017874202005,0.704739556478469,0.687240091595942,0.698095883197299,0.684952403181525,0.693531910076151,0.688914096153036,0.747317289620993
"sim20",0.506775561381962,0.736121565693663,0.746262468596515,0.74797604976621,0.693753104181798,0.6996928581941,0.702780069646253,0.708043735930979,0.716157864233175
"sim21",0.722164304230491,0.662170899231648,0.672634333172607,0.692431038533505,0.676961769587445,0.716116505446398,0.760188292469111,0.707323347809333,0.744052084585507
"sim22",0.665219169251592,0.670663706474429,0.650942727611167,0.716980139840252,0.715704350758591,0.706457536857017,0.701095688669417,0.711883752643652,0.713824118911417
"sim23",0.665217750836192,0.703460005631155,0.722452237596146,0.737786335377461,0.702789259622381,0.687409054522806,0.714362705131938,0.682657418514972,0.742647123253137
"sim24",0.69219540749047,0.692461951604775,0.702750877620793,0.68746935818483,0.694134591523726,0.665470234832962,0.67238892124054,0.689196839891183,0.726414519179976
"sim25",0.756175918086741,0.633244625677822,0.707737617210572,0.765946979824692,0.670292170129618,0.705343450709087,0.660543636624393,0.721830501007964,0.753681389369145
"sim26",0.556090012186076,0.71761969195396,0.654340338258608,0.634590313131059,0.675551711633554,0.698304872413446,0.729251468521155,0.696379591407523,0.715430903873025
"sim27",0.673792989092412,0.76538848061708,0.71756025048808,0.661420864030688,0.682337419740854,0.724291397962638,0.703070801779484,0.727319864978409,0.717271504685068
"sim28",0.725495671691965,0.7340788138382,0.703448649984714,0.666906661639592,0.711079820816654,0.661169153200693,0.677878924707377,0.697016454252561,0.741830618772925
"sim29",0.587587487401268,0.691225729646394,0.685340330662551,0.663374253570278,0.685717071723823,0.67325459165893,0.726364516008662,0.690134972767121,0.70286826263605
"sim30",0.696470828802547,0.666637064004734,0.593552743706049,0.716098579954736,0.750613388258074,0.702031106766238,0.761143021199707,0.72957054333296,0.726031586958668
"sim31",0.627804144420943,0.691972913195285,0.781545370687259,0.680151260805364,0.670143053182334,0.696138222809158,0.722511436609237,0.714883936766497,0.702072260360578
"sim32",0.742845849516309,0.67959602137847,0.73337438689421,0.655665267326181,0.707942153783664,0.685314053482508,0.723082859895167,0.705502081830964,0.724994063439347
"sim33",0.756026812807028,0.703104246404853,0.656902762473603,0.69193772398169,0.687405863256791,0.692768091115245,0.737580951995158,0.703029181674786,0.694586946075042
