"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.721931914556119,0.702340290204448,0.716757214722947,0.71261107637516,0.722209716917041,0.701511873578791,0.794556182650677,0.735937737163481,0.76387552688304
"sim2",0.743107109296095,0.668218848417044,0.816093420282877,0.745080534776694,0.729382402779774,0.735849324476317,0.738222748900168,0.770717458284002,0.775995517566826
"sim3",0.682528148765655,0.722466909870834,0.758631489597759,0.71199109744553,0.737902640185551,0.723036206050153,0.751010090607456,0.709891000962487,0.727077167936598
"sim4",0.748917085407419,0.706246850090303,0.718699500217261,0.732931392631947,0.763220006184244,0.740519313294571,0.769840798414855,0.759344149190787,0.759562630590532
"sim5",0.625040492527905,0.750817874497264,0.803338998381944,0.791358406415952,0.756660028170558,0.731077957967136,0.750202478553587,0.718196214811887,0.739206819697565
"sim6",0.792129607888311,0.661605706658091,0.770920475744758,0.710624758026349,0.771390512199405,0.777008241692489,0.741742124324546,0.758573881231509,0.741079958409408
"sim7",0.790871087380237,0.647522391055351,0.745975409678817,0.737863487684936,0.739842087739672,0.729433162080894,0.728660298001314,0.744058043947751,0.746879006322233
"sim8",0.748508008940548,0.696790635306295,0.799747792910304,0.790795903473446,0.7762097777763,0.764296383338427,0.728209035618385,0.777886097775013,0.719594514995981
"sim9",0.678688059209933,0.713845087874197,0.751172743300913,0.677562903037308,0.793472335486127,0.78021391505468,0.736833616897424,0.726461490782514,0.739568285237251
"sim10",0.786596812668193,0.781750500095283,0.836272110111405,0.707190471934296,0.793770223644936,0.716916591394424,0.746699711296766,0.732493838953748,0.715791581423456
"sim11",0.725872519821395,0.703409288753782,0.765106737217906,0.758088458485812,0.788262137311302,0.749831076163898,0.744342838053164,0.753061995156678,0.770162287331522
"sim12",0.816097881650348,0.722854291474269,0.770988848819799,0.737062735993434,0.769164639571293,0.716751344552304,0.742469466852367,0.733403978093332,0.72260319203942
"sim13",0.770974239874305,0.820854831949311,0.697295737502649,0.735678839499872,0.74984548176746,0.745526394186592,0.752446611715785,0.76301091491308,0.786946713828203
"sim14",0.754406591878544,0.754794349893537,0.660450945084851,0.702374169198357,0.749605405717369,0.757372198578627,0.742071612435923,0.735219949525081,0.750302966625517
"sim15",0.705414020630639,0.739521409445263,0.793846062900566,0.767856434155882,0.74136237425741,0.713884975093766,0.710784515694404,0.728237447474,0.7638468793945
"sim16",0.708158502765648,0.673926290915117,0.773744402617701,0.727408186028444,0.740044497139967,0.718440609959742,0.732560160034973,0.743981955031377,0.721003176024774
"sim17",0.6841298350761,0.7344801883164,0.675926512469674,0.780987940748632,0.702298614963692,0.775107315694595,0.75555145522149,0.760153633569765,0.731158752009347
"sim18",0.719789411631883,0.664707869155476,0.777633500896938,0.719334952274908,0.778400778718127,0.745875033650007,0.699805724316891,0.739093585307888,0.727375017953782
"sim19",0.697093267217474,0.683192621303484,0.714932910927039,0.692759169216754,0.768941981525141,0.740943477761723,0.73521880960797,0.720106188052273,0.745599516921479
"sim20",0.657866448046386,0.694076465440231,0.744883738023454,0.76412298054778,0.706399312334549,0.732672259291035,0.712132844297367,0.728817913345412,0.745951803873575
"sim21",0.821645084614575,0.746815759195154,0.696609837820948,0.744562890604694,0.792045425812118,0.764634932862827,0.798718767400417,0.734346244320579,0.780825208154558
"sim22",0.650940337621818,0.72944803247284,0.76797135452912,0.731075571484596,0.74390213380507,0.753159683846905,0.721620931166557,0.732471173381607,0.725812197864253
"sim23",0.611080151355349,0.690793888073005,0.793670939803563,0.740716128679126,0.771140623617218,0.763066181036003,0.752778185903549,0.727710227352413,0.740422683590158
"sim24",0.718799764521795,0.773490319557477,0.774920457368641,0.693835501404526,0.745608551878116,0.708489921662291,0.726113706983888,0.732960464922164,0.749738670013366
"sim25",0.740850445104538,0.681527274393579,0.748899793920104,0.741424659857386,0.674062818390712,0.734954372533412,0.742931588309531,0.759936960950532,0.770280318616143
"sim26",0.657881407302537,0.684942999288805,0.687198103959924,0.683954154092525,0.701569924012644,0.735463829084869,0.720985138905108,0.730643212898883,0.765314895057403
"sim27",0.721470377446162,0.722839929076019,0.734326742242525,0.758586053616029,0.708256747159523,0.76555942278391,0.752145862271707,0.742993975940541,0.757751557710954
"sim28",0.707033072869331,0.669820497639893,0.745432273077516,0.742736478938381,0.707848004193345,0.744135749326921,0.725504890736877,0.738294379855183,0.783226092593489
"sim29",0.591427355981612,0.778898514627484,0.64152437791994,0.752312710862222,0.743096907708919,0.686180133898495,0.77574417946049,0.732721060495986,0.731328084096863
"sim30",0.679901652199326,0.842571719484057,0.691420583366908,0.762101767326666,0.772697704960408,0.731466947098371,0.763878171703657,0.750118653577425,0.739591465008539
"sim31",0.749468658902528,0.720557873965125,0.799977873509628,0.738369821098605,0.722886438055833,0.756386742810311,0.708926058707802,0.750952891930583,0.744017012238947
"sim32",0.756426185938648,0.693940599729108,0.6873702227642,0.700124154520204,0.725700718194301,0.796328126000225,0.719013088256858,0.753636964294104,0.75070560251486
"sim33",0.760973407194453,0.766941415028694,0.729753601353308,0.737803715151937,0.728625116570382,0.726302768261591,0.76145515824102,0.674562725239173,0.737600758854974
"sim34",0.679601721190889,0.780737540584034,0.708411106702822,0.741202687961776,0.744617243459813,0.765195681620108,0.739130683367968,0.748961950230643,0.779003843351046
"sim35",0.716870035851049,0.707256398845728,0.749071908034145,0.758167517080291,0.745645940019416,0.69910491801309,0.746294183159841,0.749525912955215,0.736022601441929
"sim36",0.732739238683504,0.739832873033168,0.739863430380807,0.751601814853089,0.782485786234661,0.755191145905768,0.763109468411098,0.710621580395438,0.743387120461314
"sim37",0.727187091225596,0.744210797924932,0.687020172738773,0.778405800308752,0.738564091791668,0.774021514818923,0.754264119972713,0.739515113665093,0.729294071154779
"sim38",0.603530238140467,0.628396393488226,0.718124865765807,0.808526289059079,0.706006800644831,0.77483034911903,0.729317474401033,0.758219439072691,0.770850614958857
"sim39",0.697448562607876,0.643653511024103,0.742947785357677,0.802710059857615,0.727621398459932,0.73422075329941,0.718703018042889,0.732523949251972,0.732585946572488
"sim40",0.659580078790205,0.718022163255761,0.651757738852429,0.747677898090353,0.732486446251622,0.787031651999793,0.705577806613171,0.733097949855562,0.776847685013912
"sim41",0.711935307195751,0.791405025346445,0.688710712135005,0.725989180033451,0.756210461045761,0.736464413303982,0.730108351023908,0.758655118611637,0.754805697728099
"sim42",0.708303255003897,0.75692881318048,0.768197113043233,0.784492703408249,0.738879760633858,0.758549493259001,0.766157652756036,0.758779661509705,0.770382251167148
"sim43",0.648114842316145,0.797446086715462,0.731704558085488,0.749055034996924,0.750169850985453,0.718083897605937,0.745091496909216,0.754349030635395,0.759465232383961
