"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.611842260876863,0.664435244562618,0.695692870552601,0.723606401736673,0.772495278211685,0.731821264823074,0.726604801000566,0.728402251990527,0.735481367614935
"sim2",0.730471882811639,0.714528976592981,0.740958678332967,0.718136898933313,0.741253338702844,0.760680326085212,0.764832526011809,0.742584145493375,0.753772853489555
"sim3",0.703509823797017,0.62416281848242,0.801265143287594,0.781986215534759,0.752961630051986,0.72757993903896,0.768333654857673,0.733687186309236,0.762963781516809
"sim4",0.762961474330131,0.718318046295884,0.758908017441306,0.736461210868229,0.773748849835636,0.748314220185603,0.737722553438522,0.75627817934438,0.762276330835961
"sim5",0.713649996735256,0.728506139454386,0.705405400382865,0.744967905032229,0.761638033168294,0.749097327255017,0.752457121010614,0.732072478609983,0.738151201021917
"sim6",0.728384922255466,0.759877240135997,0.721621820698121,0.678171458681964,0.757917456085162,0.731826339917428,0.724012495680035,0.753356571235987,0.746248436686588
"sim7",0.745992011533769,0.593803740393077,0.774407265639648,0.682345724473853,0.724655235219272,0.75742186726378,0.745337513590194,0.738763804593872,0.783527797009065
"sim8",0.707911435542175,0.705068101420092,0.697616237022195,0.747609035960267,0.673276659819259,0.71278771280545,0.75627652026998,0.734966897611931,0.74000401512567
"sim9",0.72852656659954,0.711312923801731,0.736811497770718,0.712311193823339,0.715318821040334,0.743781471163896,0.749332784884359,0.724280516905407,0.76953557005236
"sim10",0.738583689201127,0.646152863356942,0.688703568870642,0.74518478952508,0.759903022269219,0.735821771611965,0.740358833432693,0.735684911235709,0.78769004344908
"sim11",0.69861374471312,0.692124069704829,0.762806165437624,0.7325546644667,0.731515331427388,0.781222249821274,0.732983137207066,0.738552410045157,0.757481343835439
"sim12",0.645434755218265,0.640663823363786,0.670396686583838,0.710080560760382,0.733744554101548,0.753346545746669,0.770730031694074,0.746558509037015,0.743932667436624
