"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.68132308605393,0.778162584586914,0.698706077327205,0.779144137939204,0.810342984689553,0.732196841932188,0.708708507784166,0.735055899591725,0.737842567336023
"sim2",0.65710198474613,0.717614179765956,0.74842884418557,0.747095456649625,0.780510533930219,0.818732648449869,0.741362539643027,0.702584362737253,0.772893577481892
"sim3",0.711391911326778,0.680554931156275,0.850519344302733,0.798973074048513,0.751069895467936,0.800807663908386,0.7546508140287,0.788895426613794,0.783773762462272
"sim4",0.741533866119216,0.77256746693127,0.715548318030845,0.690069726401326,0.699657569737096,0.739745800362005,0.778109259525832,0.789496748039825,0.747988463289294
"sim5",0.682770268115364,0.699968760577452,0.672843415291592,0.793392575716881,0.790126038162457,0.810893459034427,0.803535809650316,0.758126938051558,0.765832241003429
"sim6",0.736798529367963,0.674063862399979,0.72624541900042,0.764571022951051,0.777863892972202,0.753018112992497,0.774396204662666,0.796646856570723,0.786205845619884
"sim7",0.855729312474801,0.677260081554186,0.846759287222418,0.708964389753214,0.798965106425214,0.796595832858811,0.788600956996775,0.77177254869725,0.795663471348553
"sim8",0.619154379737449,0.751756105149185,0.788818467236905,0.813276620320575,0.762509527056282,0.748858542187246,0.777869256460629,0.780181877153315,0.786553234692583
"sim9",0.798101010310463,0.683240059373732,0.813403775726662,0.782508054551379,0.774398655925961,0.762235146812461,0.717280384018196,0.745930168094527,0.801072629454615
"sim10",0.802000399272976,0.685338215966005,0.79206622138083,0.733399658898979,0.793238694604075,0.765564665584904,0.810954613245155,0.770754376638244,0.813122046761818
"sim11",0.770987137372744,0.7237528698837,0.711773727648238,0.766776270746016,0.747318031256528,0.826429768536498,0.757720373716647,0.756655857180302,0.812353389885059
"sim12",0.670329468641891,0.641876754489765,0.747368549008594,0.675240198694955,0.784439496475805,0.780825804683291,0.812236253543213,0.80712701483485,0.782065121203464
"sim13",0.773759178190241,0.779324735929314,0.697543644323333,0.722783157985848,0.770596031922406,0.787789551973029,0.785646682334456,0.805239889916027,0.818421139493762
"sim14",0.816493322133661,0.663183305318063,0.639575635270617,0.694364454913444,0.679188696979008,0.79131191912205,0.77342109627234,0.728874220447077,0.802379640570418
"sim15",0.642675757587282,0.78413554930818,0.771529489888384,0.770675690578882,0.742277900084806,0.724436132439828,0.791868139862271,0.742181917736639,0.781674023871887
"sim16",0.625079410562081,0.763170450035787,0.801575489401779,0.799502138159686,0.702772689104019,0.79209482087192,0.752846009780077,0.77010712720634,0.813579370938728
"sim17",0.793240694699712,0.778181636565016,0.664459768245286,0.757206814323858,0.756215226127795,0.812839419773813,0.788970527094489,0.782297210371679,0.784783843725293
"sim18",0.625186937711592,0.654819548369655,0.84554622275948,0.721777507417805,0.822015312319602,0.783228992211485,0.781653594544287,0.819371708741616,0.801495620648642
"sim19",0.716287507242297,0.696234799038297,0.710511193910566,0.802876734633387,0.762230991171175,0.757743529719935,0.770191634274779,0.750158874769657,0.786475102852781
"sim20",0.652555245499868,0.705377700522125,0.801908142291778,0.794642327493167,0.777620515314328,0.686102043282711,0.759439544254793,0.800392529801801,0.796266189272857
"sim21",0.758847746443371,0.6622827115074,0.71116998395554,0.777866247527725,0.754653750424122,0.808464102648729,0.746782906476691,0.810958830419203,0.783063124992759
"sim22",0.720669859580477,0.672139803702898,0.638528152115712,0.797968511242703,0.808109569808003,0.771802038208018,0.755388702055602,0.824122865377052,0.786360247478968
"sim23",0.779230737367047,0.758309162781358,0.771874272619496,0.797367358670027,0.74253258803963,0.769075972387132,0.788112979623959,0.714727379616495,0.807730918625031
"sim24",0.675173204101258,0.764688900420454,0.786160730171097,0.741382392583568,0.703393308134165,0.762933058728731,0.777470453145929,0.711835630506772,0.786549346874987
"sim25",0.77718147890102,0.615879804446059,0.875549301041894,0.69507409455338,0.764129886279644,0.784371556952883,0.766423483471179,0.762050347182165,0.807483717537541
"sim26",0.653865472559659,0.643886082515144,0.747904323768487,0.728360393789942,0.746166582692177,0.759526265664092,0.800090349029704,0.775518351885227,0.72486626430412
"sim27",0.791852741906219,0.683315778726087,0.698481586227955,0.721992310306421,0.750937884158934,0.724809329791406,0.693251732806674,0.783436856578423,0.782437633060389
"sim28",0.707611707441761,0.688501850796141,0.708483866246207,0.750779751069943,0.797562005497742,0.773885783393171,0.79773059259521,0.708771601193757,0.801785559336653
"sim29",0.707687344256369,0.676250569554567,0.738628167033948,0.771824130101686,0.760354702856514,0.777261250675563,0.795810655043777,0.737299356275885,0.785452346514729
"sim30",0.650931315598417,0.729615385787475,0.740348934888873,0.738767031949278,0.741308357430765,0.713405436662901,0.735584177621647,0.813708847721537,0.808115330214671
"sim31",0.728566960199358,0.814133237329941,0.78503927998307,0.675276349486606,0.792154006759903,0.726698140103702,0.788289317896303,0.754368102010675,0.771919162665654
"sim32",0.711059300386137,0.776831126507233,0.73235811958308,0.774165104349524,0.715948542726403,0.761626732462872,0.73685916647264,0.799607850964409,0.770884629266361
"sim33",0.75808108716758,0.849227767519725,0.793297259540378,0.7750301314695,0.811741609429806,0.768703372353455,0.707745600395658,0.800897550264086,0.756151270839527
"sim34",0.621917661769684,0.813433486144065,0.754533305177133,0.741534910158906,0.802482360467762,0.804128843515058,0.789762775279056,0.698666856117242,0.830218913913094
"sim35",0.831923745730625,0.666932321603324,0.732367204108996,0.799233640063586,0.755738952819844,0.685969829957971,0.761092368996523,0.789648048565738,0.772725158582351
"sim36",0.671759090885891,0.718862575000373,0.764009389618206,0.781628748591242,0.756401849042036,0.782611379264771,0.796928763520076,0.789654282121562,0.799614759269169
"sim37",0.673818337194111,0.790850235485666,0.675829347218391,0.77372494098143,0.674190727361969,0.801193837599144,0.732722096165317,0.761249284238148,0.815842652078944
"sim38",0.828259707310727,0.713824833338469,0.653900441565357,0.747842568899791,0.747127533341999,0.714457807416831,0.749780582944785,0.76911218183956,0.801842722125441
"sim39",0.648585021680422,0.717833724900063,0.730572833295707,0.754729887231449,0.667248360496456,0.702146149075849,0.802079004924365,0.80948456324985,0.79673529215039
"sim40",0.671295555042927,0.597569615309228,0.707130580876071,0.742178437151781,0.750543404730142,0.786235178336047,0.783510518939296,0.810109794362901,0.786690760493536
"sim41",0.520803444199692,0.740381011179192,0.723796321036022,0.720180008230403,0.73995677579575,0.776422519882305,0.766033583434343,0.722330963204392,0.821718523563271
"sim42",0.688192139829804,0.747541753337266,0.729998807025874,0.819649167354411,0.765495798051835,0.766519131131803,0.785909476379499,0.807038653435271,0.788223899132716
"sim43",0.724938164771952,0.717597915363018,0.744089671383427,0.735314749509102,0.810890598777407,0.649003771514749,0.744220971784493,0.753652625915421,0.771615454582402
"sim44",0.557960306471624,0.729982794960158,0.721842374314329,0.770330053818777,0.761106304747086,0.728566329576307,0.802135823851994,0.778218324140299,0.792967061968654
"sim45",0.796911899469001,0.800361486810182,0.776297008171609,0.762249928240132,0.781369202805784,0.767453578443936,0.725057217394141,0.767839790426469,0.799365128791176
"sim46",0.573224506361243,0.726138077029755,0.708429731595416,0.695100040104367,0.726307560177467,0.788975778590207,0.771381067829802,0.72901274004424,0.775422247478541
"sim47",0.746900132381114,0.686577112988314,0.658928895445227,0.814001302258762,0.771569401276251,0.792730057881335,0.789402046095488,0.811479996038619,0.795051798386981
"sim48",0.691780869924341,0.827076260227222,0.72835563376164,0.640922724437994,0.77529688587613,0.785050914249643,0.788072912900058,0.797135022530391,0.820179248460018
"sim49",0.618784458364025,0.672104274991379,0.764433708533441,0.762922730524994,0.819974906897188,0.762497492172293,0.813656677358144,0.827046560201603,0.808219556067974
"sim50",0.716652346839964,0.703702783091037,0.748838946619337,0.807328596711342,0.755005712067575,0.798451625623338,0.791240099838885,0.781652480770646,0.793083127107632
"sim51",0.718887395006382,0.75516143116774,0.687820468222078,0.821657391100233,0.786533599099707,0.717097632521934,0.759275391980113,0.817905475488237,0.737955366323798
"sim52",0.687031329391484,0.752411541752519,0.75087519021399,0.740863982599881,0.835705862231541,0.797857927166704,0.771778248547476,0.703553320386038,0.793859134296348
"sim53",0.711689289670943,0.662021226447724,0.771163707262049,0.671961348816481,0.643510172632392,0.729385571827737,0.804225885587843,0.797156541347972,0.765897404355233
"sim54",0.837832704641577,0.821990017078286,0.737836762015485,0.78395836052186,0.827797119182716,0.785785182615377,0.777528951378367,0.80544291464515,0.76709802102276
"sim55",0.828131747872066,0.743033465063652,0.810604040000727,0.683996861467117,0.792636619681948,0.815920891244841,0.737836050996346,0.758299652271075,0.779735359910521
"sim56",0.794907777039449,0.825523275074733,0.712320712078962,0.78859177198471,0.799086080931225,0.774069341902959,0.712379213823657,0.763175445464602,0.794320769492626
"sim57",0.708033043556792,0.785427958845799,0.692660793126255,0.724077621064224,0.769603485679752,0.807168133812069,0.75188864359282,0.778057405908163,0.734466631661771
"sim58",0.833639715166558,0.768957921630575,0.633889359656474,0.807811881402651,0.818871990146692,0.787958986538997,0.775852385524427,0.763134957469849,0.782904889901025
"sim59",0.640303090270402,0.797616740458608,0.751496701775602,0.780485073843769,0.7636503764259,0.809492759756789,0.757760241691164,0.809073587227419,0.803426882805338
"sim60",0.826221627144782,0.650467679969322,0.751589193333711,0.794306077869884,0.78210455731629,0.798813397441472,0.777457085778248,0.768494888915283,0.794122691668677
"sim61",0.715308316993803,0.735597057009684,0.782271037082793,0.762976953537377,0.791186636002282,0.783982722109887,0.757845826487445,0.805329332681901,0.72826963392838
"sim62",0.847093993214966,0.756680736337415,0.753836444337657,0.755259639964173,0.788720656859881,0.76248516223527,0.783044283052427,0.805302785718946,0.776588371853572
"sim63",0.716953718302406,0.725874192282494,0.659640337489899,0.808797847518743,0.716771179805502,0.750211056905053,0.78333570833635,0.802885339271538,0.80436041536029
"sim64",0.704871658827619,0.782172415907224,0.693840833839844,0.74067388496019,0.716246514072414,0.795300819606293,0.754372287565181,0.806081409573777,0.807938554858621
"sim65",0.747670126331304,0.772742862748521,0.673155584959511,0.752375515523584,0.773234028762542,0.736779585276956,0.816081863671944,0.807158469071759,0.805888716987816
"sim66",0.678960871997065,0.738247739940897,0.789916338543787,0.775531631313262,0.741555015892112,0.790881533114986,0.765193703383915,0.763394526158418,0.767047834146582
"sim67",0.643464838368219,0.72675592286343,0.777003098750235,0.725571943052626,0.789610194862509,0.765035612829994,0.809370196046657,0.770608635339099,0.775111887298009
"sim68",0.698914098574426,0.697814622808465,0.78341504707498,0.818504386826287,0.771080772353742,0.772299487798468,0.800685479312203,0.800682905893458,0.766906220891821
"sim69",0.749626491605406,0.704725472827348,0.779827130295018,0.710697353840709,0.818992462618481,0.757257290914059,0.813013223618196,0.778608392552852,0.754036984156808
"sim70",0.721161571511018,0.815502406134455,0.776887204009399,0.708963113932009,0.70752014297484,0.709025316512077,0.78604359178928,0.763932045527259,0.795679953418188
"sim71",0.743171319753713,0.746899523504915,0.761883569823781,0.738828759964946,0.828708440464716,0.729606207267812,0.774750217165313,0.772201912879293,0.790755286878554
"sim72",0.69834479910873,0.736617868344523,0.841637999569153,0.754940555576249,0.69929001486621,0.816378671712313,0.800144168262291,0.801721247082348,0.797238484453319
"sim73",0.654070375216632,0.7014327239417,0.635672649109824,0.698156011283227,0.756455338286468,0.75203811063373,0.770074103967921,0.796884338419696,0.758283665227546
"sim74",0.6383759916027,0.791935369151229,0.868391518957962,0.681318623790623,0.773877266095716,0.79789493906597,0.725979682619908,0.79142514798133,0.781005680080996
"sim75",0.748838708667088,0.750570642068718,0.745955241728244,0.743106470123651,0.749743428797153,0.782477481511624,0.832072624019056,0.773371913404314,0.788321949290383
"sim76",0.771774663134135,0.725939366244847,0.796240822490616,0.785548589941292,0.749124964371848,0.793064698770881,0.727842978161496,0.76093960404306,0.791632571447983
"sim77",0.709567868881133,0.748754297022244,0.795297538922743,0.78095371728335,0.744093869934908,0.778778290050724,0.827779486387648,0.81200920914251,0.794454503302113
"sim78",0.645210230718318,0.810448083358378,0.820040402796909,0.770014615354839,0.740300956090939,0.801148232808773,0.817533779715007,0.690122157202429,0.756302559266432
