"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.630717180952995,0.664530652572851,0.639659386723521,0.708098931292421,0.703718822319809,0.648750903225433,0.751952048946442,0.696091518980004,0.697817238502904
"sim2",0.746592478219437,0.710501707601174,0.792382202786445,0.712253249846727,0.718434999936392,0.733276754389888,0.703089656541813,0.745779467943313,0.767351254902751
"sim3",0.587200755777485,0.61462855133051,0.788519107627907,0.751503771635465,0.685016822796669,0.708382363155525,0.725180361119634,0.702797681510662,0.730231592441588
"sim4",0.684795782735871,0.718190715642993,0.661658447493281,0.690721482398027,0.724909620445384,0.76214303583377,0.714259213361121,0.731775120293095,0.752886270782911
"sim5",0.620082071487341,0.656365008312704,0.766552999787603,0.764060600129591,0.738836492210702,0.682373773662191,0.758224075191441,0.716608027381569,0.731383078826468
"sim6",0.801548121455746,0.593781790736856,0.717041892007835,0.729900025220326,0.735700712456305,0.743973705461971,0.74525471085052,0.759589565093314,0.738491343754719
"sim7",0.80627340680364,0.645494595808769,0.711471542602416,0.754746330574879,0.756712694062733,0.722135908253993,0.747841881519704,0.708115836971907,0.753081482573759
"sim8",0.709418340424694,0.702496357777617,0.767281256422394,0.786686944498462,0.712174231089203,0.707813426828024,0.69893360056907,0.734892089198261,0.721089081777804
"sim9",0.710055052292671,0.575086037858654,0.711610105361789,0.729610191454813,0.774918293112016,0.712823644496245,0.694254576183561,0.679321373153755,0.728904681921105
"sim10",0.793369880522653,0.736377581810483,0.808154178854349,0.738013666296683,0.767632576144767,0.700139030779985,0.76068002269217,0.705386040817266,0.729615862040925
"sim11",0.774859838821075,0.649546680405803,0.728256272969673,0.703711532758655,0.773843349969602,0.757438543579377,0.740067762047987,0.733762108742713,0.741825722832594
"sim12",0.72590498675299,0.657045932833031,0.679078425370588,0.758905382079461,0.716002928020994,0.694960508572245,0.730046675832086,0.734240962298164,0.723470217245963
"sim13",0.6588070099116,0.708934175271685,0.698478900037943,0.749613220619195,0.70723878874855,0.72476915181883,0.739969576948738,0.753322566561546,0.750317120718546
"sim14",0.685545651138931,0.699826490880214,0.595596608211502,0.740047676590056,0.739882947054256,0.718975454201515,0.732187358114471,0.70436835201029,0.733867611325442
"sim15",0.619844136206457,0.778359910543394,0.707983537912147,0.735699525468737,0.720369668415488,0.71393341890481,0.686042311502669,0.70868325788322,0.740148110475987
"sim16",0.68474813566101,0.612321524088722,0.719785830491392,0.766404113358734,0.710508520542027,0.715605325287865,0.746201964425257,0.699549323937216,0.702651717812967
"sim17",0.614931883749653,0.715661791433633,0.658117935234973,0.755295458149965,0.688934931426676,0.745208495894773,0.71296229660759,0.757697480838745,0.715028499480744
"sim18",0.61613055468569,0.676571898892766,0.78684368784147,0.682646627918587,0.713924217936877,0.740317228604884,0.702871068304866,0.726046069760484,0.733173971267347
"sim19",0.624974319780149,0.65890345507885,0.624530120078159,0.725725591830341,0.734161753628699,0.732787946580083,0.728362183524071,0.714673113655202,0.732976377150849
"sim20",0.720385114423368,0.647203814236634,0.695343056684332,0.745470953823297,0.713608712958037,0.697751155025045,0.69440220527415,0.722511272328647,0.712952815357134
"sim21",0.781409427256397,0.67409569280691,0.67738089354202,0.730241708087684,0.751197961593927,0.767311014958217,0.78803959054648,0.751321571634466,0.733439376044167
"sim22",0.661595800032224,0.693599125120727,0.672339765891726,0.700766663597657,0.712708535028413,0.7400106845329,0.707951185799747,0.735241527811425,0.727982182509653
"sim23",0.723699743072317,0.667286384572633,0.78053024323825,0.729656512505868,0.738540122514401,0.750472013721239,0.752547126484805,0.656831492213545,0.74038161005904
"sim24",0.703249781921526,0.697526211940657,0.73077273013211,0.676690512915062,0.69320461852786,0.675167125287496,0.69964429873131,0.693285991696916,0.732638738591412
"sim25",0.760081173221681,0.656210728019203,0.761110343461158,0.722012598933501,0.684262216896354,0.707502894914407,0.739179601411625,0.725055350070129,0.740511747556194
"sim26",0.747654335162914,0.633829412710997,0.695924423543706,0.722468692977783,0.679008588901531,0.696028508566771,0.728476492017586,0.712405022968514,0.725012618664929
"sim27",0.690994086844541,0.649766559752913,0.69351673143917,0.723311773639344,0.67626305245953,0.701500352292114,0.720249906250481,0.729477500611597,0.738605703380873
"sim28",0.575727675651641,0.655587549463821,0.76407631964061,0.717473359367543,0.683973299231228,0.754437134039656,0.742664245088439,0.703596087793825,0.760597633394481
"sim29",0.635768503881199,0.803987809533301,0.610724766423777,0.717666880290653,0.736172253142092,0.699667366358833,0.750757798737907,0.704724649959392,0.707809649470249
"sim30",0.662736299028884,0.703624965796248,0.653841204049723,0.750123598365886,0.714919021342277,0.704009935866994,0.736072250784819,0.739715674109603,0.745905736100156
"sim31",0.736781008764393,0.782143958019955,0.770776280467511,0.737281370209931,0.756040378599726,0.69297562933513,0.714193263879038,0.699599275520656,0.743622707811191
"sim32",0.680131668320166,0.699421938692188,0.752339217006645,0.676083916136895,0.684218154996747,0.751216150205095,0.72289323595771,0.732774016766298,0.736907351763664
"sim33",0.685697518656983,0.789135415624209,0.67642582058964,0.677175784026565,0.701910165321029,0.729999973236611,0.746422941057271,0.675893204707271,0.718790764677815
"sim34",0.673212728921861,0.782358322575653,0.714532840307974,0.701008792654085,0.727586790951712,0.750088226030695,0.689213823642796,0.713972594900839,0.734007045175062
"sim35",0.693205027724101,0.689892465395816,0.726431466941817,0.677613269450059,0.686869926824933,0.699773357758643,0.717905491010208,0.725802077571708,0.726077192715843
"sim36",0.728927123341954,0.702060290595611,0.72426647958985,0.758876813100737,0.718845627111005,0.713030952010926,0.736802813239708,0.721815825413226,0.736360987729033
"sim37",0.664610804936157,0.682497317557045,0.656978243342708,0.742864194238925,0.678291591868319,0.747837992549057,0.719995814609633,0.743827175539785,0.735897885421987
"sim38",0.631273181442451,0.674348228184173,0.679952200253328,0.743437329333965,0.691642076025062,0.761188631985079,0.703325588937733,0.733579157798359,0.769843720704038
"sim39",0.625599590652925,0.713806862927262,0.705495997643112,0.74575396800392,0.767286833007449,0.689116024791515,0.675328016469795,0.72170690568484,0.738053035134735
"sim40",0.657227311302137,0.627511334581556,0.697965347727912,0.710316667051434,0.725052482129013,0.774621785293421,0.712157894535848,0.74151372241927,0.7621026420197
"sim41",0.650162515014745,0.727816405615266,0.624177048874702,0.708247886799725,0.743519015668408,0.713351772434923,0.725467492363602,0.738995586913696,0.731348482566286
"sim42",0.629055225231109,0.751511182618525,0.714853860770204,0.74247965593601,0.736785660626511,0.731291551880148,0.740160151400242,0.734726794367708,0.746820766035427
"sim43",0.647060634045656,0.715312259961764,0.693518856770101,0.702417624644744,0.758764162008032,0.679129592067965,0.717485409271212,0.742803977423368,0.762297381157435
"sim44",0.635954257550406,0.627896970157034,0.661583039395684,0.736603841911699,0.667186001189267,0.693263782258624,0.729276204395876,0.707655278744522,0.74149940335372
"sim45",0.702550336003039,0.603720721400158,0.736625596847221,0.694526285942936,0.71264770647359,0.756255271879908,0.718024562354758,0.72670581029733,0.754035306485802
"sim46",0.557714240298873,0.66195740992709,0.665515526075511,0.650601683730961,0.732850889241433,0.696144959908217,0.745956632052988,0.731607238138566,0.701362535812712
