"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.774629709297469,0.640509107714498,0.635864230720731,0.684917869343158,0.723103086270735,0.728047643513502,0.786907835977973,0.712319858844752,0.713689399720217
"sim2",0.773332648339326,0.739384359091299,0.797452367699888,0.694596466812671,0.71982434262708,0.738958148952086,0.736455941206055,0.763741316106266,0.711848798868987
"sim3",0.844527171991299,0.603943259976838,0.79627927708384,0.650495777894342,0.708854680644448,0.732872769551162,0.783724103252237,0.681868564765505,0.728891591996515
"sim4",0.757184819947537,0.806879890040553,0.748226774721288,0.747829405847655,0.794198617586142,0.729165711081072,0.6941708950744,0.783998472854569,0.747512215538792
"sim5",0.654522980893708,0.690845530450807,0.781230071163215,0.772904342215691,0.751562451963544,0.791520161462219,0.747251106332643,0.757100587571499,0.776455583549491
"sim6",0.795981098117709,0.710162952586947,0.715827503327743,0.70104263090923,0.711406677487874,0.722794428556594,0.753772486801295,0.726537148934589,0.77192145202486
"sim7",0.797502548305872,0.630580432395798,0.728613115910417,0.68089412339061,0.75423111582215,0.733816156374389,0.779321698081485,0.723419455042505,0.781397385440641
"sim8",0.675571763938249,0.72706961821813,0.737156602661742,0.727769065985106,0.761840144644827,0.774235595675432,0.721342704208239,0.754586442013657,0.735796241340457
"sim9",0.842152119050692,0.746938969946793,0.761895522284315,0.806401179454951,0.796051814388212,0.741053961063402,0.776888280516493,0.692367311798963,0.716619095084161
"sim10",0.720850327616689,0.717536401975639,0.804612384938123,0.708869722757166,0.820134482703691,0.714807351625747,0.733751520507718,0.705735889106435,0.742133383446742
"sim11",0.714443087927652,0.668761545692059,0.746664391731088,0.697633672583663,0.826649506287588,0.783071275603586,0.758261671498491,0.820755549202939,0.742563835952791
"sim12",0.752581842921194,0.707598714216885,0.764200582404506,0.746981824965743,0.749114794053232,0.693201563169303,0.762284577148601,0.731159061453896,0.725720387522051
