"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.613508998317297,0.665040099113284,0.747018843144416,0.759747404218558,0.773599085878139,0.754257155503517,0.691589392281662,0.687977472371089,0.741497872695641
"sim2",0.642830562539616,0.656147151416161,0.603635622789314,0.664179664442641,0.717314634288118,0.739661304609765,0.704927856555544,0.705353143553947,0.750518223419575
"sim3",0.728936953869621,0.674368891173309,0.72212419929993,0.786867462901813,0.714594492637392,0.737407571080626,0.688836678532107,0.703555552667508,0.733971593101303
"sim4",0.701922825241452,0.684098485952746,0.623155728160676,0.728131984778635,0.730665368539978,0.745710151235721,0.693344145722965,0.770459959268159,0.745231795477177
"sim5",0.596039926353103,0.634986798684271,0.691460222434678,0.641213072666534,0.735911127509,0.677082760374689,0.69972932129737,0.754819139174424,0.67174840464842
"sim6",0.84148930590204,0.656184239665771,0.643330869532009,0.696917798646758,0.737466699850924,0.694043308513205,0.699730648100767,0.734126581150669,0.678156345143281
"sim7",0.610458623378232,0.651590130547453,0.7335099526657,0.714271529826449,0.77666520523524,0.744878131790332,0.705714652504787,0.728881784237345,0.751861507799155
"sim8",0.73416859488146,0.683825532520211,0.830547722724013,0.761128388154499,0.747547659548777,0.692576680224115,0.742758931493147,0.738714133415537,0.6978272233622
"sim9",0.725643907945534,0.66675995648861,0.656521187750919,0.725511870703778,0.775621906023379,0.734157196001398,0.69099379465149,0.724331985634363,0.709728948732956
"sim10",0.572203207117793,0.677725527459489,0.798429338409387,0.792377293822207,0.767430894062009,0.747738686350155,0.715756121980598,0.65110917079765,0.70475162137908
"sim11",0.603631412111636,0.740420816249574,0.651820459059816,0.682539870215745,0.757010468813183,0.689511050391251,0.767149109928419,0.740539234409305,0.71761286347493
"sim12",0.678294431481566,0.653332092822052,0.746941751664749,0.73097413667106,0.751170003635635,0.752706359693755,0.69711825056529,0.690349149149645,0.666706793038288
