"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.684739973354641,0.608768747559877,0.697333951064036,0.658039657000469,0.676617667107642,0.699414951825789,0.728479500363751,0.696608074808877,0.748307745432482
"sim2",0.688279443913202,0.595846572204272,0.70414072576363,0.732573587038177,0.6733971028212,0.687940310095776,0.656552440636736,0.723902763727985,0.752400822082485
"sim3",0.722901848377486,0.679749823795118,0.778735628628298,0.759116186497039,0.77972274759857,0.690612132795903,0.741900594936567,0.656612545817421,0.702630030598287
"sim4",0.60783822531476,0.804089475945845,0.719261818733196,0.668354375378826,0.7361544494797,0.713200418503794,0.74810355722811,0.739110179274072,0.719871119525271
"sim5",0.623952832668742,0.636226614151602,0.706652133897803,0.783678698765587,0.718136233431616,0.655296491227635,0.732499418047993,0.661848244838923,0.718254819730783
"sim6",0.724708236025589,0.560838513333575,0.675328004627894,0.607162269349037,0.719694423472764,0.729876785494045,0.72452394780323,0.766133909646488,0.713778031908053
"sim7",0.715127925189937,0.563601997921699,0.702357048203768,0.670845094768564,0.724025639117909,0.708362160558635,0.679786651282798,0.632814642783424,0.714529605810407
"sim8",0.661869586667867,0.657843644406327,0.680228678222571,0.784308592680147,0.699708947663769,0.738931942775866,0.640167879419304,0.748405782218878,0.686741192917305
"sim9",0.726191280747023,0.709731531647016,0.698027413278522,0.631842132349201,0.774876266748683,0.779543769927564,0.723471687783498,0.717121896314323,0.705825693627621
"sim10",0.745757176188675,0.605664469186724,0.787376355918131,0.652481836901595,0.766096685266005,0.665953431789253,0.730862675979731,0.629107878695921,0.668522913479598
"sim11",0.71758201321729,0.637435726455172,0.700080592535613,0.701968923623868,0.724172472701012,0.682650089648371,0.703737026466315,0.706494758478277,0.760912869451418
"sim12",0.716617496463676,0.686318389965936,0.788071521913505,0.693734502339536,0.752735943598379,0.690815457553568,0.698711050752135,0.655563062646042,0.702985897651516
"sim13",0.706400066096116,0.762972893056853,0.63010966158573,0.719105612981772,0.705680992141644,0.698019816230163,0.654008965047407,0.703668614213986,0.742478328532892
"sim14",0.707402679145358,0.715800764939373,0.58198943063171,0.59708786395148,0.663572372859911,0.678454714449259,0.704180386499392,0.708470245683184,0.719678953760602
"sim15",0.627811329181953,0.647891320154376,0.768607589799103,0.722587506475547,0.737944336188121,0.689948180344781,0.704985880153122,0.697474497895879,0.704615099346751
"sim16",0.683735868249092,0.661881799501146,0.70578117559563,0.759868460734792,0.598961100491172,0.658279182931892,0.624438548701726,0.706448233573793,0.729485599906801
"sim17",0.756493280089674,0.617698325113021,0.665506656046085,0.776459685285697,0.604109921363038,0.75684828485371,0.72408427655101,0.740577362337654,0.724011751726505
"sim18",0.624560931656943,0.630056085324487,0.710741743384262,0.698626414149044,0.769655405083895,0.712191485882505,0.709991359039475,0.725617408191286,0.685114381251802
"sim19",0.666697973780522,0.6842268840276,0.696340534313598,0.738089441024743,0.695924007917864,0.748674131680869,0.709361706615531,0.712142807272602,0.71093756221731
"sim20",0.709461666748354,0.622351994319822,0.717955768356383,0.760565550908962,0.624185446352337,0.683586309902432,0.658127529830863,0.64150469396419,0.752540972787214
"sim21",0.727434003691248,0.661896005818336,0.596207281894788,0.736776784056346,0.775899429529096,0.680451770307871,0.716221146246273,0.659444120534979,0.710900134157404
"sim22",0.671923120199553,0.63949138026437,0.697594414524494,0.748507658898148,0.720153500706665,0.762304736753312,0.617364359801509,0.66995449049462,0.703490805626047
"sim23",0.494646770810739,0.709310012413546,0.690687391856838,0.651207165723784,0.699722454732389,0.709421150891711,0.711190409882446,0.703140966195166,0.683171578143166
"sim24",0.689405857187587,0.726937746264143,0.718098025086992,0.620676205610176,0.70507329809651,0.654275720941208,0.666520162834962,0.747740698534098,0.677738987443534
"sim25",0.633337279838838,0.62142885336943,0.798140618595312,0.702773352386252,0.619951317203657,0.712147645393805,0.699479883580155,0.768547330173148,0.74486382618424
"sim26",0.688614197755055,0.731208809888194,0.709563968353151,0.629918294317378,0.650767032142415,0.692165633396374,0.648668940029456,0.700375716838149,0.735509717704536
"sim27",0.695217259344253,0.644094183060303,0.706707720887702,0.713396820643525,0.730276821519646,0.737427498667339,0.744904920392188,0.66396274050683,0.714214726636508
"sim28",0.694844370527058,0.629820305985832,0.655045767298748,0.701850942709327,0.584913096467265,0.739712747822216,0.706536735103844,0.721072256699205,0.751716518048763
"sim29",0.568104343255733,0.726022257412139,0.694816704280021,0.66758621772319,0.748326961788108,0.672450157698743,0.756271300872717,0.739886192759055,0.708116601834276
"sim30",0.616235142494803,0.758642286468798,0.565110448041451,0.670653297056587,0.776060081313319,0.691939634595105,0.701024395624206,0.725780245356259,0.708762922408931
"sim31",0.634725389094281,0.70008452876731,0.724004051615066,0.748270269364824,0.760241423602718,0.731645203276239,0.685583730921245,0.73901869334001,0.730727229765136
"sim32",0.625550599539552,0.619993935433657,0.66185368088495,0.651410295019472,0.696388608110215,0.789968943424128,0.664998343280225,0.705946288743095,0.737586838791997
"sim33",0.750118680520815,0.656797026757448,0.695152102788886,0.749573634250513,0.638235053387164,0.664570457949363,0.702270707807486,0.612846386934662,0.649593509256715
"sim34",0.552458239476091,0.729054935771707,0.687930763941859,0.691683146273936,0.632145963885096,0.673866512728684,0.693722898973497,0.721363620716207,0.77290685235631
"sim35",0.671165639997407,0.711443780672761,0.7619100002401,0.786793297132259,0.652951698695388,0.723338002730218,0.695581423981101,0.7419816232433,0.721626240853825
"sim36",0.69948247491179,0.6324783601176,0.655973370294852,0.689785307158931,0.729565572727561,0.763020089621144,0.68742186704441,0.682186671209127,0.734754690154335
"sim37",0.568053397075923,0.706101289492682,0.705265518128569,0.728601559884121,0.758041937705801,0.770177467544815,0.764284901821074,0.648554943377226,0.641901527250549
"sim38",0.701777556371642,0.592653790381875,0.580506580963074,0.72867158562285,0.647380796164568,0.707087201827643,0.685414755812251,0.711943243751336,0.73040056383834
"sim39",0.652020660982597,0.626792757964676,0.650224411914515,0.75005977270909,0.681350528237544,0.638441697919901,0.710205011461218,0.697550471653125,0.685373933258509
"sim40",0.677021006920934,0.711917736136859,0.641331022637056,0.654349252431659,0.730407897099952,0.76478961257883,0.62131702712943,0.663712152922768,0.774143632499705
"sim41",0.787359785436702,0.732699590653317,0.569781339595751,0.641386368058953,0.753574083903577,0.668433065167719,0.670487651508881,0.710521042415358,0.709922470202886
"sim42",0.671396964703592,0.773083017514008,0.758699584889193,0.735844720011839,0.682072433681725,0.660231566291177,0.722507596443786,0.691184938073528,0.717122172485039
"sim43",0.798368138120426,0.646064007807562,0.621737866919695,0.723885287682476,0.69705602193235,0.698630423507762,0.695690232808162,0.687795779990808,0.7729942334919
"sim44",0.6439869574521,0.792015822661127,0.702621206322441,0.762523607533788,0.665893105085546,0.679612756458256,0.673714101009306,0.679147891396864,0.702380102765164
"sim45",0.652828366050769,0.587750715749223,0.661630683605246,0.647056011517858,0.615854368050632,0.656325231679225,0.732517753645765,0.664365985432737,0.764186400138013
"sim46",0.524164610579686,0.757121531458341,0.611133446800745,0.645084956405632,0.705480413328714,0.63454977003622,0.700829703284726,0.691300690592144,0.725322757082007
