"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.538520305391049,0.686271377137971,0.815949789383715,0.812710077891022,0.706098580716238,0.757903600821112,0.651036834614098,0.687769407361995,0.753358042363256
"sim2",0.683621911745749,0.743340580742449,0.769453309229872,0.647259734245501,0.711843461320045,0.750969689120706,0.742809089906922,0.687716790450068,0.771920411433529
"sim3",0.668458679450389,0.700790019480255,0.798206745849894,0.738776521578707,0.77336144593688,0.77611188167941,0.728083377637282,0.794395486878113,0.761765768191148
"sim4",0.639805736525805,0.687345244944864,0.801663139642273,0.731575001405306,0.752292379050033,0.727657842895029,0.750960614450573,0.765014744436764,0.764683480595387
"sim5",0.620333004245231,0.787600884359173,0.641095647764303,0.736209930867315,0.698042740572729,0.720754390760595,0.739792067044736,0.77906662348718,0.75170319714708
"sim6",0.760156716970464,0.682531156552497,0.683538642433949,0.679704148997669,0.753654888363888,0.673177789537907,0.777461321302077,0.770576589242443,0.769024768843191
"sim7",0.724421777187847,0.728353145849003,0.721863385102091,0.719177618370374,0.789246187627246,0.777455486769379,0.711013179260259,0.80554243925361,0.773450226425785
"sim8",0.726726749438082,0.599544205434272,0.807313626212205,0.68839040568281,0.682118597009713,0.744608328400857,0.735807206083234,0.723152874095577,0.735204333834269
"sim9",0.75284585025885,0.788276475617539,0.765599635777738,0.730211060071912,0.685410325598592,0.669784582826798,0.745408864121649,0.746545587436165,0.762509519281265
"sim10",0.686804878793515,0.75775895984044,0.754410096498721,0.713649013492609,0.787256819265182,0.750551029899069,0.719137844527509,0.767672795316555,0.775750561331305
"sim11",0.642236578987875,0.644605024568254,0.695506336125746,0.64463066472216,0.710010094781752,0.817505022489302,0.683070526390243,0.773673051491229,0.765705410289879
"sim12",0.656123572745597,0.653896669847636,0.754770572431234,0.632252877732529,0.702406355172648,0.749815080224401,0.756239355197653,0.749158175321595,0.680364510225551
"sim13",0.761758339227697,0.804603618568825,0.760198749265873,0.749755844479417,0.74029018404596,0.727671831192463,0.705861219752005,0.773876755078496,0.782065651696662
"sim14",0.781351647333545,0.679851831807669,0.666806567062081,0.78078688312206,0.717106801353367,0.800336890480454,0.784568356792618,0.713112950102085,0.733882887047912
"sim15",0.643746148067772,0.724195787204201,0.81288913905658,0.720748576173096,0.690700445261643,0.707739362284224,0.708070728396368,0.700658902118178,0.704197836326457
"sim16",0.559958578147122,0.815817364043497,0.750217375188139,0.780635631416188,0.752780710193767,0.718309023864414,0.77269851255972,0.755529914781201,0.76965322994099
"sim17",0.784091513715993,0.805943595927945,0.675360756388113,0.773355010663388,0.689343337677279,0.747587792386754,0.727576477001368,0.743334934102407,0.711131038829526
"sim18",0.663657516521274,0.746544792196607,0.747752294871442,0.741816300662073,0.75229297201736,0.751975231446423,0.793003397123112,0.766070785797121,0.765695309071947
"sim19",0.702282598969003,0.669795090405912,0.713244835840813,0.705067126109347,0.692809030521362,0.748395877261009,0.761905378476439,0.693002137318668,0.746889523186015
"sim20",0.787740349318959,0.675276881661493,0.737262552933024,0.694457192910488,0.743326714328036,0.717874478128893,0.725334132284297,0.809389841540418,0.729687889451424
"sim21",0.659457813823417,0.69300595222773,0.677729267185005,0.694304770254136,0.753025846591801,0.741489060199479,0.740851479020863,0.756130449676478,0.743907248973552
"sim22",0.613025077364145,0.685988774294957,0.740243227485354,0.763280502556259,0.718879281936309,0.74472393036012,0.741977496658636,0.773629976561898,0.69815183520291
"sim23",0.694124819128964,0.670334497102354,0.696142934845702,0.788838088366188,0.751521687167939,0.762358674022657,0.720328088240549,0.69910286002929,0.719475484114575
"sim24",0.603289147670222,0.689467961750554,0.761864182745326,0.78622032112903,0.706104595250099,0.661694145932899,0.703604851825024,0.738525708279161,0.692315431127865
"sim25",0.757095867888631,0.567519879513897,0.808181378151143,0.834065758278835,0.748839126765938,0.714894833542894,0.721653849856857,0.685545750182635,0.78298974323663
"sim26",0.490859362278019,0.674370239512011,0.723218906246473,0.76614517101709,0.695007549879937,0.714462620719666,0.778873661488181,0.758337026671283,0.736355364825527
"sim27",0.676570823484726,0.603551849096556,0.727012466086691,0.677144112003996,0.67813903837662,0.67320919677917,0.69238725183325,0.763216223490906,0.730559379809524
"sim28",0.606673454633242,0.580735879702826,0.736611289423158,0.711831945097919,0.745858717557066,0.739525884726475,0.742453245362093,0.721830715581377,0.73782612893083
"sim29",0.738290182252294,0.752061250058802,0.749283837522263,0.676089679458122,0.743001450270238,0.695438292148578,0.792335419754407,0.687622450647714,0.761211457479608
"sim30",0.648893080199708,0.744587805615647,0.784160439870731,0.705267509756809,0.679618399063304,0.730079832348053,0.751293949131128,0.756311725698985,0.796615610278923
"sim31",0.739179937048662,0.715606583172878,0.790308873915788,0.726906229984041,0.795660110510178,0.703654915864106,0.755284645562086,0.750819293302174,0.729263799077013
"sim32",0.797163946756578,0.749371121996674,0.762754042156921,0.6713955839754,0.708767012559683,0.792041213942206,0.708967277921897,0.730114066282062,0.707576731122079
"sim33",0.730542858700093,0.804191939346811,0.81656667759172,0.70302081647588,0.750609745164398,0.726047917523393,0.695849297188412,0.729683115924274,0.750889513072846
"sim34",0.686220593721529,0.803022283964101,0.734219783852624,0.71914974415685,0.706772580819307,0.765131777643657,0.747226591910229,0.728405449939088,0.769176124376925
"sim35",0.820180622160084,0.763292998624693,0.800539255779922,0.793388395891244,0.75272606017226,0.742631572579374,0.789518798915418,0.761872473889253,0.736104397118258
"sim36",0.819799622671084,0.739965775168848,0.699694183430014,0.80572078750093,0.746764139556379,0.746298122853614,0.776542252479443,0.778224791981989,0.784517344677561
"sim37",0.626650922117032,0.71449630066171,0.659349950790913,0.630123531406345,0.7546697549908,0.735345479491544,0.722752814618817,0.748747274242624,0.742396182399318
"sim38",0.771209697367864,0.65907664745976,0.727355018206032,0.71530651681411,0.756994762461303,0.723086277667445,0.752579289141711,0.761284060026023,0.755359600361652
"sim39",0.717660115089083,0.720409425984219,0.737786417502048,0.700961106242514,0.716141464279206,0.680717997450152,0.735981217916441,0.741489372500661,0.742256661716812
"sim40",0.718582181563033,0.654547397119372,0.695582549987958,0.714853916411259,0.75800667413274,0.70249670414543,0.744775492142033,0.734955413399409,0.697520704208855
"sim41",0.539771289083406,0.658543114823752,0.701506869719747,0.59774103433447,0.732664059480478,0.689159407743502,0.70220072657146,0.714892204467576,0.76419876870905
"sim42",0.736658283814594,0.761023183421172,0.724289544291871,0.714880781375437,0.797648292123252,0.782099652799723,0.788305637902577,0.726290151210091,0.764199697212304
"sim43",0.729601133758549,0.795335226445136,0.69837016302674,0.641984619457886,0.71246515931373,0.686539208306538,0.677250295716195,0.719896868389531,0.765790142822816
"sim44",0.770538361791769,0.739092852691369,0.766906432800178,0.76057944220559,0.751366175457718,0.74043184731635,0.746647418139432,0.740606431115115,0.740581247038522
"sim45",0.651618690795273,0.7452754512745,0.757223568358765,0.685938174253255,0.746290059995175,0.787997192027727,0.803400762733521,0.766261812602838,0.76425591609148
"sim46",0.552262238073336,0.625320772425095,0.636342835401724,0.664520439379346,0.678604554399431,0.730920152646191,0.71485748264116,0.767709328082322,0.758493212866143
"sim47",0.684943418001068,0.797143769069697,0.68994854244137,0.680587342975936,0.72651937493314,0.737717134725469,0.681529662290254,0.790636103221244,0.743973607723124
"sim48",0.7106561834159,0.759812086148665,0.693816791519606,0.659129430236741,0.681993950408066,0.724244691340602,0.741605056175026,0.799105338884883,0.734965061277763
"sim49",0.672132911189268,0.6984885332701,0.6843204012608,0.768278007717334,0.760853061936249,0.774560923075371,0.756532281090685,0.72196232492783,0.708876676800283
"sim50",0.80175284629291,0.785445031393452,0.711069535253652,0.744482138320774,0.767808022166583,0.750346008994527,0.732021512174385,0.742406843988164,0.762670101916393
"sim51",0.77411823249217,0.681690857571062,0.673932000682298,0.8327844947743,0.69332935327328,0.737984056851429,0.73844451443988,0.758968305544143,0.730053302309509
"sim52",0.589511195422345,0.74645344550751,0.672481008818946,0.766274979573315,0.782443781040394,0.733325315022209,0.775209371523867,0.763798398359086,0.714126613783145
"sim53",0.595162667643132,0.680511731544421,0.752492227484143,0.813005694080776,0.759377605879851,0.799756784546833,0.712613568010187,0.76675715901913,0.72317865751995
"sim54",0.688807401586809,0.816658336142564,0.662912776468753,0.776766116471153,0.739696658510874,0.735332650604006,0.698734878397923,0.774607957077643,0.706760966914631
"sim55",0.741631876361174,0.739142307987092,0.768040142192731,0.74511671689964,0.751559628273504,0.765050519154754,0.676197617270868,0.771979346267337,0.750649749583969
"sim56",0.639993501990954,0.743366945687029,0.71472597341177,0.784573614393962,0.700053823277783,0.736738648507882,0.72966106048536,0.753835833385747,0.73842656864331
"sim57",0.728394701305717,0.712219278774935,0.737823654997994,0.688858759583947,0.739321503760355,0.708631689642253,0.69873113462754,0.780324360857805,0.810895914740176
"sim58",0.60436267445122,0.623974085733373,0.729032738790164,0.731159126632485,0.778420951753313,0.751967673508202,0.775789080091081,0.704094987390051,0.762713193156677
"sim59",0.611871664202443,0.739699376742662,0.775846210120409,0.668779441397329,0.741169258109015,0.732939576038628,0.693551129701584,0.740245126477339,0.781966528315797
"sim60",0.71139305770031,0.753837465821076,0.625397005771105,0.763190176015225,0.832306890686986,0.706337602939505,0.738429056684656,0.753147376081913,0.743639415116043
"sim61",0.69697902834749,0.652659818314484,0.726464238582652,0.72636122555633,0.769590454923045,0.722545395729839,0.762585140563986,0.719185409449561,0.720263506995191
"sim62",0.798672010787353,0.792242558790586,0.67880052202093,0.678117776783945,0.772119332553358,0.707211302963166,0.769565596875164,0.778592877607375,0.759780224135466
"sim63",0.555593108086033,0.675399030486038,0.80276579788299,0.801178705064746,0.756462427988082,0.78532972584831,0.806648802222314,0.698795426127467,0.754144697768919
"sim64",0.671173231103909,0.797765169667488,0.619478561190503,0.712498683709563,0.724361644864189,0.722527345515904,0.761266431768397,0.699562535158314,0.76657750782919
"sim65",0.605047171792103,0.744431316944016,0.743076715299619,0.710269896590732,0.765175609085917,0.673991136746784,0.792392747409588,0.772053578671759,0.757004223870628
"sim66",0.704549545001399,0.684812402241866,0.726493865889289,0.72846746506346,0.793222182916837,0.713518581761531,0.767592133762324,0.750191550797273,0.792513286331983
"sim67",0.732520622766388,0.734920815753874,0.67444579022792,0.718631353155247,0.741480452337321,0.704583777164176,0.815526653840655,0.754081975467465,0.766984666333726
"sim68",0.800064084747478,0.729480864272433,0.673022634507569,0.787297230875909,0.792501212750513,0.728124107918303,0.774163666434918,0.768402155571686,0.714791987254116
"sim69",0.69298371311995,0.685855920388383,0.707017253854588,0.76854970399483,0.737700098049229,0.744659702512462,0.711739279745479,0.738015380292927,0.73387442044779
"sim70",0.678062033366111,0.842195751702723,0.665068571090836,0.68365130016994,0.685702685118936,0.643912142521317,0.740195691152089,0.751620209391896,0.790707965331237
"sim71",0.774849625182284,0.748933039526353,0.643478858856884,0.683486832808597,0.768563817041037,0.680062354295252,0.730548532494712,0.7941617065051,0.751030736818358
"sim72",0.641780942187153,0.755445272319031,0.790259608605202,0.696224329568186,0.765807776240327,0.714016006894167,0.794378142219692,0.782065007055209,0.761648948354228
"sim73",0.73267066519499,0.766630109808022,0.77376264530244,0.725736316846799,0.676116568727508,0.708171861113655,0.774790418901936,0.786832140538233,0.741071280714203
"sim74",0.830391879016561,0.780281997831527,0.779251044307641,0.770225952209049,0.669845463978696,0.707899299411637,0.77659899232432,0.761258858094339,0.738214494525946
"sim75",0.691337366206158,0.633907834448057,0.626961601157032,0.74260202218599,0.748678907688169,0.751023833853389,0.75252839442694,0.775324604736309,0.720693772335847
"sim76",0.656961108544044,0.694445296417264,0.725071202075325,0.621478231110229,0.759684402139654,0.79894955983044,0.647657982325431,0.771127294694633,0.739422400230186
"sim77",0.734523677272964,0.833073674689258,0.689280648891631,0.759171167731566,0.742573649484464,0.7267835230294,0.817510810661106,0.750783871974165,0.710236695955586
"sim78",0.593222328132187,0.739129444584578,0.668600795927922,0.702096947318734,0.730192576812031,0.811291999854977,0.767854743540825,0.756180617266308,0.747648077772625
"sim79",0.662775760107383,0.652343439216849,0.757113318931118,0.700547535650685,0.71810179470533,0.706984850969576,0.689540036886619,0.732057608981376,0.744327232920041
"sim80",0.875080354582658,0.704925092290142,0.822971372351228,0.774384598364188,0.776187167807858,0.801958556568274,0.728905537868127,0.764172190263446,0.717384199706086
"sim81",0.555022957885296,0.743542921909404,0.727191887655201,0.675765218662879,0.681459873072037,0.747464027365853,0.728248413702031,0.769876995559415,0.759523177495877
"sim82",0.560898124644081,0.774328880352668,0.831147029791757,0.73903853491199,0.772986822661724,0.728754047827552,0.814613536776054,0.687501946255384,0.740927856577303
"sim83",0.776352997617618,0.821091271630154,0.594991186155458,0.741201823130086,0.740218692308521,0.718015581582651,0.703756060820098,0.72968792504252,0.766811431436958
"sim84",0.840422832782211,0.765801525259804,0.72693957035724,0.652608239648229,0.781803132045875,0.800738786550453,0.74748926146983,0.75782421241586,0.736558138681137
"sim85",0.792120958050302,0.740728047888146,0.73896672333147,0.700152827176008,0.747023664877613,0.818302912559852,0.76120865401662,0.743168988602622,0.748776602293652
"sim86",0.649872117562818,0.790524400604356,0.696659327538617,0.684721129683183,0.706677726687874,0.769868910932903,0.731122821140539,0.792378801267363,0.768904447199466
"sim87",0.694275541135544,0.72980000672684,0.737474414265845,0.731811882129647,0.719426930113796,0.725802147353852,0.793856341485686,0.731100647766193,0.790227969649979
"sim88",0.708500270969493,0.692567383501909,0.804826515461276,0.700529326001819,0.741599049501997,0.706536833121013,0.715206619434089,0.712074021189204,0.77247095581356
"sim89",0.765256583449319,0.837968484318901,0.699829217921881,0.719146664041034,0.721175602631538,0.742073698362218,0.727566123018711,0.715973328285913,0.794544149550023
"sim90",0.741967617079186,0.733441530409524,0.739183301095553,0.687034471307789,0.690183007421851,0.731477077306296,0.73169877799568,0.763993305299376,0.730320563475922
"sim91",0.811908188001321,0.69296750279683,0.70172528221739,0.740960983619756,0.777656186677532,0.717494565526988,0.772313704470591,0.740536362736114,0.818629836066102
"sim92",0.585790734064166,0.642738031978416,0.84092544053907,0.752887612930865,0.709062343374491,0.783785742284255,0.716381904316873,0.785201649070295,0.736002453555102
"sim93",0.711934756091358,0.637984824486581,0.688325232018268,0.726304133205332,0.72553283438324,0.75915303617643,0.795700832743583,0.791930898302349,0.754059220925586
"sim94",0.602051887396555,0.597879237515945,0.657888534604785,0.756273728016229,0.828875930863239,0.791066501188013,0.732554671513086,0.72522055011917,0.772402551168781
"sim95",0.571619867505479,0.701425216944617,0.753696279814366,0.767113735818453,0.729273093984398,0.729734546812425,0.732233877764922,0.730903167957887,0.768051832532341
