"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.628071045039692,0.680493200188892,0.846793334408873,0.766879161320247,0.699497120616563,0.769092129758603,0.705327002794425,0.701355585753272,0.752234080020719
"sim2",0.696021222008645,0.71977110399368,0.698214808505968,0.66428416464158,0.685695018234138,0.77416939151223,0.744990718877707,0.691037127474489,0.77200444799391
"sim3",0.621248376833345,0.654902947697355,0.762826449678544,0.722493895034454,0.790225991109119,0.752601915055264,0.711502447296388,0.733683080258482,0.773351437798006
"sim4",0.639839484014765,0.728685964831517,0.778554460371984,0.741393483409421,0.758561029927839,0.69275130693292,0.733893938946364,0.784184716010622,0.75123204844784
"sim5",0.534227988288651,0.799338401265047,0.671813654177674,0.712449765180071,0.727239393273788,0.723229666698271,0.779183258658699,0.701120276308596,0.752253450094842
"sim6",0.74218320640489,0.618653128532304,0.716074187286354,0.717333898594104,0.711121204221971,0.690129513379637,0.758229734158746,0.773623872340003,0.76265741265376
"sim7",0.719487029719103,0.728857227001738,0.684434233280168,0.723681232339025,0.816601681237801,0.773349765149257,0.745887347143038,0.787327346141021,0.782449212854426
"sim8",0.733986783236159,0.621837535001129,0.816661483103543,0.676880091484023,0.67859744781482,0.775281374887332,0.747563597086891,0.713290423953794,0.757546700390788
"sim9",0.79444751837628,0.779315883373332,0.790418879691088,0.747239539258723,0.727846981282576,0.704440941616271,0.708605948298702,0.771556011834466,0.761243398349989
"sim10",0.725887285162615,0.752111668136836,0.755396222938222,0.732850349718539,0.763045367889383,0.763646151029751,0.736153820718608,0.722141155012516,0.769804599888438
"sim11",0.692550562759579,0.658916549453696,0.72807880444417,0.666255968842771,0.730931923692959,0.808641702244595,0.69956888160453,0.777406346851161,0.79891127630078
"sim12",0.631176959294323,0.693371923323223,0.759577767847206,0.644160900518643,0.701715880374732,0.701404812171344,0.737612528385951,0.802211556294824,0.709911628299317
"sim13",0.73022627271526,0.731479250752447,0.743369883292794,0.723303994536253,0.691668606042375,0.741997665360987,0.74029401754308,0.752379481128708,0.793895457406872
"sim14",0.690881135468869,0.644350895607001,0.591288016272663,0.787790713134203,0.659388232618539,0.795515013129354,0.784278155878921,0.70088831368684,0.732636357753889
"sim15",0.594943599418042,0.751005356923491,0.734016084458086,0.758450802975367,0.668755119094759,0.70206056437328,0.765239097591873,0.71725634752293,0.722787933945214
"sim16",0.561944549458168,0.770449875291739,0.698003710069397,0.72835338347477,0.783832535135998,0.738583796591114,0.766282164527123,0.818578819225385,0.79035117310691
