"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.600109597118891,0.704459741959144,0.782351239049275,0.754000826217144,0.661886085300749,0.711338247790664,0.745163774876152,0.632670901854672,0.713589219514602
"sim2",0.694383950793291,0.716337170019205,0.708809779662607,0.726021334126332,0.67030400794284,0.731494014152706,0.674537595717544,0.679857750361188,0.74289398566196
"sim3",0.622378105938778,0.678408568557148,0.783430247218597,0.659479776907512,0.740600435655464,0.672159994703482,0.705728898060241,0.69307591861823,0.732744457131791
"sim4",0.654082466392225,0.691590468939363,0.589017228718354,0.670248066822267,0.6550443129339,0.652014074444482,0.654479758787505,0.731726226790691,0.771190292368884
"sim5",0.644390574855565,0.629063885191279,0.696569923681665,0.696403571960064,0.658415493371036,0.638565743681506,0.695431268159654,0.683941848504089,0.726562936653418
"sim6",0.77888680152552,0.583149598342823,0.64052483175016,0.601522279614586,0.718852647656596,0.648400483844511,0.688617835390893,0.690768709790009,0.716078553377392
"sim7",0.622540894814669,0.625536867761008,0.753228335666928,0.599927316709675,0.716009156915061,0.719196500054277,0.725136890881908,0.708253617393369,0.694096974685242
"sim8",0.732424666217266,0.657100704906965,0.635716374420137,0.711278478662706,0.638176626903159,0.690107382987933,0.706789189780398,0.662843843275273,0.676908588916762
"sim9",0.673868040516658,0.532721547565998,0.660677947885042,0.643357741153852,0.739673975779789,0.722773681002969,0.713345528937606,0.701259669402552,0.646848907384865
"sim10",0.779608038780057,0.719589179900496,0.69096388944773,0.674990940603368,0.718129280541681,0.662563786696505,0.647049449932304,0.695788687594031,0.719272973378216
"sim11",0.687702540199656,0.599075618965361,0.686709901669807,0.673546846550203,0.745016835675882,0.638236613012845,0.729147714050987,0.744990060163913,0.67528439591298
"sim12",0.692276118911716,0.569112569265858,0.568037815245501,0.762459481118684,0.669411345951886,0.659575115244671,0.698565101864641,0.673229373942153,0.626451306599121
"sim13",0.699073201701508,0.662550850008443,0.650122483599629,0.654762345049287,0.627842366873249,0.679543325412827,0.721920739368356,0.710423105336208,0.710399850320409
"sim14",0.706752017698111,0.654498000119125,0.594387238861261,0.64592085463542,0.638927504139411,0.71296458065257,0.681365565251645,0.682263294035893,0.71931647477668
"sim15",0.511805849033285,0.710211478399001,0.766698507808135,0.740560628996472,0.727332527075811,0.682165155425357,0.659959630712436,0.681030442762232,0.687191032475499
"sim16",0.728165395467096,0.568309011490744,0.646194408883165,0.718407067835015,0.679972255220963,0.584522431249714,0.722514189476883,0.682455874465529,0.689832945151101
