"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.700810185185185,0.733796296296296,0.699508101851852,0.733981481481481,0.717142489711934,0.706301965230537,0.786249272833042,0.737940442328902,0.73931810466075
"sim2",0.703125,0.668981481481482,0.806423611111111,0.71787037037037,0.721064814814815,0.738047996976568,0.733893251890634,0.755790329134498,0.773897861195984
"sim3",0.69212962962963,0.670267489711934,0.776186342592593,0.715648148148148,0.739904835390947,0.727418745275888,0.760325770796975,0.726882219771289,0.730273049129444
"sim4",0.763888888888889,0.694187242798354,0.722945601851852,0.728148148148148,0.760866769547325,0.736819727891156,0.745382489819663,0.766877575898299,0.737547892720307
"sim5",0.572337962962963,0.727109053497942,0.772135416666667,0.74962962962963,0.736046810699588,0.748346560846561,0.72651250727167,0.721338596389389,0.736480915660313
"sim6",0.780671296296296,0.675668724279835,0.765914351851852,0.693333333333333,0.767296810699588,0.772203325774754,0.742837405468296,0.74850525338132,0.736699160968039
"sim7",0.818287037037037,0.632201646090535,0.730613425925926,0.743518518518518,0.744341563786008,0.694113756613757,0.737819953461315,0.737476055029895,0.756171492312915
"sim8",0.732060185185185,0.709104938271605,0.819155092592593,0.769907407407407,0.750771604938272,0.744708994708995,0.740910413030832,0.756748127938701,0.710824967263204
"sim9",0.815972222222222,0.735853909465021,0.743055555555556,0.703333333333333,0.77051183127572,0.758739606953893,0.738728912158232,0.74238114587566,0.733376982394878
"sim10",0.748842592592593,0.744084362139918,0.823640046296296,0.711296296296296,0.790380658436214,0.708333333333333,0.74869109947644,0.735328263771986,0.728575585624909
"sim11",0.72974537037037,0.715277777777778,0.77806712962963,0.745185185185185,0.773598251028807,0.754062736205593,0.754326643397324,0.762814187031985,0.75607449439837
"sim12",0.8125,0.712191358024691,0.765625,0.725925925925926,0.758744855967078,0.720096371882086,0.745127981384526,0.742323097463284,0.710170231340026
"sim13",0.763888888888889,0.779320987654321,0.763020833333333,0.766666666666667,0.732896090534979,0.756708238851096,0.754872018615474,0.766790503279735,0.771448663853727
"sim14",0.739583333333333,0.697788065843621,0.668258101851852,0.737222222222222,0.708847736625514,0.744567271352986,0.757380744618965,0.735241191153422,0.743440516028905
"sim15",0.71412037037037,0.698816872427984,0.804398148148148,0.768055555555555,0.736239711934156,0.711073318216175,0.719531704479348,0.700383119521681,0.741452058780736
"sim16",0.654513888888889,0.747427983539095,0.779079861111111,0.767685185185185,0.73804012345679,0.721560846560847,0.742910122164049,0.724299065420561,0.730127552257626
"sim17",0.684027777777778,0.744855967078189,0.66869212962963,0.764722222222222,0.695023148148148,0.767809901738473,0.753126817917394,0.761101758866895,0.739269605703477
"sim18",0.70775462962963,0.674897119341564,0.772280092592593,0.70287037037037,0.753536522633745,0.749480347694633,0.712041884816754,0.744412840308818,0.72127649255541
"sim19",0.6875,0.733539094650206,0.733072916666667,0.741666666666667,0.734439300411523,0.725481859410431,0.7478184991274,0.718029836883961,0.733837722488967
"sim20",0.660300925925926,0.679269547325103,0.72193287037037,0.785925925925926,0.741898148148148,0.732756991685563,0.709642233856894,0.748418180762756,0.730030554343082
"sim21",0.762731481481482,0.708847736625514,0.683304398148148,0.723518518518519,0.752250514403292,0.748771730914588,0.777305119255381,0.742090903813781,0.753916290799748
