"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.650462962962963,0.681327160493827,0.692418981481482,0.712962962962963,0.694187242798354,0.672382842025699,0.679246655031995,0.683984443025483,0.688854939618798
"sim2",0.649305555555556,0.615740740740741,0.686197916666667,0.681296296296296,0.689879115226337,0.663359788359788,0.644815299592786,0.674377430777268,0.674596246180707
"sim3",0.668402777777778,0.635288065843621,0.71875,0.710648148148148,0.707947530864197,0.672808012093726,0.676447062245492,0.660213618157543,0.639798244337747
"sim4",0.718171296296296,0.593106995884774,0.635706018518518,0.666018518518518,0.647055041152263,0.664162887377173,0.689608784176847,0.674464503395832,0.651728987826762
"sim5",0.552662037037037,0.710133744855967,0.686487268518518,0.658425925925926,0.702996399176955,0.672524565381708,0.669502617801047,0.68018227201486,0.666860662495756
"sim6",0.700231481481482,0.665123456790123,0.695167824074074,0.673055555555556,0.702803497942387,0.688539304610733,0.682373472949389,0.699193127067975,0.666157427615306
"sim7",0.691550925925926,0.63940329218107,0.665075231481482,0.65962962962963,0.678819444444444,0.689673091458806,0.694153577661431,0.6716491553956,0.645157379116349
"sim8",0.668402777777778,0.585648148148148,0.729021990740741,0.690277777777778,0.705182613168724,0.685657596371882,0.691208551483421,0.696087537005863,0.663780978708958
"sim9",0.776041666666667,0.611882716049383,0.641927083333333,0.663055555555556,0.702674897119342,0.704884731670446,0.674774578243165,0.67492889069484,0.684150540763374
"sim10",0.670138888888889,0.647890946502058,0.777633101851852,0.6875,0.658179012345679,0.704176114890401,0.688627108784177,0.654234631682823,0.679615888258402
"sim11",0.653935185185185,0.647633744855967,0.691984953703704,0.700185185185185,0.694701646090535,0.705120937263794,0.676337987201862,0.680385441458176,0.69581453998739
"sim12",0.667824074074074,0.688014403292181,0.648148148148148,0.626388888888889,0.701003086419753,0.65693499622071,0.697025887143688,0.690747083067278,0.661137785537611
"sim13",0.725115740740741,0.629115226337449,0.642505787037037,0.67212962962963,0.683256172839506,0.68291761148904,0.695462478184991,0.670343066117142,0.688442698481983
"sim14",0.702546296296296,0.673868312757202,0.665219907407407,0.635925925925926,0.673482510288066,0.677437641723356,0.688990692262944,0.67620595576711,0.689655172413793
"sim15",0.588541666666667,0.614454732510288,0.723234953703704,0.707407407407407,0.698752572016461,0.643660241874528,0.698952879581152,0.665612120508504,0.676487705514331
"sim16",0.586226851851852,0.63477366255144,0.639612268518518,0.673981481481482,0.666216563786008,0.680839002267574,0.669284467713787,0.685000290242062,0.68929143023425
"sim17",0.630787037037037,0.72093621399177,0.6328125,0.658333333333333,0.657857510288066,0.711073318216175,0.701534322280396,0.681720554942822,0.688830690140162
"sim18",0.588541666666667,0.575874485596708,0.740162037037037,0.678425925925926,0.637795781893004,0.698696145124717,0.676956079115765,0.675190108550531,0.6728502837189
"sim19",0.62037037037037,0.601337448559671,0.71021412037037,0.67037037037037,0.670396090534979,0.662037037037037,0.674265561372891,0.663928716549602,0.69319559629468
"sim20",0.418981481481481,0.696759259259259,0.72583912037037,0.707037037037037,0.685506687242798,0.667328042328042,0.677719604421175,0.68630637952052,0.685023521994277
"sim21",0.674189814814815,0.662808641975309,0.637876157407407,0.687592592592593,0.624614197530864,0.687027588813303,0.704552065154159,0.680356417251988,0.704253358552791
"sim22",0.619212962962963,0.636574074074074,0.623842592592593,0.689814814814815,0.675990226337449,0.669075963718821,0.692044793484584,0.690979276716782,0.673165526941171
"sim23",0.62962962962963,0.677211934156379,0.6875,0.718425925925926,0.684799382716049,0.675547996976568,0.69000872600349,0.661055320136994,0.707357291818226
"sim24",0.69849537037037,0.676183127572016,0.677372685185185,0.6875,0.679526748971193,0.64781746031746,0.645906050029087,0.652696348754862,0.680610116882487
"sim25",0.717013888888889,0.633230452674897,0.732783564814815,0.702685185185185,0.659336419753086,0.670398715041572,0.616346713205352,0.686045161664828,0.713783403656821
"sim26",0.49537037037037,0.681841563786008,0.64380787037037,0.615555555555556,0.647119341563786,0.673138699924414,0.703243164630599,0.65812387531201,0.675372229497066
"sim27",0.642361111111111,0.71656378600823,0.671730324074074,0.639074074074074,0.656957304526749,0.697326152683296,0.638270796974985,0.69684216636675,0.663344488093506
"sim28",0.689236111111111,0.694187242798354,0.698061342592593,0.63037037037037,0.682420267489712,0.6218820861678,0.665612274578243,0.683665176757416,0.716232600999078
"sim29",0.544560185185185,0.65380658436214,0.663483796296296,0.622407407407407,0.650848765432099,0.647770219198791,0.705351948807446,0.657659488013003,0.673723264949804
"sim30",0.651041666666667,0.642746913580247,0.569010416666667,0.682777777777778,0.725951646090535,0.664824263038549,0.719022687609075,0.705578452429326,0.705174838740967
"sim31",0.609375,0.651491769547325,0.730902777777778,0.65537037037037,0.662422839506173,0.667186318972033,0.711569226294357,0.689644163232136,0.68167709394248
"sim32",0.758101851851852,0.661008230452675,0.706452546296296,0.629166666666667,0.680362654320988,0.681264172335601,0.678628563118092,0.684855169211122,0.682841068917018
"sim33",0.688657407407407,0.710905349794239,0.634259259259259,0.668333333333333,0.684992283950617,0.649187452758881,0.702406922629436,0.671562082777036,0.661065037101702
"sim34",0.634259259259259,0.760545267489712,0.682146990740741,0.647037037037037,0.676954732510288,0.654809145880574,0.694626236183828,0.667963081209729,0.69178912653378
"sim35",0.669560185185185,0.654320987654321,0.637297453703704,0.705833333333333,0.715727880658436,0.6661470143613,0.70597004072135,0.694723399315029,0.691328386439692
"sim36",0.642361111111111,0.668981481481482,0.630208333333333,0.636296296296296,0.658886316872428,0.676445578231292,0.706769924374636,0.678382771231207,0.686017750618362
"sim37",0.724537037037037,0.717335390946502,0.639178240740741,0.673518518518519,0.653099279835391,0.707624716553288,0.673938336242001,0.669501364137691,0.705126339783695
"sim38",0.557291666666667,0.635030864197531,0.591869212962963,0.727407407407407,0.681712962962963,0.683673469387755,0.662230948225713,0.69498461717072,0.703913865851884
"sim39",0.655671296296296,0.57690329218107,0.654803240740741,0.695833333333333,0.643775720164609,0.676445578231292,0.681319080860966,0.693765600510826,0.67515398418934
"sim40",0.733217592592593,0.626800411522634,0.58130787037037,0.674537037037037,0.693222736625514,0.711640211640212,0.695789703315881,0.700673361583561,0.690746398952423
"sim41",0.471643518518519,0.726851851851852,0.656684027777778,0.636481481481481,0.620241769547325,0.644982993197279,0.66673938336242,0.653102687641493,0.701222173723265
"sim42",0.624421296296296,0.67798353909465,0.757233796296296,0.708055555555556,0.690650720164609,0.73474111866969,0.675210878417685,0.686857839438091,0.678718657548863
"sim43",0.689236111111111,0.716049382716049,0.678530092592593,0.685740740740741,0.676697530864197,0.625141723356009,0.654850203606748,0.662274336796889,0.674329501915709
"sim44",0.603009259259259,0.720679012345679,0.682002314814815,0.64962962962963,0.691036522633745,0.654053287981859,0.645287958115183,0.633046961165612,0.672001551966633
"sim45",0.640046296296296,0.702417695473251,0.661892361111111,0.647685185185185,0.65014146090535,0.656887755102041,0.697716695753345,0.66694723399315,0.695135554585576
"sim46",0.608217592592593,0.665123456790123,0.665798611111111,0.665740740740741,0.678883744855967,0.668272864701436,0.691717568353694,0.669036976838683,0.680731364275668
"sim47",0.58912037037037,0.575102880658436,0.605034722222222,0.679814814814815,0.700360082304527,0.691373771730915,0.682882489819663,0.72374760550299,0.688103205781076
"sim48",0.628472222222222,0.639917695473251,0.697916666666667,0.598518518518519,0.690329218106996,0.703656462585034,0.682737056428156,0.680414465664364,0.69581453998739
"sim49",0.639467592592593,0.656893004115226,0.744502314814815,0.7175,0.697145061728395,0.671579743008314,0.680955497382199,0.706565275439717,0.668194383820748
"sim50",0.684606481481482,0.669753086419753,0.653356481481482,0.675648148148148,0.663194444444444,0.67072940287226,0.651977894124491,0.663551401869159,0.659464571511712
"sim51",0.627314814814815,0.679269547325103,0.601851851851852,0.695277777777778,0.687564300411523,0.686649659863946,0.674192844677138,0.697945086201892,0.67816091954023
"sim52",0.620949074074074,0.602366255144033,0.686921296296296,0.714814814814815,0.658114711934156,0.701719576719577,0.717422920302501,0.668833807395368,0.6542994325622
"sim53",0.592592592592593,0.664094650205761,0.6640625,0.641759259259259,0.641396604938272,0.678099017384732,0.668848167539267,0.69698728739769,0.698384984722829
"sim54",0.483217592592593,0.712191358024691,0.650318287037037,0.618148148148148,0.689557613168724,0.713813303099017,0.695317044793485,0.684506878736867,0.672801784761628
"sim55",0.675925925925926,0.680812757201646,0.615596064814815,0.670185185185185,0.648148148148148,0.700727513227513,0.703715823152996,0.689005630696001,0.675978466462971
"sim56",0.629050925925926,0.71656378600823,0.633680555555556,0.673796296296296,0.67798353909465,0.678996598639456,0.695062536358348,0.693649503686074,0.667466899461662
