"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.688657407407407,0.717592592592593,0.669270833333333,0.703333333333333,0.667631172839506,0.675689720332577,0.744255381035486,0.704678702037499,0.711261457878656
"sim2",0.664930555555556,0.647119341563786,0.774450231481482,0.702777777777778,0.683899176954733,0.692318594104308,0.691826643397324,0.715504730945609,0.729448566855813
"sim3",0.672453703703704,0.675925925925926,0.736545138888889,0.699166666666667,0.718621399176955,0.691184807256236,0.708660558464223,0.699222151274163,0.687036228721082
"sim4",0.704861111111111,0.675925925925926,0.703993055555556,0.676851851851852,0.713734567901235,0.707152305366591,0.711351076207097,0.718697393626284,0.702604394005529
"sim5",0.566550925925926,0.697530864197531,0.74537037037037,0.722407407407407,0.709876543209877,0.682775888133031,0.703061372891216,0.685000290242062,0.703137882535525
"sim6",0.765625,0.62962962962963,0.718460648148148,0.658518518518519,0.733281893004115,0.737103174603175,0.708406050029087,0.718174957914901,0.690358407294243
"sim7",0.771990740740741,0.627057613168724,0.689959490740741,0.703796296296296,0.726273148148148,0.660572562358277,0.709605875509017,0.693939745747954,0.710727969348659
"sim8",0.733796296296296,0.623199588477366,0.787181712962963,0.738703703703704,0.730002572016461,0.712585034013605,0.711387434554974,0.72772392175074,0.678306416412047
"sim9",0.64525462962963,0.685185185185185,0.686921296296296,0.651203703703704,0.737268518518518,0.736866969009826,0.7054246655032,0.705694549254078,0.699839953441001
"sim10",0.752893518518518,0.736625514403292,0.792390046296296,0.6525,0.754693930041152,0.66151738473167,0.708006108202443,0.697451674696697,0.694335321790582
"sim11",0.711226851851852,0.674382716049383,0.735966435185185,0.716111111111111,0.749614197530864,0.711073318216175,0.723640197789412,0.722267370987403,0.730612541830351
"sim12",0.755208333333333,0.700617283950617,0.724971064814815,0.698240740740741,0.724794238683128,0.681736583522298,0.706115474112856,0.705607476635514,0.675590474804792
"sim13",0.703125,0.742026748971193,0.691261574074074,0.710555555555555,0.701260288065844,0.700066137566138,0.718768179173938,0.720554942822314,0.734565206848053
"sim14",0.699652777777778,0.667181069958848,0.638310185185185,0.645185185185185,0.698366769547325,0.695814436885865,0.710805700988947,0.693968769954142,0.705684077792327
"sim15",0.65162037037037,0.69701646090535,0.785300925925926,0.722222222222222,0.698688271604938,0.671485260770975,0.673320244328098,0.67577059267429,0.705441583005965
