"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.590856481481482,0.674382716049383,0.679832175925926,0.700092592592593,0.713027263374486,0.690003779289494,0.682591623036649,0.700325071109305,0.706363063194141
"sim2",0.67650462962963,0.712962962962963,0.72337962962963,0.670925925925926,0.699266975308642,0.725103930461073,0.711314717859221,0.705288210367446,0.713759154178185
"sim3",0.652777777777778,0.605452674897119,0.765335648148148,0.75537037037037,0.695923353909465,0.675925925925926,0.720331588132635,0.681662506530446,0.710461225083661
"sim4",0.686921296296296,0.669495884773663,0.7265625,0.692777777777778,0.717785493827161,0.69671201814059,0.701788830715532,0.710164277007024,0.698215238372375
"sim5",0.630787037037037,0.709104938271605,0.686631944444444,0.704074074074074,0.711548353909465,0.704790249433107,0.703933973240256,0.69797411040808,0.694893059799214
"sim6",0.708333333333333,0.727623456790124,0.705873842592593,0.669074074074074,0.719264403292181,0.697137188208617,0.693753635834788,0.724386138039125,0.707284543382317
"sim7",0.732060185185185,0.601851851851852,0.709201388888889,0.64537037037037,0.695216049382716,0.697845804988662,0.718877254217568,0.695884367562547,0.729157573112178
"sim8",0.663773148148148,0.662037037037037,0.695167824074074,0.699814814814815,0.663387345679012,0.695530990173847,0.720477021524142,0.689905381087827,0.700009699791454
"sim9",0.694444444444444,0.664866255144033,0.690393518518518,0.69037037037037,0.680298353909465,0.716269841269841,0.706151832460733,0.685841992221513,0.709976235510936
"sim10",0.68287037037037,0.637860082304527,0.701388888888889,0.704722222222222,0.727944958847737,0.706443688586546,0.707787958115183,0.680095199396296,0.730273049129444
"sim11",0.657407407407407,0.645576131687243,0.740451388888889,0.71712962962963,0.693029835390947,0.752692743764172,0.697389470622455,0.712631334533001,0.722416218051312
"sim12",0.664930555555556,0.637602880658436,0.659288194444444,0.667314814814815,0.704025205761317,0.704081632653061,0.736910994764398,0.715069367852789,0.692346864542412
"sim13",0.712384259259259,0.644547325102881,0.691261574074074,0.718148148148148,0.68016975308642,0.719198790627362,0.721858638743455,0.729842688802461,0.72658712837674
"sim14",0.686921296296296,0.587962962962963,0.688802083333333,0.675740740740741,0.665895061728395,0.709986772486772,0.697934845840605,0.674609624426772,0.725956641932198
"sim15",0.604166666666667,0.67798353909465,0.744212962962963,0.703240740740741,0.672325102880658,0.635487528344671,0.707097149505526,0.674029140303013,0.705368834570057
"sim16",0.662615740740741,0.698045267489712,0.689236111111111,0.715,0.678562242798354,0.681169690098262,0.704188481675393,0.699135078655599,0.716499345264077
"sim17",0.693287037037037,0.705761316872428,0.68041087962963,0.706111111111111,0.668981481481482,0.711970899470899,0.713350785340314,0.711963777790677,0.719530530093603
"sim18",0.657407407407407,0.62988683127572,0.723234953703704,0.670555555555556,0.691872427983539,0.69359410430839,0.702552356020942,0.726621001915598,0.699379213346913
"sim19",0.671296296296296,0.67798353909465,0.750578703703704,0.71,0.689814814814815,0.69212962962963,0.704879290285049,0.676176931560922,0.709660992288666
"sim20",0.701388888888889,0.657664609053498,0.736545138888889,0.723425925925926,0.687821502057613,0.68598828420257,0.696480511925538,0.709467696058513,0.705684077792327
"sim21",0.655671296296296,0.596450617283951,0.668258101851852,0.710833333333333,0.688014403292181,0.72108843537415,0.733965968586387,0.730132930864341,0.69620253164557
"sim22",0.636574074074074,0.593106995884774,0.621527777777778,0.753611111111111,0.718492798353909,0.700349584278156,0.70629726585224,0.731293899111859,0.699864202919637
"sim23",0.653935185185185,0.668981481481482,0.68041087962963,0.731574074074074,0.668274176954732,0.710459183673469,0.722985747527632,0.683432983107912,0.713322663562733
"sim24",0.736111111111111,0.619341563786008,0.706018518518518,0.687685185185185,0.730581275720165,0.652966742252457,0.681064572425829,0.708858187728566,0.707090547553228
"sim25",0.639467592592593,0.641460905349794,0.755642361111111,0.693425925925926,0.686342592592593,0.693972033257748,0.659285922047702,0.68944099378882,0.738833115088026
"sim26",0.607060185185185,0.670267489711934,0.622829861111111,0.665092592592593,0.623713991769547,0.711498488284203,0.702915939499709,0.707029662738724,0.704495853339153
"sim27",0.641782407407407,0.691358024691358,0.653790509259259,0.627314814814815,0.687628600823045,0.647345049130763,0.662703606748109,0.714111569048587,0.684562781900189
"sim28",0.621527777777778,0.616769547325103,0.734809027777778,0.679351851851852,0.723122427983539,0.701436130007559,0.68717277486911,0.729088059441574,0.720330762888598
