"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.671875,0.749742798353909,0.679542824074074,0.730833333333333,0.745241769547325,0.702191987906274,0.677937754508435,0.701834329831079,0.703186381492798
"sim2",0.590856481481482,0.669495884773663,0.731770833333333,0.704444444444444,0.718171296296296,0.768849206349206,0.688336242001164,0.670517211354269,0.725204908094476
"sim3",0.668402777777778,0.635030864197531,0.794415509259259,0.762962962962963,0.69457304526749,0.732095616024187,0.717713787085515,0.727085389214605,0.71385615209273
"sim4",0.689814814814815,0.706275720164609,0.674189814814815,0.680925925925926,0.655992798353909,0.694633408919123,0.728875799883653,0.730945608637604,0.693632086910131
"sim5",0.616898148148148,0.644547325102881,0.651041666666667,0.750555555555556,0.734889403292181,0.744614512471655,0.745709714950553,0.710019155976084,0.702361899219167
"sim6",0.733217592592593,0.65380658436214,0.694878472222222,0.714722222222222,0.734439300411523,0.709703325774754,0.728839441535777,0.755267893423115,0.72678112420583
"sim7",0.818287037037037,0.662551440329218,0.778356481481482,0.669537037037037,0.735918209876543,0.729450113378685,0.733202443280977,0.707145759563476,0.734953198506232
"sim8",0.626157407407407,0.673353909465021,0.748842592592593,0.76787037037037,0.731674382716049,0.713293650793651,0.732875218150087,0.721541765832704,0.72959406372763
"sim9",0.754050925925926,0.653549382716049,0.747540509259259,0.727592592592593,0.707368827160494,0.72567082388511,0.679392088423502,0.700528240552621,0.733401231873515
"sim10",0.769097222222222,0.677469135802469,0.753761574074074,0.688425925925926,0.748199588477366,0.714143990929705,0.764325189063409,0.707610146862483,0.745113730054804
"sim11",0.729166666666667,0.692644032921811,0.685040509259259,0.736111111111111,0.704989711934156,0.77442365835223,0.714768760907504,0.721715911069832,0.752509821038848
"sim12",0.652199074074074,0.653034979423868,0.730324074074074,0.644814814814815,0.731738683127572,0.712207105064248,0.767015706806283,0.758808846578046,0.714898879674087
"sim13",0.75,0.704475308641975,0.688368055555556,0.684444444444444,0.703125,0.735496976568405,0.739965095986038,0.754513264062228,0.751224598671129
"sim14",0.760416666666667,0.639917695473251,0.615017361111111,0.663888888888889,0.655799897119342,0.73167044595616,0.726657940663176,0.699135078655599,0.749211891944323
