"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.587962962962963,0.699588477366255,0.630497685185185,0.705185185185185,0.66576646090535,0.644463340891912,0.734584060500291,0.691472688221977,0.703986614287793
"sim2",0.690972222222222,0.701388888888889,0.767795138888889,0.686759259259259,0.69605195473251,0.707624716553288,0.714405177428738,0.725343936843327,0.734298462583054
"sim3",0.583912037037037,0.61059670781893,0.766059027777778,0.715648148148148,0.677211934156379,0.702569916855631,0.703824898196626,0.688512219190805,0.695281051457394
"sim4",0.686921296296296,0.698816872427984,0.65697337962963,0.678796296296296,0.709555041152263,0.708616780045351,0.689281559045957,0.715417658327045,0.711140210485475
"sim5",0.563078703703704,0.67798353909465,0.722222222222222,0.733148148148148,0.707883230452675,0.669123204837491,0.719495346131472,0.696668021129622,0.704665599689607
"sim6",0.790509259259259,0.585648148148148,0.702112268518518,0.672777777777778,0.734310699588477,0.723922902494331,0.721604130308319,0.741742613339525,0.71366215626364
"sim7",0.767361111111111,0.64429012345679,0.708188657407407,0.734722222222222,0.741383744855967,0.697042705971277,0.728875799883653,0.68944099378882,0.72518065861584
"sim8",0.707175925925926,0.699074074074074,0.752459490740741,0.738888888888889,0.698302469135803,0.712065381708239,0.691681210005817,0.703662854820921,0.695620544158301
"sim9",0.657986111111111,0.563271604938272,0.695457175925926,0.69537037037037,0.704539609053498,0.710459183673469,0.687427283304247,0.677308875602252,0.698869974295553
"sim10",0.77025462962963,0.692644032921811,0.776331018518518,0.724074074074074,0.750964506172839,0.674130763416478,0.718368237347295,0.692807801706623,0.704083612202338
"sim11",0.715856481481482,0.648662551440329,0.722366898148148,0.70212962962963,0.736175411522634,0.736536281179138,0.728730366492147,0.726650026121786,0.71737232649498
"sim12",0.72974537037037,0.648662551440329,0.668547453703704,0.729814814814815,0.717463991769547,0.680083144368859,0.709205933682374,0.716810820224067,0.685460012609729
"sim13",0.683449074074074,0.680555555555556,0.687644675925926,0.732314814814815,0.683191872427984,0.716269841269841,0.73022105875509,0.738782144308353,0.72518065861584
"sim14",0.688657407407407,0.694187242798354,0.566550925925926,0.731203703703704,0.701646090534979,0.702191987906274,0.716623036649215,0.683374934695536,0.713928900528639
"sim15",0.622106481481482,0.723508230452675,0.755497685185185,0.701759259259259,0.713798868312757,0.688066893424036,0.679646596858639,0.666221628838451,0.706169067365052
"sim16",0.703703703703704,0.604938271604938,0.682581018518518,0.744259259259259,0.71289866255144,0.689767573696145,0.734111401977894,0.691095373541534,0.679130898685678
"sim17",0.656828703703704,0.692644032921811,0.672309027777778,0.730648148148148,0.66820987654321,0.729072184429327,0.688990692262944,0.733296569338829,0.713759154178185
"sim18",0.585069444444444,0.624485596707819,0.74291087962963,0.668055555555556,0.701517489711934,0.717403628117914,0.698080279232112,0.704736750449875,0.712789175032737
"sim19",0.637731481481482,0.639146090534979,0.615885416666667,0.705092592592593,0.706725823045268,0.70119992441421,0.711896451425247,0.686480524757648,0.711018963092294
"sim20",0.669560185185185,0.65843621399177,0.656828703703704,0.719444444444444,0.703125,0.687074829931973,0.682700698080279,0.705752597666454,0.693025849944226
"sim21",0.739583333333333,0.677211934156379,0.66478587962963,0.689537037037037,0.715792181069959,0.718820861678005,0.758653286794648,0.728275381668311,0.69901547116737
"sim22",0.638310185185185,0.700617283950617,0.671440972222222,0.707592592592593,0.710905349794239,0.706585411942555,0.714041593949971,0.715678876182736,0.688151704738348
"sim23",0.694444444444444,0.643518518518518,0.745804398148148,0.710833333333333,0.718814300411523,0.72104119425548,0.732729784758581,0.649677831311314,0.707818031912314
"sim24",0.67650462962963,0.678240740740741,0.722077546296296,0.679444444444444,0.692322530864197,0.661659108087679,0.684409540430483,0.692981946943751,0.693995829089675
"sim25",0.745949074074074,0.642232510288066,0.741753472222222,0.714259259259259,0.661586934156379,0.694019274376417,0.696407795229785,0.716230336100308,0.724113681555847
