"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.70775462962963,0.654963991769547,0.637225115740741,0.710416666666667,0.701871141975309,0.697184429327286,0.746545956951716,0.711093051605039,0.683119937921335
"sim2",0.748263888888889,0.66332304526749,0.788917824074074,0.648842592592593,0.687628600823045,0.720970332577475,0.736492873763816,0.734036686596622,0.714389640622727
"sim3",0.778935185185185,0.568672839506173,0.807942708333333,0.642361111111111,0.692708333333333,0.702900604686319,0.745891506689936,0.672229639519359,0.718427178815655
"sim4",0.720775462962963,0.768518518518518,0.750289351851852,0.723842592592593,0.761863425925926,0.708923847316704,0.669193571844095,0.756994833691298,0.688188078956302
"sim5",0.626736111111111,0.683384773662551,0.781684027777778,0.796111111111111,0.731706532921811,0.74926776266062,0.705624636416521,0.720366285482092,0.721385615209273
"sim6",0.777777777777778,0.648019547325103,0.716869212962963,0.669675925925926,0.706693672839506,0.722104119425548,0.720349767306574,0.737214837174203,0.746447451379795
"sim7",0.786458333333333,0.622170781893004,0.695023148148148,0.700601851851852,0.729134516460905,0.697680461073318,0.742437463641652,0.684724560283276,0.745853339153208
"sim8",0.675925925925926,0.704732510288066,0.711516203703704,0.721944444444444,0.699331275720165,0.744827097505669,0.70891506689936,0.742105415916875,0.678185169018866
"sim9",0.823206018518518,0.786394032921811,0.752097800925926,0.764444444444444,0.737750771604938,0.71943499622071,0.724021960442118,0.681183607128345,0.698033367282603
"sim10",0.724537037037037,0.692772633744856,0.805627893518518,0.703657407407407,0.814429012345679,0.670894746787604,0.694335369400814,0.676336564694956,0.707417915514816
"sim11",0.730902777777778,0.652134773662551,0.727647569444444,0.696851851851852,0.779385288065844,0.774092970521542,0.741437609075044,0.785902943054507,0.725544400795383
"sim12",0.717303240740741,0.650334362139918,0.70044849537037,0.731805555555556,0.718299897119342,0.692979969765684,0.704988365328679,0.737708248679399,0.695220427760803
"sim13",0.735821759259259,0.648662551440329,0.78392650462963,0.741574074074074,0.714506172839506,0.748677248677249,0.690717713787085,0.746284901607941,0.728042097094912
"sim14",0.72337962962963,0.693415637860082,0.742838541666667,0.717083333333333,0.717142489711934,0.740906084656085,0.739019778941245,0.658312532652232,0.695159804064213
"sim15",0.701388888888889,0.818158436213992,0.762586805555556,0.714953703703704,0.741383744855967,0.699333900226757,0.718822716695753,0.62574737330934,0.698736602163053
"sim16",0.674768518518518,0.686085390946502,0.759331597222222,0.747037037037037,0.713798868312757,0.71870275888133,0.774051047120419,0.69370755209845,0.697233134487608
"sim17",0.734375,0.68968621399177,0.658420138888889,0.760185185185185,0.628440072016461,0.716246220710506,0.725803519488074,0.737577639751553,0.771860904990543
"sim18",0.70775462962963,0.687885802469136,0.700014467592593,0.67587962962963,0.734149948559671,0.713246409674981,0.664085223967423,0.733383641957392,0.713625782045686
"sim19",0.58275462962963,0.747299382716049,0.732132523148148,0.744907407407407,0.686953446502058,0.704908352229781,0.741728475858057,0.669907703024322,0.687048353460401
"sim20",0.636574074074074,0.607381687242798,0.757161458333333,0.711527777777778,0.735468106995885,0.730914588057445,0.659122309482257,0.723965287049399,0.741536931955963
"sim21",0.71412037037037,0.667952674897119,0.614366319444444,0.76287037037037,0.689557613168724,0.784155328798186,0.745418848167539,0.698322400882336,0.718803045734517
"sim22",0.587962962962963,0.647890946502058,0.719328703703704,0.762222222222222,0.708912037037037,0.728363567649282,0.719804392088424,0.722978464039009,0.700033949270091
"sim23",0.5625,0.69457304526749,0.755063657407407,0.703842592592593,0.707240226337449,0.741189531368103,0.730675538103549,0.656716201311894,0.717893690285659
"sim24",0.681134259259259,0.738168724279835,0.750506365740741,0.645972222222222,0.693672839506173,0.661281179138322,0.701552501454334,0.692372438613804,0.656275765071051
"sim25",0.662615740740741,0.717721193415638,0.776475694444444,0.657037037037037,0.670685442386831,0.694845993953137,0.711314717859221,0.728899402101353,0.753152432222707
"sim26",0.598958333333333,0.707690329218107,0.717881944444444,0.743611111111111,0.6640625,0.677508503401361,0.711332897033159,0.750638532536135,0.71155245162229
