"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.536458333333333,0.695473251028807,0.720413773148148,0.774305555555556,0.702867798353909,0.731056311413454,0.662630890052356,0.681256167643815,0.726247635675833
"sim2",0.646990740740741,0.666795267489712,0.619502314814815,0.659583333333333,0.693190586419753,0.713104686318972,0.667430191972077,0.653697683868346,0.733425481352151
"sim3",0.769386574074074,0.619341563786008,0.742332175925926,0.708842592592593,0.682227366255144,0.681335034013605,0.680555555555556,0.690500377314681,0.654263058344246
"sim4",0.644097222222222,0.616769547325103,0.574508101851852,0.73287037037037,0.6987204218107,0.696215986394558,0.662467277486911,0.711020491089569,0.696578398564431
"sim5",0.543402777777778,0.660493827160494,0.702256944444444,0.626898148148148,0.679751800411523,0.652210884353742,0.676156195462478,0.711368781563824,0.657463989524225
"sim6",0.781828703703704,0.617541152263374,0.602068865740741,0.632592592592593,0.714088220164609,0.666383219954649,0.692172047702152,0.709496720264701,0.672995780590717
"sim7",0.599537037037037,0.558513374485597,0.691478587962963,0.66912037037037,0.743280606995885,0.68667328042328,0.699534613147179,0.668703198467522,0.686830108152675
"sim8",0.668402777777778,0.61304012345679,0.774377893518518,0.712777777777778,0.701742541152263,0.692436696900983,0.691608493310064,0.692053172345736,0.674305252437073
"sim9",0.740740740740741,0.611882716049383,0.656394675925926,0.688333333333333,0.701035236625514,0.684122260015117,0.660049447353112,0.697727404655483,0.661598525631699
"sim10",0.596643518518518,0.652263374485597,0.75708912037037,0.749444444444444,0.71264146090535,0.745819160997732,0.711187463641652,0.623280315783363,0.68903681070857
"sim11",0.5625,0.716692386831276,0.648582175925926,0.664814814814815,0.686374742798354,0.706467309145881,0.702515997673066,0.706013815522145,0.689970415636064
"sim12",0.615740740740741,0.670267489711934,0.709346064814815,0.690092592592593,0.72974537037037,0.697042705971277,0.688336242001164,0.684681023973994,0.638513021970028
"sim13",0.653356481481482,0.533822016460905,0.619502314814815,0.713472222222222,0.676311728395062,0.723686696900983,0.709951279813845,0.70858245776978,0.717275328580436
"sim14",0.6875,0.748971193415638,0.691984953703704,0.686018518518519,0.696341306584362,0.695814436885865,0.692153868528214,0.716186799791026,0.693147097337407
"sim15",0.552662037037037,0.633101851851852,0.707175925925926,0.737916666666667,0.660300925925926,0.726426681783825,0.670338859802211,0.692517559644744,0.673771763907076
"sim16",0.549479166666667,0.691229423868313,0.541015625,0.611203703703704,0.705793467078189,0.719671201814059,0.709987638161722,0.689992453706391,0.70502934186915
"sim17",0.767071759259259,0.759259259259259,0.620515046296296,0.696666666666667,0.676343878600823,0.687358276643991,0.740128708551483,0.708045509955303,0.69722100974829
