"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.626736111111111,0.57690329218107,0.699146412037037,0.617638888888889,0.630497685185185,0.690995842781557,0.665139616055846,0.642276658733384,0.692407488239003
"sim2",0.62037037037037,0.569701646090535,0.697193287037037,0.693009259259259,0.648180298353909,0.648266250944822,0.643942699243746,0.705752597666454,0.687969833648577
"sim3",0.689236111111111,0.603780864197531,0.721498842592593,0.691018518518518,0.711741255144033,0.672855253212396,0.662140052356021,0.643858477970627,0.647679324894515
"sim4",0.557581018518518,0.708590534979424,0.664279513888889,0.623194444444444,0.686792695473251,0.686649659863946,0.697916666666667,0.714039008533117,0.66376885396964
"sim5",0.55787037037037,0.641975308641975,0.650679976851852,0.690555555555556,0.683867026748971,0.641345427059713,0.668193717277487,0.614340860277471,0.649716281099956
"sim6",0.679398148148148,0.503858024691358,0.653211805555556,0.580046296296296,0.696759259259259,0.687854308390023,0.669066317626527,0.70289371335694,0.667588146854843
"sim7",0.684895833333333,0.482896090534979,0.663628472222222,0.63662037037037,0.713445216049383,0.659155328798186,0.646560500290867,0.59891449468857,0.664229594063728
"sim8",0.680555555555556,0.55761316872428,0.671947337962963,0.736851851851852,0.618505658436214,0.697184429327287,0.62510907504363,0.722136762059558,0.592451137300548
"sim9",0.638888888888889,0.678112139917695,0.645399305555556,0.562824074074074,0.705761316872428,0.731009070294785,0.679064863292612,0.675204620653625,0.669103739269606
"sim10",0.70630787037037,0.580632716049383,0.728877314814815,0.612592592592593,0.711162551440329,0.587986583522298,0.676883362420012,0.597651941719394,0.659694941558757
"sim11",0.751157407407407,0.566358024691358,0.685691550925926,0.651064814814815,0.6953125,0.676563681027967,0.724494618964514,0.682475184303709,0.726659876812649
"sim12",0.682002314814815,0.617798353909465,0.693214699074074,0.631759259259259,0.725437242798354,0.629653250188964,0.656213641652123,0.638779241887734,0.641629079974781
"sim13",0.703703703703704,0.64184670781893,0.605396412037037,0.686157407407407,0.639949845679012,0.650958994708995,0.617219313554392,0.655830963023161,0.663017120131917
"sim14",0.618055555555556,0.620498971193416,0.541160300925926,0.538657407407407,0.600372942386831,0.600434618291761,0.675956224549156,0.675799616880478,0.653826567728794
"sim15",0.563657407407407,0.608667695473251,0.748842592592593,0.680648148148148,0.713445216049383,0.626110166288738,0.626127108784177,0.614282811865095,0.657621611135361
"sim16",0.708333333333333,0.633359053497942,0.703342013888889,0.702962962962963,0.591467335390947,0.620701058201058,0.612801774287376,0.648850641434957,0.690928270042194
