"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.493923611111111,0.704218106995885,0.721064814814815,0.737453703703704,0.652231224279835,0.6989559712774,0.643124636416521,0.678078017066233,0.729982055385809
"sim2",0.648148148148148,0.713734567901235,0.734230324074074,0.644259259259259,0.650077160493827,0.721560846560847,0.69678955788249,0.63592035757822,0.718984916824288
"sim3",0.576967592592593,0.676183127572016,0.778501157407407,0.713842592592593,0.720775462962963,0.715750188964475,0.68826352530541,0.744630521855227,0.703441001018478
"sim4",0.640335648148148,0.625257201646091,0.706235532407407,0.701574074074074,0.689846965020576,0.679610733182162,0.702915939499709,0.702545422882684,0.696687521218294
"sim5",0.5,0.753858024691358,0.670934606481482,0.716712962962963,0.68090920781893,0.655494142101285,0.69886198371146,0.709322575027573,0.708230273049129
"sim6",0.755208333333333,0.654963991769547,0.637803819444444,0.663981481481482,0.711226851851852,0.681429516250945,0.740510471204188,0.754295582515818,0.714680634366361
"sim7",0.668402777777778,0.668338477366255,0.657841435185185,0.724953703703704,0.733088991769547,0.710742630385488,0.707442553810355,0.748418180762756,0.702422522915757
"sim8",0.70775462962963,0.520704732510288,0.771773726851852,0.644861111111111,0.662615740740741,0.710719009826153,0.68662739965096,0.663449817147501,0.679385518211359
"sim9",0.721643518518518,0.722736625514403,0.662905092592593,0.692685185185185,0.665573559670782,0.623417422524565,0.672520360674811,0.699323735995821,0.715868858819535
"sim10",0.665509259259259,0.734310699588477,0.727430555555556,0.707916666666667,0.724344135802469,0.697231670445956,0.70727894124491,0.712007314099959,0.743040399631408
"sim11",0.657986111111111,0.606095679012346,0.661458333333333,0.67337962962963,0.650430812757202,0.751582577475435,0.679864746945899,0.750943286701109,0.736590038314176
"sim12",0.672453703703704,0.576388888888889,0.714916087962963,0.616851851851852,0.695216049382716,0.664800642479214,0.728312245491565,0.74267138793754,0.635166593918231
"sim13",0.744791666666667,0.736625514403292,0.716941550925926,0.678611111111111,0.679140946502058,0.697845804988662,0.688754363001745,0.727303070761015,0.75722634463359
"sim14",0.713541666666667,0.671810699588477,0.649377893518518,0.733333333333333,0.641010802469136,0.747212773998488,0.727621436881908,0.667803448075695,0.716462971046123
"sim15",0.501736111111111,0.621141975308642,0.772063078703704,0.696944444444444,0.652038323045268,0.684547430083144,0.675301774287376,0.653059151332211,0.67445074930889
"sim16",0.567708333333333,0.691743827160494,0.720413773148148,0.71875,0.762988683127572,0.678925736961451,0.729584787667248,0.693388285830383,0.716826713225666
"sim17",0.742476851851852,0.735725308641975,0.61841724537037,0.758009259259259,0.67772633744856,0.689460506424792,0.712896305991856,0.712834503976316,0.701428294291673
"sim18",0.646701388888889,0.622299382716049,0.719545717592593,0.673240740740741,0.648276748971193,0.727489606953893,0.743200988947062,0.727665873338364,0.720779378243368
"sim19",0.677662037037037,0.60570987654321,0.729456018518518,0.686944444444444,0.677340534979424,0.695719954648526,0.709751308900524,0.638808266093922,0.683617052233377
