"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.600115740740741,0.718621399176955,0.66724537037037,0.719953703703704,0.679976851851852,0.701129062736206,0.710260325770797,0.700789458408313,0.726684126291285
"sim2",0.566550925925926,0.702674897119342,0.674623842592593,0.630324074074074,0.685956790123457,0.691917044595616,0.7076061663758,0.657862657456319,0.710036859207527
"sim3",0.545138888888889,0.544367283950617,0.779947916666667,0.67212962962963,0.701485339506173,0.690263605442177,0.717295666084933,0.682431647994427,0.667272903632572
"sim4",0.701967592592593,0.66602366255144,0.648148148148148,0.713055555555556,0.708879886831276,0.681051587301587,0.657540721349622,0.65229000986823,0.68698772976381
"sim5",0.712384259259259,0.617155349794239,0.627604166666667,0.691944444444444,0.729102366255144,0.701506991685563,0.669339005235602,0.699381784408196,0.708642514185945
"sim6",0.796296296296296,0.634387860082305,0.733579282407407,0.676296296296296,0.662937242798354,0.67687074829932,0.691826643397324,0.744369303999536,0.694796061884669
"sim7",0.710358796296296,0.654320987654321,0.735894097222222,0.732083333333333,0.717721193415638,0.69515306122449,0.668448225712624,0.677918383932199,0.755140889470876
"sim8",0.723958333333333,0.608796296296296,0.766059027777778,0.732777777777778,0.673032407407407,0.680248488284203,0.662576352530541,0.672040982179137,0.705405208788011
"sim9",0.666087962962963,0.624871399176955,0.732855902777778,0.634074074074074,0.697723765432099,0.707223167044596,0.64761489237929,0.660590932837987,0.606139967990688
"sim10",0.734953703703704,0.693287037037037,0.745153356481482,0.659259259259259,0.751382458847737,0.675618858654573,0.682118964514252,0.684622975561618,0.697124011833746
"sim11",0.557291666666667,0.673353909465021,0.584635416666667,0.74037037037037,0.693287037037037,0.7598970143613,0.722131326352531,0.724966622162884,0.667406275765071
"sim12",0.565393518518518,0.634645061728395,0.683159722222222,0.671296296296296,0.709040637860082,0.660312736205593,0.733275159976731,0.689818308469263,0.685763131092681
"sim13",0.666666666666667,0.720036008230453,0.765697337962963,0.72412037037037,0.614101080246914,0.676917989417989,0.697062245491565,0.721207987461543,0.718815170473835
"sim14",0.712962962962963,0.56957304526749,0.622829861111111,0.744444444444444,0.611786265432099,0.72177343159486,0.704770215241419,0.707392465316074,0.686951355545856
"sim15",0.597800925925926,0.77880658436214,0.785011574074074,0.682407407407407,0.68261316872428,0.631353930461073,0.707787958115183,0.716709235502409,0.686393617537223
"sim16",0.523148148148148,0.694701646090535,0.67578125,0.778333333333333,0.732317386831276,0.653628117913832,0.70924229203025,0.666323213560109,0.678706532809545
"sim17",0.712962962962963,0.668081275720165,0.637586805555556,0.70212962962963,0.684799382716049,0.716317082388511,0.70629726585224,0.644801764671736,0.725374654444929
"sim18",0.750578703703704,0.613811728395062,0.71166087962963,0.744861111111111,0.646637088477366,0.721442743764172,0.695789703315881,0.692952922737563,0.678270042194093
"sim19",0.669560185185185,0.592592592592593,0.727068865740741,0.673796296296296,0.601658950617284,0.696428571428571,0.74901832460733,0.692691704881871,0.700652310975314
"sim20",0.669560185185185,0.581661522633745,0.653935185185185,0.711759259259259,0.697177211934156,0.735166288737717,0.712950843513671,0.729204156266326,0.723628691983122
"sim21",0.774016203703704,0.551697530864197,0.713107638888889,0.724259259259259,0.636895576131687,0.702310090702948,0.718677283304247,0.706623323852093,0.696348028517387
"sim22",0.660011574074074,0.520190329218107,0.669704861111111,0.692731481481481,0.692644032921811,0.662037037037037,0.700679901105294,0.680385441458176,0.63414811581551
"sim23",0.618055555555556,0.666666666666667,0.704427083333333,0.689861111111111,0.708654835390947,0.726190476190476,0.704733856893543,0.650809775352644,0.676572578689558
"sim24",0.686342592592593,0.606738683127572,0.70044849537037,0.67162037037037,0.671649948559671,0.614110922146636,0.654759307737056,0.662724211992802,0.68558126000291
"sim25",0.640046296296296,0.485339506172839,0.751446759259259,0.682824074074074,0.657793209876543,0.689035336356765,0.624909104130308,0.688991118592907,0.741003443425966
"sim26",0.47974537037037,0.707561728395062,0.619791666666667,0.669259259259259,0.672807355967078,0.705215419501134,0.682682518906341,0.747141115690486,0.726211261457879
"sim27",0.64525462962963,0.698559670781893,0.652416087962963,0.678287037037037,0.646540637860082,0.6760440287226,0.694953461314718,0.718886050966506,0.617840341432659
"sim28",0.629050925925926,0.666923868312757,0.627748842592593,0.689537037037037,0.65454603909465,0.633078231292517,0.685991128563118,0.704968944099379,0.690128037247199
"sim29",0.646990740740741,0.69212962962963,0.627025462962963,0.625787037037037,0.696180555555556,0.638274754346183,0.740437754508435,0.696900214779126,0.674923614142296
"sim30",0.56568287037037,0.66113683127572,0.665870949074074,0.71162037037037,0.728813014403292,0.673658352229781,0.694717132053519,0.67890520694259,0.690103787768563
"sim31",0.622685185185185,0.689171810699588,0.729817708333333,0.714490740740741,0.644547325102881,0.720474300831444,0.707442553810355,0.706841005398502,0.684005043891556
"sim32",0.780092592592593,0.684284979423868,0.672887731481482,0.673657407407407,0.629243827160494,0.680957105064248,0.697171320535195,0.712878040285598,0.70042194092827
"sim33",0.740740740740741,0.774305555555556,0.659505208333333,0.700092592592593,0.682323816872428,0.671886810279667,0.679882926119837,0.686364427932896,0.688576070614482
"sim34",0.592013888888889,0.749356995884774,0.625651041666667,0.679814814814815,0.751478909465021,0.644912131519274,0.718368237347295,0.650258315435073,0.736687036228721
