"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9","nsample=10"
"sim1",0.552083333333333,0.655864197530864,0.694299768518518,0.689490740740741,0.567997685185185,0.673445767195767,0.70967859220477,0.598479131595751,0.678524661719773
"sim2",0.633101851851852,0.656893004115226,0.690827546296296,0.664861111111111,0.613200874485597,0.693428760393046,0.663848894706225,0.648720032507111,0.682222707211795
"sim3",0.580729166666667,0.624228395061728,0.733362268518518,0.61375,0.687692901234568,0.620677437641723,0.668448225712624,0.645614442444999,0.660046558998982
"sim4",0.690972222222222,0.663966049382716,0.544632523148148,0.582824074074074,0.623263888888889,0.600694444444444,0.607238947062245,0.664988100075463,0.709285125369805
"sim5",0.558159722222222,0.619341563786008,0.693287037037037,0.645972222222222,0.637184927983539,0.600009448223734,0.679155759162304,0.634367562547164,0.682101459818614
"sim6",0.704282407407407,0.551183127572016,0.614945023148148,0.569166666666667,0.704153806584362,0.651313303099017,0.682046247818499,0.652623788239392,0.658846209806489
"sim7",0.59693287037037,0.590149176954732,0.696759259259259,0.5875,0.699845679012346,0.660147392290249,0.689536067481094,0.671620131189412,0.617379601338571
"sim8",0.677083333333333,0.650977366255144,0.655164930555556,0.664537037037037,0.607156635802469,0.605135109599395,0.666139470622455,0.642828118650955,0.611850720209515
"sim9",0.649884259259259,0.481481481481482,0.628038194444444,0.621898148148148,0.667759773662551,0.715939153439153,0.63428955788249,0.638866314506298,0.582533100538338
"sim10",0.747685185185185,0.655735596707819,0.690393518518518,0.648564814814815,0.690104166666667,0.612126795162509,0.634216841186736,0.635136704011145,0.656033270284689
"sim11",0.601273148148148,0.568415637860082,0.659722222222222,0.711527777777778,0.694669495884774,0.632038926681784,0.70597004072135,0.685188947582284,0.660276929046026
"sim12",0.665509259259259,0.565072016460905,0.564887152777778,0.740601851851852,0.601433899176955,0.582742819349962,0.664703315881326,0.625399082835084,0.588171104321257
"sim13",0.689236111111111,0.620498971193416,0.60546875,0.650092592592593,0.58912037037037,0.672855253212396,0.687754508435137,0.68069019562315,0.688369950046074
"sim14",0.712384259259259,0.600437242798354,0.533492476851852,0.633611111111111,0.613843878600823,0.647486772486772,0.650632635253054,0.62895454809311,0.664229594063728
"sim15",0.493923611111111,0.659207818930041,0.777488425925926,0.703055555555556,0.666441615226337,0.600151171579743,0.605275596276905,0.614195739246532,0.667903390077113
"sim16",0.737268518518518,0.501671810699588,0.639250578703704,0.676759259259259,0.64891975308642,0.567720143613001,0.690208696916812,0.632829279619202,0.610807992628159
"sim17",0.649305555555556,0.592463991769547,0.641999421296296,0.620092592592593,0.594360853909465,0.672004913076342,0.627417830133799,0.663565913972253,0.681192104369756
"sim18",0.520833333333333,0.602880658436214,0.659215856481482,0.601203703703704,0.580504115226337,0.611678004535147,0.614001599767307,0.586129331862774,0.682744071002473
"sim19",0.55787037037037,0.468878600823045,0.554542824074074,0.673611111111111,0.641653806584362,0.581183862433862,0.682300756253636,0.628577233412666,0.653984189339929
"sim20",0.620659722222222,0.6684670781893,0.648654513888889,0.640648148148148,0.659497170781893,0.60896164021164,0.66586678301338,0.619202414813955,0.608079926281585
"sim21",0.64525462962963,0.60352366255144,0.602647569444444,0.688472222222222,0.678851594650206,0.649234693877551,0.701661576497964,0.651201602136182,0.639470876376158
"sim22",0.613425925925926,0.626414609053498,0.669849537037037,0.672361111111111,0.668563528806584,0.633361678004535,0.617528359511344,0.644613107331514,0.606818953392502
"sim23",0.572337962962963,0.658050411522634,0.674189814814815,0.693657407407407,0.635898919753086,0.703987150415722,0.636961896451425,0.627837116154873,0.668400504389156
"sim24",0.608217592592593,0.603137860082305,0.743706597222222,0.625277777777778,0.611882716049383,0.679634353741497,0.615528650378127,0.645164567249086,0.652335224792667
"sim25",0.767939814814815,0.506558641975309,0.697482638888889,0.663703703703704,0.596257716049383,0.633101851851852,0.623981966259453,0.638576072444419,0.649898152189728
"sim26",0.564236111111111,0.66358024691358,0.576533564814815,0.700138888888889,0.688464506172839,0.641321806500378,0.616710296684119,0.622017762814187,0.703671371065522
"sim27",0.670717592592593,0.61522633744856,0.657262731481482,0.646990740740741,0.617412551440329,0.645904195011338,0.634162303664921,0.639954722238347,0.607449439837043
