"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"1",0.765,0.715,0.815,0.815,0.765,0.735,0.79,0.8,0.79
"2",0.425,0.655,0.705,0.705,0.755,0.705,0.77,0.765,0.755
"3",0.67,0.915,0.78,0.715,0.75,0.76,0.775,0.78,0.795
"4",0.705,0.735,0.665,0.73,0.87,0.8,0.745,0.75,0.775
"5",0.605,0.575,0.87,0.71,0.75,0.715,0.765,0.715,0.81
"6",0.46,0.005,0.78,0.755,0.785,0.755,0.785,0.785,0.725
"7",0.675,0.52,0.645,0.725,0.78,0.735,0.73,0.78,0.81
"8",0.7,0.475,0.785,0.805,0.69,0.7,0.865,0.81,0.82
"9",0.54,0.77,0.725,0.855,0.85,0.76,0.745,0.83,0.77
"10",0.045,0.685,0.84,0.66,0.79,0.77,0.855,0.795,0.8
"11",0.635,0.735,0.655,0.81,0.68,0.86,0.74,0.825,0.78
"12",0.535,0.71,0.785,0.87,0.79,0.73,0.83,0.805,0.79
"13",0.58,0.64,0.695,0.73,0.755,0.825,0.81,0.76,0.82
"14",0.585,0.69,0.72,0.725,0.785,0.86,0.805,0.765,0.765
"15",0.485,0.655,0.785,0.7,0.68,0.77,0.815,0.765,0.835
"16",0.11,0.72,0.655,0.73,0.74,0.7,0.765,0.785,0.785
"17",0.685,0.715,0.84,0.66,0.795,0.75,0.8,0.775,0.82
"18",0.31,0.855,0.795,0.775,0.825,0.76,0.83,0.775,0.79
"19",0.545,0.67,0.78,0.805,0.8,0.78,0.87,0.775,0.795
"20",0.68,0.59,0.655,0.785,0.745,0.76,0.705,0.76,0.785
"21",0.785,0.595,0.77,0.98,0.78,0.815,0.75,0.855,0.79
"22",0.76,0.735,0.705,0.8,0.76,0.78,0.82,0.765,0.765
"23",0.655,0.625,0,0.76,0.795,0.75,0.77,0.75,0.79
"24",0.55,0.725,0.725,0.62,0.84,0.765,0.825,0.76,0.8
"25",0.525,0.795,0.565,0.78,0.78,0.74,0.78,0.765,0.83
"26",0.585,0.24,0.605,0.775,0.805,0.79,0.785,0.78,0.835
"27",0.66,0.895,0.555,0.795,0.73,0.735,0.825,0.77,0.795
"28",0.8,0.755,0.735,0.77,0.76,0.77,0.755,0.715,0.78
"29",0.07,0.385,0.61,0.83,0.725,0.73,0.795,0.79,0.775
"30",0.42,0.735,0.745,0.78,0.815,0.715,0.825,0.8,0.765
"31",0.82,0.64,0.77,0.675,0.805,0.785,0.675,0.795,0.78
"32",0.39,0.74,0.815,0.865,0.76,0.795,0.745,0.82,0.79
"33",0.625,0.27,0.775,0.695,0.715,0.77,0.79,0.76,0.785
"34",0.255,0.715,0.635,0.65,0.77,0.83,0.765,0.725,0.83
"35",0.155,0.74,0.79,0.72,0.66,0.835,0.775,0.755,0.855
"36",0.19,0.805,0.725,0.78,0.67,0.82,0.69,0.755,0.785
"37",0.65,0.54,0.68,0.815,0.73,0.74,0.85,0.71,0.785
"38",0.385,0.725,0.7,0.765,0.785,0.71,0.785,0.76,0.78
"39",0.365,0.76,0.755,0.76,0.855,0.81,0.84,0.77,0.755
"40",0.545,0.68,0.895,0.695,0.73,0.74,0.79,0.75,0.78
"41",0.725,0.565,0.775,0.755,0.85,0.86,0.76,0.78,0.785
"42",0.72,0.695,0.595,0.87,0.73,0.78,0.79,0.78,0.765
"43",0.48,0.555,0.48,0.725,0.84,0.76,0.775,0.76,0.775
"44",0.575,0.61,0.57,0.83,0.805,0.74,0.805,0.765,0.83
"45",0.05,0.655,0.68,0.73,0.69,0.75,0.745,0.7,0.84
"46",0.39,0.74,0.765,0.78,0.755,0.785,0.755,0.765,0.77
"47",0.485,0.6,0.815,0.885,0.74,0.705,0.73,0.76,0.74
"48",0.71,0.095,0.825,0.82,0.75,0.81,0.765,0.82,0.77
"49",0.535,0.435,0.755,0.795,0.795,0.74,0.805,0.78,0.715
"50",0.595,0.72,0.74,0.765,0.785,0.78,0.715,0.805,0.765
"51",0.535,0.63,0.81,0.735,0.67,0.745,0.815,0.795,0.81
"52",0.56,0.705,0.67,0.785,0.785,0.85,0.79,0.78,0.795
"53",0.46,0.675,0.64,0.8,0.72,0.74,0.775,0.775,0.795
"54",0.6,0.74,0.705,0.905,0.83,0.74,0.775,0.83,0.78
"55",0.16,0.565,0.77,0.66,0.79,0.755,0.785,0.71,0.795
"56",0.365,0.615,0.59,0.87,0.86,0.745,0.775,0.745,0.835
"57",0.09,0.595,0.585,0.785,0.76,0.76,0.83,0.815,0.8
"58",0.545,0.495,0.815,0.66,0.83,0.765,0.795,0.745,0.8
"59",0.175,0.795,0.78,0.71,0.795,0.745,0.76,0.82,0.78
"60",0.55,0.475,0.71,0.89,0.88,0.775,0.75,0.82,0.74
"61",0.57,0.585,0.72,0.71,0.675,0.66,0.805,0.825,0.785
"62",0.83,0.835,0.61,0.74,0.8,0.725,0.79,0.79,0.81
"63",0.57,0.56,0.645,0.77,0.77,0.88,0.77,0.755,0.765
"64",0.545,0.85,0.81,0.71,0.845,0.81,0.765,0.75,0.74
"65",0.74,0.815,0.74,0.755,0.765,0.855,0.735,0.755,0.795
"66",0.41,0.71,0.735,0.77,0.805,0.73,0.785,0.81,0.79
"67",0.56,0.77,0.695,0.715,0.81,0.85,0.8,0.71,0.815
"68",0.6,0.475,0.65,0.7,0.72,0.785,0.755,0.835,0.74
"69",0.075,0.755,0.71,0.77,0.75,0.75,0.73,0.84,0.775
"70",0.7,0.8,0.755,0.795,0.76,0.75,0.675,0.775,0.79
"71",0.655,0.705,0.675,0.755,0.8,0.76,0.845,0.79,0.79
