"","pmiss20","pmiss25","pmiss30","pmiss35","pmiss40","pmiss45","pmiss50"
"1",0.875,0.84,0.85,0.77,0.81,0.835,0.775
"2",0.82,0.79,0.82,0.89,0.795,0.795,0.695
"3",0.845,0.885,0.825,0.855,0.875,0.84,0.545
"4",0.84,0.88,0.885,0.86,0.81,0.8,0.815
"5",0.85,0.87,0.84,0.85,0.805,0.935,0.86
"6",0.84,0.83,0.85,0.815,0.91,0.83,0.84
"7",0.84,0.855,0.87,0.845,0.825,0.75,0.89
"8",0.84,0.81,0.785,0.88,0.83,0.825,0.835
"9",0.83,0.875,0.855,0.865,0.79,0.875,0.815
"10",0.835,0.845,0.87,0.915,0.875,0.85,0.755
"11",0.85,0.835,0.835,0.84,0.785,0.865,0.845
"12",0.845,0.835,0.8,0.785,0.885,0.885,0.9075
"13",0.865,0.86,0.905,0.755,0.84,0.885,0.775
"14",0.85,0.84,0.815,0.81,0.755,0.88,0.82
"15",0.83,0.8,0.815,0.735,0.765,0.83,0.855
"16",0.845,0.825,0.83,0.85,0.805,0.825,0.81
"17",0.835,0.825,0.835,0.82,0.915,0.8,0.83
"18",0.83,0.855,0.82,0.78,0.87,0.85,0.755
"19",0.845,0.835,0.84,0.84,0.77,0.825,0.845
"20",0.805,0.855,0.84,0.83,0.795,0.87,0.8
"21",0.825,0.84,0.72,0.815,0.715,0.805,0.8
"22",0.865,0.85,0.8,0.8,0.835,0.895,0.695
"23",0.84,0.835,0.835,0.9,0.795,0.875,0.77
"24",0.83,0.83,0.84,0.845,0.865,0.77,0.815
"25",0.835,0.87,0.84,0.865,0.825,0.84,0.735
"26",0.82,0.765,0.78,0.86,0.805,0.87,0.845
"27",0.85,0.83,0.84,0.88,0.835,0.795,0.67
"28",0.865,0.775,0.84,0.9,0.815,0.905,0.78
"29",0.84,0.87,0.775,0.785,0.725,0.84,0.81
"30",0.855,0.855,0.87,0.85,0.785,0.795,0.805
"31",0.825,0.85,0.82,0.835,0.81,0.815,0.72
"32",0.85,0.845,0.78,0.82,0.835,0.79,0.845
"33",0.83,0.865,0.835,0.805,0.715,0.8,0.825
"34",0.885,0.895,0.815,0.845,0.835,0.76,0.9
"35",0.795,0.825,0.835,0.82,0.855,0.89,0.86
"36",0.835,0.825,0.83,0.82,0.87,0.835,0.75
