"","pmiss20","pmiss25","pmiss30","pmiss35","pmiss40","pmiss45","pmiss50"
"1",0.845,0.845,0.85,0.775,0.85,0.825,0.845
"2",0.825,0.805,0.81,0.84,0.83,0.845,0.78
"3",0.845,0.82,0.84,0.85,0.835,0.82,0.755
"4",0.86,0.845,0.795,0.86,0.79,0.805,0.77
"5",0.845,0.85,0.805,0.865,0.77,0.79,0.85
"6",0.855,0.85,0.85,0.845,0.855,0.815,0.785
"7",0.83,0.84,0.85,0.83,0.885,0.805,0.84
"8",0.845,0.84,0.82,0.86,0.84,0.85,0.82
"9",0.845,0.85,0.825,0.85,0.83,0.82,0.8
"10",0.845,0.825,0.85,0.86,0.83,0.85,0.765
"11",0.845,0.845,0.845,0.845,0.805,0.8,0.805
"12",0.835,0.855,0.865,0.79,0.87,0.85,0.835
"13",0.855,0.84,0.82,0.79,0.83,0.835,0.85
"14",0.835,0.845,0.85,0.83,0.825,0.855,0.795
"15",0.84,0.85,0.82,0.825,0.785,0.79,0.855
"16",0.855,0.805,0.845,0.86,0.825,0.805,0.845
"17",0.845,0.85,0.835,0.85,0.87,0.755,0.825
"18",0.845,0.85,0.84,0.83,0.88,0.84,0.785
"19",0.855,0.84,0.805,0.875,0.77,0.8,0.835
"20",0.83,0.85,0.815,0.815,0.8,0.815,0.82
"21",0.845,0.82,0.815,0.79,0.765,0.81,0.78
"22",0.855,0.85,0.825,0.82,0.85,0.89,0.75
"23",0.845,0.845,0.83,0.86,0.83,0.86,0.86
"24",0.845,0.825,0.85,0.83,0.81,0.825,0.855
"25",0.85,0.835,0.79,0.85,0.83,0.795,0.865
"26",0.855,0.785,0.81,0.835,0.815,0.825,0.76
"27",0.85,0.835,0.87,0.85,0.86,0.83,0.79
"28",0.83,0.825,0.825,0.83,0.845,0.865,0.785
"29",0.835,0.84,0.84,0.83,0.77,0.815,0.845
"30",0.845,0.835,0.845,0.85,0.845,0.81,0.795
"31",0.835,0.865,0.795,0.79,0.8,0.88,0.855
"32",0.85,0.835,0.805,0.8,0.805,0.85,0.79
"33",0.85,0.835,0.845,0.845,0.785,0.775,0.85
"34",0.86,0.845,0.865,0.795,0.83,0.785,0.84
"35",0.825,0.805,0.825,0.825,0.78,0.845,0.875
"36",0.845,0.84,0.885,0.83,0.835,0.81,0.82
"37",0.855,0.83,0.84,0.81,0.785,0.85,0.825
"38",0.845,0.83,0.82,0.845,0.79,0.805,0.83
"39",0.82,0.805,0.8,0.84,0.81,0.865,0.85
"40",0.84,0.86,0.845,0.81,0.84,0.835,0.79
"41",0.845,0.84,0.82,0.825,0.84,0.835,0.86
"42",0.86,0.835,0.8,0.81,0.805,0.845,0.75
"43",0.84,0.81,0.865,0.84,0.815,0.815,0.865
"44",0.84,0.805,0.815,0.84,0.795,0.835,0.775
"45",0.85,0.835,0.82,0.855,0.86,0.815,0.805
"46",0.845,0.825,0.845,0.82,0.805,0.805,0.795
"47",0.855,0.845,0.815,0.825,0.83,0.87,0.88
"48",0.85,0.845,0.825,0.835,0.8,0.845,0.84
"49",0.835,0.86,0.815,0.84,0.81,0.84,0.815
"50",0.845,0.835,0.85,0.84,0.815,0.83,0.77
"51",0.85,0.85,0.855,0.82,0.815,0.85,0.785
"52",0.845,0.845,0.87,0.845,0.825,0.83,0.825
"53",0.84,0.86,0.83,0.82,0.775,0.83,0.85
"54",0.86,0.83,0.83,0.835,0.79,0.79,0.835
"55",0.86,0.82,0.835,0.815,0.84,0.835,0.855
"56",0.84,0.82,0.845,0.87,0.795,0.815,0.835
"57",0.825,0.855,0.84,0.845,0.815,0.765,0.84
"58",0.835,0.86,0.815,0.845,0.825,0.745,0.89
"59",0.845,0.82,0.83,0.86,0.805,0.775,0.82
"60",0.85,0.85,0.795,0.84,0.855,0.87,0.795
"61",0.845,0.845,0.775,0.875,0.88,0.81,0.87
"62",0.845,0.845,0.845,0.85,0.795,0.78,0.82
"63",0.81,0.835,0.825,0.84,0.85,0.79,0.805
"64",0.84,0.835,0.865,0.83,0.81,0.785,0.79
"65",0.855,0.835,0.81,0.83,0.785,0.81,0.74
"66",0.855,0.85,0.855,0.8,0.725,0.82,0.74
"67",0.84,0.835,0.835,0.81,0.83,0.82,0.865
"68",0.845,0.835,0.845,0.87,0.825,0.82,0.86
"69",0.845,0.84,0.82,0.845,0.84,0.85,0.86
"70",0.84,0.84,0.835,0.815,0.865,0.895,0.79
"71",0.85,0.845,0.845,0.855,0.855,0.81,0.845
"72",0.83,0.845,0.845,0.815,0.795,0.835,0.85
"73",0.855,0.84,0.81,0.825,0.81,0.785,0.8
"74",0.84,0.835,0.845,0.795,0.86,0.83,0.835
"75",0.835,0.835,0.81,0.825,0.84,0.785,0.78
"76",0.83,0.84,0.805,0.865,0.805,0.85,0.82
"77",0.845,0.825,0.815,0.855,0.765,0.83,0.805
"78",0.83,0.8,0.84,0.82,0.87,0.85,0.77
"79",0.825,0.835,0.815,0.875,0.83,0.84,0.805
"80",0.845,0.85,0.875,0.855,0.845,0.84,0.805
"81",0.86,0.835,0.86,0.82,0.875,0.875,0.855
"82",0.84,0.845,0.825,0.83,0.785,0.85,0.82
"83",0.835,0.845,0.815,0.8,0.81,0.81,0.77
"84",0.85,0.825,0.845,0.85,0.825,0.805,0.885
"85",0.825,0.855,0.845,0.87,0.85,0.845,0.83
"86",0.855,0.84,0.815,0.815,0.79,0.875,0.835
"87",0.85,0.855,0.83,0.835,0.81,0.92,0.795
"88",0.85,0.845,0.85,0.86,0.825,0.775,0.84
"89",0.86,0.825,0.855,0.86,0.84,0.805,0.875
"90",0.84,0.85,0.845,0.825,0.84,0.855,0.74
"91",0.845,0.845,0.845,0.815,0.8,0.855,0.83
"92",0.845,0.81,0.83,0.79,0.825,0.84,0.76
"93",0.845,0.825,0.82,0.855,0.84,0.8,0.855
"94",0.865,0.86,0.86,0.795,0.815,0.835,0.785
"95",0.845,0.815,0.83,0.78,0.82,0.805,0.725
"96",0.825,0.845,0.835,0.83,0.83,0.795,0.815
"97",0.845,0.855,0.79,0.815,0.86,0.83,0.77
"98",0.845,0.815,0.815,0.855,0.86,0.83,0.775
"99",0.845,0.825,0.875,0.79,0.84,0.815,0.82
"100",0.835,0.87,0.825,0.855,0.835,0.77,0.775
