"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"1",0.8075,0.675,0.73,0.75,0.715,0.69,0.6525,0.73,0.725
"2",0.59,0.6025,0.63,0.635,0.61,0.6,0.735,0.625,0.5875
"3",0.7225,0.81,0.715,0.645,0.6775,0.615,0.71,0.72,0.69
"4",0.74,0.765,0.7,0.685,0.6825,0.705,0.62,0.635,0.7025
"5",0.4475,0.6575,0.7275,0.6925,0.7175,0.72,0.71,0.695,0.76
"6",0.7625,0.4125,0.82,0.7575,0.795,0.725,0.58,0.55,0.6675
"7",0.725,0.6125,0.705,0.67,0.65,0.565,0.65,0.68,0.745
"8",0.66,0.6225,0.79,0.5825,0.705,0.7225,0.7475,0.7275,0.675
"9",0.6175,0.835,0.655,0.86,0.71,0.505,0.62,0.7425,0.645
"10",0.5925,0.6325,0.83,0.665,0.705,0.7525,0.74,0.605,0.75
"11",0.5625,0.55,0.435,0.8125,0.6125,0.72,0.6725,0.73,0.705
"12",0.545,0.7675,0.755,0.7025,0.7825,0.67,0.765,0.74,0.7275
"13",0.655,0.4825,0.75,0.77,0.72,0.755,0.725,0.725,0.755
"14",0.825,0.665,0.7875,0.545,0.74,0.71,0.675,0.54,0.675
"15",0.72,0.4875,0.62,0.52,0.645,0.645,0.65,0.7075,0.755
"16",0.515,0.775,0.5,0.625,0.685,0.63,0.6575,0.6675,0.685
"17",0.8275,0.63,0.805,0.54,0.81,0.67,0.755,0.635,0.745
"18",0.4525,0.885,0.68,0.6425,0.5925,0.68,0.7425,0.735,0.7225
"19",0.5525,0.53,0.835,0.76,0.79,0.7975,0.7475,0.675,0.5925
"20",0.8,0.44,0.5175,0.7525,0.745,0.585,0.575,0.665,0.7175
"21",0.735,0.5775,0.6775,0.8325,0.7125,0.7225,0.78,0.7975,0.615
"22",0.53,0.765,0.605,0.715,0.64,0.695,0.6375,0.6125,0.74
"23",0.4625,0.6375,0.83,0.75,0.675,0.6125,0.6225,0.67,0.6525
"24",0.7675,0.62,0.805,0.515,0.75,0.645,0.7875,0.6275,0.695
"25",0.265,0.76,0.505,0.765,0.64,0.68,0.665,0.675,0.685
"26",0.455,0.465,0.4825,0.915,0.69,0.66,0.76,0.5825,0.74
"27",0.6375,0.61,0.6175,0.715,0.7225,0.7,0.745,0.62,0.7475
"28",0.8275,0.635,0.55,0.835,0.655,0.7525,0.58,0.65,0.735
"29",0.3075,0.665,0.385,0.7175,0.4625,0.6625,0.725,0.68,0.665
"30",0.685,0.7675,0.675,0.54,0.835,0.7125,0.74,0.63,0.71
"31",0.875,0.3525,0.625,0.58,0.7025,0.745,0.6,0.755,0.645
"32",0.615,0.705,0.7025,0.8,0.7,0.765,0.5975,0.73,0.75
"33",0.655,0.525,0.77,0.6675,0.615,0.7475,0.715,0.5825,0.6575
"34",0.7175,0.655,0.5425,0.715,0.7,0.735,0.74,0.685,0.7125
"35",0.545,0.84,0.7775,0.615,0.53,0.795,0.515,0.565,0.7225
"36",0.7775,0.775,0.7625,0.71,0.54,0.75,0.515,0.5925,0.61
"37",0.6175,0.63,0.56,0.685,0.7,0.705,0.815,0.5075,0.705
"38",0.765,0.595,0.6675,0.75,0.635,0.71,0.725,0.6325,0.69
"39",0.545,0.665,0.7925,0.7,0.875,0.8175,0.68,0.65,0.585
"40",0.6925,0.67,0.8075,0.5725,0.69,0.7225,0.705,0.6675,0.625
"41",0.7175,0.685,0.695,0.76,0.835,0.8,0.5775,0.595,0.715
"42",0.635,0.5825,0.3375,0.795,0.645,0.5825,0.755,0.71,0.58
"43",0.77,0.44,0.24,0.785,0.7475,0.71,0.7125,0.69,0.645
"44",0.73,0.6675,0.5075,0.7725,0.775,0.655,0.81,0.635,0.7725
"45",0.5725,0.57,0.55,0.52,0.59,0.695,0.6875,0.575,0.79
"46",0.69,0.79,0.715,0.74,0.655,0.78,0.675,0.665,0.625
"47",0.39,0.625,0.7075,0.78,0.725,0.6225,0.6,0.615,0.65
"48",0.675,0.61,0.7,0.74,0.73,0.6975,0.685,0.71,0.69
"49",0.59,0.835,0.7275,0.59,0.7675,0.745,0.805,0.765,0.6975
"50",0.665,0.6275,0.6625,0.7725,0.7075,0.7275,0.565,0.78,0.58
"51",0.4975,0.53,0.7075,0.7,0.6425,0.785,0.72,0.685,0.6425
"52",0.4275,0.775,0.745,0.735,0.72,0.8025,0.6675,0.63,0.725
"53",0.705,0.4225,0.55,0.775,0.695,0.6125,0.6325,0.6575,0.635
"54",0.6425,0.785,0.595,0.84,0.765,0.68,0.7325,0.6375,0.6325
"55",0.445,0.7525,0.855,0.7,0.685,0.63,0.755,0.645,0.76
"56",0.58,0.745,0.5325,0.785,0.76,0.6625,0.7275,0.595,0.765
"57",0.515,0.5575,0.4425,0.775,0.745,0.6775,0.805,0.665,0.74
"58",0.54,0.58,0.7675,0.64,0.83,0.565,0.7475,0.67,0.67
"59",0.4475,0.77,0.775,0.705,0.725,0.66,0.6125,0.71,0.725
"60",0.67,0.63,0.745,0.86,0.765,0.79,0.67,0.765,0.44
"61",0.49,0.5975,0.6025,0.625,0.5875,0.645,0.7025,0.73,0.725
"62",0.875,0.785,0.455,0.72,0.615,0.6925,0.6775,0.6125,0.64
"63",0.34,0.3625,0.6325,0.725,0.7875,0.76,0.725,0.6,0.62
"64",0.73,0.775,0.8,0.585,0.7275,0.735,0.725,0.565,0.635
"65",0.7275,0.945,0.655,0.785,0.73,0.72,0.615,0.66,0.6275
"66",0.53,0.535,0.49,0.7125,0.6975,0.7525,0.5075,0.715,0.5825
"67",0.515,0.8225,0.83,0.72,0.795,0.8475,0.775,0.68,0.765
"68",0.68,0.72,0.69,0.635,0.6325,0.61,0.7325,0.725,0.6425
"69",0.46,0.815,0.7275,0.7225,0.795,0.565,0.715,0.845,0.725
"70",0.695,0.825,0.6825,0.76,0.535,0.39,0.5475,0.77,0.7225
"71",0.55,0.5475,0.745,0.65,0.7775,0.625,0.805,0.755,0.67
"72",0.6875,0.56,0.63,0.7525,0.51,0.7275,0.7,0.6175,0.58
"73",0.57,0.76,0.715,0.525,0.6275,0.705,0.7725,0.81,0.78
"74",0.585,0.355,0.58,0.79,0.76,0.655,0.775,0.6775,0.78
"75",0.5125,0.6225,0.82,0.735,0.605,0.7175,0.7525,0.735,0.73
"76",0.3,0.43,0.6275,0.665,0.585,0.58,0.6575,0.67,0.59
"77",0.5875,0.725,0.6175,0.835,0.765,0.645,0.655,0.78,0.7625
"78",0.455,0.745,0.775,0.76,0.58,0.6425,0.66,0.775,0.64
"79",0.68,0.66,0.615,0.74,0.75,0.675,0.695,0.69,0.7725
"80",0.71,0.715,0.5775,0.685,0.6075,0.7375,0.64,0.7025,0.71
