"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"1",0.84,0.715,0.76,0.7625,0.715,0.72,0.645,0.74,0.695
"2",0.6,0.635,0.62,0.615,0.66,0.575,0.735,0.63,0.6125
"3",0.705,0.7875,0.7,0.62,0.6725,0.65,0.715,0.7475,0.72
"4",0.8575,0.785,0.6975,0.68,0.715,0.6425,0.615,0.665,0.7075
"5",0.5575,0.5575,0.7475,0.6525,0.765,0.675,0.68,0.7175,0.755
"6",0.7,0.445,0.7875,0.775,0.79,0.78,0.59,0.5525,0.6775
"7",0.675,0.6225,0.7325,0.67,0.595,0.6075,0.645,0.705,0.735
"8",0.7325,0.635,0.83,0.6275,0.64,0.745,0.785,0.705,0.735
"9",0.615,0.865,0.67,0.865,0.73,0.515,0.66,0.7175,0.6575
"10",0.5425,0.645,0.86,0.665,0.7025,0.76,0.7525,0.625,0.7525
"11",0.625,0.565,0.4675,0.815,0.6225,0.75,0.695,0.73,0.705
"12",0.6525,0.8275,0.74,0.685,0.79,0.67,0.765,0.72,0.745
"13",0.6325,0.49,0.7525,0.8075,0.74,0.755,0.7225,0.64,0.715
"14",0.735,0.64,0.745,0.61,0.7275,0.7725,0.73,0.61,0.665
"15",0.595,0.4825,0.6225,0.55,0.6675,0.7025,0.69,0.7475,0.7425
"16",0.5675,0.7725,0.42,0.66,0.6575,0.645,0.69,0.66,0.71
"17",0.7475,0.58,0.815,0.5675,0.8225,0.72,0.7425,0.65,0.755
"18",0.4475,0.8575,0.665,0.65,0.61,0.665,0.7825,0.74,0.735
"19",0.5,0.485,0.825,0.77,0.79,0.795,0.8,0.705,0.62
"20",0.8,0.45,0.495,0.75,0.7425,0.575,0.5125,0.665,0.75
"21",0.785,0.3925,0.64,0.8875,0.705,0.75,0.795,0.8,0.63
"22",0.45,0.7075,0.6375,0.7,0.615,0.62,0.6675,0.605,0.75
"23",0.415,0.475,0.795,0.785,0.68,0.63,0.6375,0.6825,0.6325
"24",0.795,0.655,0.7975,0.4975,0.785,0.645,0.8125,0.645,0.72
"25",0.335,0.74,0.4925,0.79,0.68,0.6475,0.655,0.695,0.665
"26",0.58,0.455,0.52,0.905,0.7325,0.71,0.75,0.605,0.725
"27",0.695,0.685,0.56,0.74,0.7225,0.65,0.73,0.565,0.7875
"28",0.905,0.62,0.54,0.805,0.65,0.7525,0.5775,0.585,0.7525
"29",0.4175,0.66,0.44,0.7275,0.5125,0.655,0.765,0.6925,0.575
"30",0.64,0.75,0.695,0.625,0.81,0.74,0.775,0.66,0.69
"31",0.825,0.4025,0.655,0.5725,0.7225,0.75,0.615,0.775,0.675
"32",0.73,0.77,0.745,0.79,0.7,0.7525,0.575,0.7575,0.75
"33",0.565,0.5475,0.7125,0.585,0.65,0.785,0.725,0.605,0.67
"34",0.805,0.65,0.55,0.685,0.75,0.725,0.7425,0.68,0.715
"35",0.4675,0.765,0.7375,0.52,0.55,0.7975,0.55,0.57,0.7375
"36",0.585,0.765,0.815,0.745,0.57,0.745,0.53,0.6,0.575
"37",0.535,0.6275,0.575,0.6725,0.67,0.7,0.77,0.5625,0.675
"38",0.7175,0.65,0.705,0.7375,0.6725,0.76,0.695,0.57,0.7
"39",0.615,0.6825,0.7575,0.69,0.875,0.8525,0.67,0.67,0.595
"40",0.67,0.645,0.835,0.55,0.7,0.735,0.725,0.665,0.6325
"41",0.74,0.665,0.66,0.75,0.825,0.82,0.585,0.58,0.745
"42",0.665,0.5275,0.29,0.795,0.63,0.615,0.755,0.6775,0.575
"43",0.7575,0.5425,0.285,0.8,0.715,0.705,0.715,0.7125,0.6375
"44",0.73,0.605,0.545,0.7775,0.775,0.64,0.8225,0.615,0.755
"45",0.61,0.535,0.585,0.52,0.585,0.695,0.685,0.575,0.8
"46",0.7425,0.75,0.715,0.745,0.7,0.8125,0.76,0.69,0.6375
"47",0.505,0.575,0.705,0.845,0.745,0.585,0.6,0.66,0.6775
"48",0.665,0.67,0.71,0.75,0.7175,0.7175,0.7,0.72,0.705
"49",0.57,0.91,0.735,0.6075,0.765,0.735,0.7725,0.7525,0.6975
"50",0.655,0.6925,0.6425,0.81,0.7325,0.755,0.5775,0.7425,0.61
"51",0.34,0.4425,0.765,0.7,0.675,0.78,0.7,0.7,0.66
"52",0.435,0.82,0.76,0.695,0.715,0.835,0.6975,0.6425,0.735
"53",0.5925,0.535,0.565,0.7575,0.675,0.615,0.63,0.6075,0.695
"54",0.6075,0.75,0.5475,0.855,0.74,0.685,0.755,0.65,0.635
"55",0.555,0.7275,0.8525,0.695,0.705,0.58,0.7425,0.65,0.7575
"56",0.685,0.7775,0.5175,0.8025,0.7575,0.66,0.715,0.6425,0.7925
"57",0.6925,0.5275,0.405,0.7675,0.765,0.6625,0.815,0.6875,0.7575
"58",0.585,0.565,0.8025,0.605,0.805,0.56,0.7525,0.675,0.67
"59",0.4975,0.75,0.7725,0.675,0.75,0.6225,0.625,0.7025,0.705
"60",0.7,0.69,0.74,0.835,0.7825,0.775,0.6925,0.7825,0.46
"61",0.465,0.645,0.5975,0.65,0.5925,0.695,0.705,0.76,0.7425
"62",0.865,0.785,0.49,0.71,0.69,0.695,0.745,0.625,0.715
"63",0.3975,0.42,0.615,0.755,0.805,0.8,0.735,0.6075,0.585
"64",0.6525,0.855,0.815,0.6625,0.7425,0.7275,0.73,0.5725,0.64
"65",0.755,0.78,0.69,0.705,0.735,0.715,0.63,0.635,0.6325
"66",0.5575,0.58,0.5025,0.69,0.6925,0.7625,0.5625,0.725,0.5825
"67",0.6,0.805,0.8275,0.725,0.79,0.8575,0.7775,0.66,0.78
"68",0.6825,0.6275,0.6975,0.6875,0.62,0.6325,0.7275,0.74,0.6625
"69",0.415,0.815,0.67,0.765,0.82,0.5825,0.68,0.8375,0.735
"70",0.6675,0.8325,0.7175,0.7625,0.585,0.445,0.505,0.745,0.715
"71",0.535,0.525,0.775,0.6475,0.7675,0.635,0.805,0.6775,0.64
"72",0.72,0.555,0.59,0.7125,0.49,0.73,0.72,0.65,0.5975
"73",0.5975,0.815,0.77,0.52,0.6625,0.67,0.78,0.8,0.79
