"","pmiss20","pmiss25","pmiss30","pmiss35","pmiss40","pmiss45","pmiss50"
"1",0.81,0.755,0.755,0.705,0.7725,0.8175,0.67
"2",0.715,0.675,0.75,0.77,0.7625,0.7525,0.72
"3",0.74,0.7675,0.78,0.75,0.7825,0.71,0.57
"4",0.7125,0.765,0.7625,0.7475,0.63,0.715,0.8075
"5",0.735,0.73,0.715,0.645,0.555,0.8075,0.7425
"6",0.73,0.735,0.6975,0.7725,0.73,0.7075,0.795
"7",0.775,0.7675,0.765,0.81,0.71,0.655,0.87
"8",0.7175,0.8,0.615,0.78,0.7275,0.7525,0.68
"9",0.7225,0.7175,0.675,0.705,0.725,0.765,0.8075
"10",0.7925,0.75,0.7125,0.745,0.8325,0.765,0.67
"11",0.76,0.71,0.7825,0.7525,0.705,0.7375,0.7875
"12",0.695,0.75,0.8075,0.63,0.845,0.8175,0.835
"13",0.77,0.755,0.795,0.645,0.765,0.82,0.67
"14",0.7275,0.7275,0.7375,0.6775,0.79,0.74,0.7975
"15",0.77,0.68,0.725,0.75,0.7375,0.84,0.75
"16",0.74,0.645,0.66,0.7375,0.73,0.71,0.71
"17",0.78,0.735,0.7025,0.8,0.81,0.79,0.7775
"18",0.7475,0.7925,0.6875,0.7125,0.75,0.775,0.635
"19",0.7425,0.75,0.77,0.81,0.615,0.67,0.785
"20",0.755,0.7525,0.6975,0.695,0.6925,0.77,0.79
"21",0.7575,0.7,0.63,0.775,0.65,0.695,0.7625
"22",0.745,0.79,0.73,0.8025,0.7075,0.835,0.72
"23",0.7625,0.7175,0.7275,0.75,0.6975,0.765,0.7
"24",0.71,0.735,0.73,0.7725,0.7925,0.635,0.935
"25",0.755,0.725,0.7675,0.75,0.795,0.76,0.62
"26",0.715,0.6375,0.6425,0.7175,0.7225,0.675,0.7525
"27",0.745,0.765,0.74,0.81,0.8125,0.615,0.6
"28",0.735,0.63,0.8,0.7475,0.72,0.8025,0.8875
"29",0.745,0.81,0.705,0.7275,0.69,0.79,0.8125
"30",0.77,0.705,0.77,0.7925,0.7025,0.5625,0.8025
"31",0.72,0.75,0.645,0.735,0.745,0.79,0.6775
"32",0.745,0.76,0.6175,0.71,0.7775,0.7225,0.735
"33",0.7375,0.77,0.77,0.705,0.57,0.7225,0.73
"34",0.755,0.8675,0.7125,0.6575,0.7425,0.715,0.7625
"35",0.7,0.7325,0.695,0.7175,0.71,0.72,0.7125
"36",0.72,0.7475,0.745,0.725,0.7425,0.835,0.755
"37",0.735,0.7475,0.6575,0.655,0.89,0.7,0.765
"38",0.775,0.715,0.715,0.7225,0.7125,0.8,0.825
"39",0.795,0.65,0.7275,0.79,0.7675,0.73,0.75
"40",0.805,0.72,0.7375,0.7925,0.69,0.69,0.56
"41",0.7225,0.725,0.6525,0.7725,0.7625,0.7825,0.725
"42",0.72,0.725,0.695,0.7825,0.735,0.7425,0.675
"43",0.735,0.71,0.78,0.6575,0.7675,0.7525,0.76
"44",0.76,0.745,0.79,0.695,0.83,0.725,0.7
"45",0.755,0.68,0.77,0.825,0.81,0.76,0.635
"46",0.74,0.785,0.75,0.7675,0.685,0.69,0.8125
"47",0.725,0.73,0.6775,0.725,0.645,0.735,0.825
"48",0.765,0.76,0.6175,0.695,0.725,0.665,0.7
"49",0.7225,0.7325,0.65,0.7875,0.815,0.71,0.6275
"50",0.76,0.74,0.77,0.82,0.71,0.745,0.72
"51",0.65,0.775,0.7475,0.715,0.795,0.705,0.8275
"52",0.705,0.705,0.7125,0.805,0.765,0.72,0.6575
"53",0.7525,0.7375,0.7975,0.62,0.6125,0.7925,0.755
"54",0.7625,0.695,0.6975,0.77,0.7925,0.77,0.78
"55",0.755,0.735,0.72,0.6975,0.76,0.84,0.9075
"56",0.73,0.745,0.7575,0.755,0.755,0.655,0.765
"57",0.74,0.7325,0.65,0.73,0.835,0.725,0.835
"58",0.715,0.7275,0.755,0.69,0.605,0.6525,0.685
"59",0.74,0.68,0.75,0.7475,0.775,0.6975,0.7175
"60",0.76,0.7225,0.635,0.8075,0.73,0.6825,0.6175
"61",0.74,0.715,0.61,0.735,0.7425,0.7325,0.7875
"62",0.755,0.635,0.7575,0.795,0.75,0.76,0.82
"63",0.73,0.745,0.7275,0.7425,0.8025,0.545,0.63
"64",0.71,0.665,0.7525,0.725,0.775,0.6925,0.6
"65",0.7725,0.7375,0.76,0.7375,0.67,0.655,0.7025
"66",0.8,0.7075,0.72,0.705,0.6225,0.8225,0.6925
"67",0.7375,0.715,0.7775,0.735,0.74,0.715,0.86
"68",0.7425,0.77,0.755,0.765,0.755,0.7525,0.775
"69",0.74,0.75,0.7625,0.81,0.755,0.75,0.79
"70",0.755,0.7525,0.705,0.72,0.7625,0.87,0.7175
"71",0.7825,0.7925,0.775,0.7625,0.75,0.675,0.715
"72",0.68,0.7075,0.71,0.76,0.7425,0.79,0.695
"73",0.75,0.7175,0.7675,0.7,0.7725,0.7225,0.69
"74",0.685,0.73,0.77,0.635,0.8225,0.71,0.6175
"75",0.745,0.8075,0.745,0.79,0.935,0.695,0.7575
"76",0.74,0.73,0.6325,0.785,0.77,0.855,0.685
"77",0.75,0.75,0.705,0.7225,0.66,0.7875,0.7575
"78",0.77,0.745,0.8075,0.775,0.77,0.7775,0.57
"79",0.7775,0.7525,0.7475,0.815,0.8,0.73,0.78
"80",0.725,0.72,0.77,0.8125,0.685,0.67,0.755
"81",0.785,0.765,0.7225,0.6625,0.85,0.62,0.7775
"82",0.7525,0.7375,0.7925,0.765,0.7275,0.7275,0.83
"83",0.735,0.7225,0.7325,0.7325,0.785,0.685,0.85
"84",0.75,0.715,0.715,0.8175,0.73,0.66,0.71
"85",0.72,0.72,0.75,0.7675,0.745,0.67,0.9
"86",0.76,0.67,0.7675,0.7925,0.6925,0.8325,0.73
"87",0.72,0.8075,0.725,0.655,0.805,0.8975,0.715
"88",0.76,0.7475,0.7,0.735,0.71,0.6125,0.79
"89",0.74,0.71,0.73,0.7,0.7125,0.695,0.7275
"90",0.74,0.7875,0.885,0.725,0.7925,0.795,0.585
"91",0.74,0.715,0.77,0.85,0.665,0.83,0.765
"92",0.7275,0.8075,0.685,0.635,0.69,0.74,0.685
"93",0.75,0.67,0.765,0.815,0.7625,0.7675,0.745
"94",0.75,0.72,0.7625,0.7325,0.7125,0.75,0.705
"95",0.715,0.74,0.695,0.745,0.74,0.7825,0.68
"96",0.7,0.695,0.7075,0.75,0.69,0.7325,0.7675
"97",0.74,0.78,0.775,0.745,0.775,0.8,0.69
"98",0.79,0.805,0.735,0.7875,0.765,0.775,0.815
"99",0.725,0.765,0.725,0.72,0.735,0.875,0.7575
"100",0.73,0.695,0.735,0.865,0.78,0.675,0.7675
