"","pmiss20","pmiss25","pmiss30","pmiss35","pmiss40","pmiss45","pmiss50"
"1",0.875,0.865,0.855,0.7975,0.7975,0.85,0.865
"2",0.8625,0.8325,0.83,0.8425,0.815,0.865,0.815
"3",0.825,0.8325,0.835,0.83,0.875,0.875,0.78
"4",0.835,0.8775,0.8675,0.885,0.7725,0.865,0.85
"5",0.9125,0.87,0.855,0.8225,0.83,0.82,0.815
"6",0.82,0.885,0.9325,0.845,0.85,0.9075,0.82
"7",0.83,0.8275,0.8575,0.865,0.895,0.845,0.87
"8",0.815,0.87,0.845,0.93,0.79,0.8275,0.82
"9",0.8125,0.86,0.7875,0.885,0.7925,0.795,0.875
"10",0.865,0.84,0.84,0.865,0.92,0.885,0.9
"11",0.8425,0.8575,0.895,0.8375,0.84,0.825,0.785
"12",0.84,0.86,0.84,0.805,0.935,0.83,0.8725
"13",0.855,0.8325,0.935,0.8275,0.8275,0.87,0.89
"14",0.8125,0.845,0.87,0.895,0.86,0.9275,0.7975
"15",0.825,0.83,0.845,0.895,0.835,0.865,0.9
"16",0.825,0.825,0.835,0.8825,0.89,0.7525,0.92
"17",0.84,0.86,0.855,0.895,0.91,0.86,0.895
"18",0.845,0.91,0.8875,0.87,0.89,0.875,0.7875
"19",0.8225,0.83,0.855,0.83,0.85,0.775,0.8175
"20",0.855,0.8725,0.8525,0.8975,0.855,0.855,0.895
"21",0.865,0.8525,0.83,0.8575,0.865,0.855,0.85
"22",0.89,0.8975,0.8875,0.855,0.8475,0.97,0.845
"23",0.87,0.875,0.865,0.895,0.86,0.925,0.895
"24",0.83,0.83,0.87,0.865,0.8725,0.885,0.905
"25",0.82,0.8575,0.83,0.885,0.83,0.86,0.8525
"26",0.8675,0.84,0.84,0.89,0.91,0.895,0.8125
"27",0.8325,0.8775,0.875,0.875,0.84,0.895,0.7275
"28",0.84,0.82,0.9,0.915,0.825,0.81,0.95
"29",0.86,0.92,0.84,0.8425,0.885,0.835,0.915
"30",0.905,0.855,0.87,0.89,0.86,0.8175,0.905
"31",0.835,0.8925,0.855,0.865,0.8725,0.815,0.835
"32",0.8325,0.83,0.915,0.8,0.9,0.8425,0.835
"33",0.87,0.84,0.905,0.86,0.91,0.795,0.945
"34",0.905,0.915,0.905,0.82,0.8725,0.8475,0.89
"35",0.825,0.86,0.875,0.865,0.83,0.84,0.9075
"36",0.805,0.865,0.87,0.8425,0.85,0.95,0.765
"37",0.86,0.83,0.845,0.865,0.88,0.845,0.8375
"38",0.82,0.83,0.855,0.7975,0.84,0.87,0.81
"39",0.85,0.83,0.81,0.9,0.835,0.875,0.8475
"40",0.82,0.83,0.82,0.92,0.775,0.7425,0.875
"41",0.835,0.8525,0.8175,0.8775,0.9025,0.8,0.9
"42",0.875,0.89,0.76,0.9,0.92,0.865,0.815
"43",0.845,0.905,0.875,0.8,0.8625,0.835,0.85
"44",0.8275,0.9,0.905,0.9025,0.825,0.85,0.765
"45",0.8375,0.86,0.905,0.9,0.8875,0.87,0.885
"46",0.815,0.825,0.845,0.805,0.895,0.795,0.84
"47",0.865,0.87,0.83,0.885,0.865,0.84,0.92
"48",0.8175,0.865,0.845,0.79,0.835,0.915,0.9375
"49",0.895,0.915,0.82,0.8425,0.85,0.89,0.845
"50",0.85,0.79,0.91,0.865,0.755,0.85,0.8
"51",0.83,0.88,0.89,0.785,0.855,0.9125,0.87
"52",0.855,0.8625,0.83,0.915,0.815,0.9,0.84
"53",0.905,0.89,0.87,0.855,0.8975,0.915,0.89
"54",0.845,0.8825,0.8,0.8525,0.885,0.855,0.815
"55",0.82,0.8475,0.86,0.845,0.8725,0.86,0.97
"56",0.84,0.82,0.82,0.8975,0.8925,0.855,0.8275
"57",0.8825,0.8675,0.8225,0.82,0.855,0.86,0.855
"58",0.8325,0.8225,0.765,0.88,0.82,0.83,0.905
"59",0.865,0.8725,0.865,0.87,0.835,0.8375,0.825
"60",0.8525,0.855,0.79,0.865,0.8325,0.86,0.83
"61",0.815,0.8425,0.83,0.86,0.895,0.89,0.885
"62",0.8425,0.825,0.8125,0.895,0.895,0.9,0.905
"63",0.825,0.825,0.78,0.89,0.94,0.825,0.79
"64",0.8125,0.9075,0.8625,0.9,0.8925,0.765,0.79
"65",0.8425,0.845,0.84,0.8675,0.785,0.79,0.83
"66",0.82,0.845,0.85,0.82,0.775,0.905,0.8525
"67",0.84,0.875,0.83,0.86,0.855,0.8425,0.885
"68",0.815,0.8225,0.835,0.855,0.81,0.8325,0.885
"69",0.82,0.85,0.845,0.865,0.8625,0.84,0.845
"70",0.845,0.86,0.905,0.8475,0.8975,0.95,0.835
"71",0.875,0.915,0.825,0.83,0.815,0.845,0.9125
"72",0.7975,0.855,0.93,0.895,0.865,0.875,0.795
"73",0.89,0.8,0.89,0.85,0.84,0.895,0.7525
"74",0.815,0.885,0.8325,0.915,0.8875,0.87,0.93
"75",0.7725,0.865,0.82,0.87,0.8925,0.785,0.815
"76",0.855,0.81,0.87,0.875,0.915,0.905,0.86
"77",0.86,0.8725,0.82,0.84,0.785,0.8625,0.845
"78",0.8675,0.835,0.865,0.865,0.8125,0.905,0.76
"79",0.89,0.86,0.83,0.8475,0.91,0.86,0.89
"80",0.91,0.825,0.835,0.8825,0.8475,0.835,0.83
"81",0.86,0.855,0.84,0.765,0.955,0.885,0.885
"82",0.835,0.9025,0.895,0.905,0.8275,0.9,0.885
"83",0.8525,0.85,0.85,0.8725,0.86,0.905,0.87
"84",0.88,0.835,0.85,0.8875,0.85,0.79,0.8825
"85",0.83,0.87,0.8,0.885,0.9,0.9125,0.91
"86",0.83,0.885,0.87,0.88,0.835,0.845,0.87
"87",0.915,0.89,0.91,0.84,0.8175,0.96,0.9125
"88",0.85,0.82,0.92,0.885,0.89,0.8625,0.925
"89",0.85,0.85,0.9125,0.845,0.8025,0.85,0.92
"90",0.8225,0.9,0.88,0.945,0.855,0.92,0.765
"91",0.83,0.84,0.83,0.875,0.85,0.915,0.835
"92",0.8275,0.86,0.84,0.7625,0.8475,0.9125,0.83
"93",0.86,0.84,0.84,0.88,0.865,0.8475,0.87
"94",0.83,0.84,0.825,0.845,0.83,0.87,0.855
"95",0.81,0.835,0.92,0.865,0.885,0.855,0.725
"96",0.845,0.905,0.885,0.88,0.8225,0.8325,0.825
"97",0.8325,0.885,0.875,0.765,0.865,0.92,0.8425
"98",0.86,0.87,0.805,0.835,0.885,0.84,0.875
"99",0.865,0.89,0.835,0.835,0.925,0.875,0.85
"100",0.8075,0.885,0.83,0.875,0.875,0.83,0.8075
