"","pmiss20","pmiss25","pmiss30","pmiss35","pmiss40","pmiss45","pmiss50"
"1",0.665,0.65,0.615,0.73,0.56,0.7,0.76
"2",0.655,0.695,0.67,0.59,0.665,0.58,0.725
"3",0.69,0.67,0.605,0.635,0.575,0.52,0.545
"4",0.69,0.605,0.745,0.595,0.765,0.6,0.95
"5",0.655,0.665,0.7,0.705,0.58,0.705,0.58
"6",0.74,0.575,0.675,0.78,0.805,0.74,0.665
"7",0.665,0.69,0.545,0.72,0.66,0.64,0.585
"8",0.71,0.7,0.79,0.625,0.54,0.82,0.635
"9",0.78,0.71,0.635,0.59,0.52,0.645,0.8
"10",0.73,0.56,0.525,0.73,0.655,0.745,0.575
"11",0.69,0.635,0.705,0.565,0.585,0.65,0.835
"12",0.72,0.59,0.68,0.725,0.69,0.58,0.73
"13",0.64,0.625,0.55,0.72,0.69,0.56,0.555
"14",0.635,0.73,0.875,0.62,0.635,0.53,0.515
"15",0.63,0.605,0.805,0.585,0.745,0.67,0.48
"16",0.645,0.67,0.65,0.625,0.625,0.66,0.73
"17",0.84,0.625,0.625,0.63,0.66,0.745,0.72
"18",0.71,0.645,0.765,0.68,0.66,0.495,0.665
"19",0.64,0.64,0.645,0.605,0.765,0.585,0.605
"20",0.68,0.605,0.58,0.56,0.735,0.585,0.615
"21",0.705,0.76,0.675,0.67,0.65,0.56,0.625
"22",0.665,0.675,0.635,0.765,0.61,0.78,0.735
"23",0.6,0.595,0.735,0.74,0.52,0.67,0.725
"24",0.58,0.75,0.64,0.775,0.64,0.645,0.625
"25",0.645,0.62,0.655,0.66,0.715,0.56,0.58
"26",0.61,0.79,0.715,0.625,0.685,0.695,0.59
"27",0.63,0.58,0.835,0.74,0.745,0.645,0.62
"28",0.695,0.675,0.67,0.82,0.77,0.62,0.61
"29",0.565,0.665,0.62,0.795,0.71,0.565,0.58
"30",0.68,0.63,0.545,0.675,0.69,0.58,0.635
"31",0.73,0.58,0.69,0.675,0.64,0.665,0.73
"32",0.725,0.545,0.62,0.595,0.575,0.665,0.54
"33",0.675,0.635,0.545,0.59,0.79,0.775,0.55
"34",0.79,0.69,0.65,0.61,0.57,0.73,0.64
"35",0.665,0.81,0.665,0.67,0.605,0.575,0.68
"36",0.635,0.63,0.59,0.655,0.55,0.72,0.665
"37",0.675,0.54,0.74,0.585,0.695,0.725,0.65
"38",0.64,0.655,0.64,0.775,0.64,0.64,0.66
"39",0.71,0.615,0.715,0.8,0.585,0.71,0.655
"40",0.665,0.56,0.645,0.62,0.71,0.55,0.61
"41",0.67,0.725,0.645,0.56,0.63,0.675,0.765
"42",0.71,0.73,0.69,0.7,0.78,0.54,0.6
"43",0.655,0.645,0.66,0.635,0.585,0.67,0.61
"44",0.695,0.81,0.66,0.765,0.675,0.575,0.58
"45",0.78,0.68,0.715,0.6,0.565,0.595,0.67
"46",0.705,0.765,0.85,0.595,0.56,0.6,0.545
"47",0.72,0.755,0.605,0.535,0.455,0.705,0.705
"48",0.685,0.67,0.715,0.635,0.58,0.755,0.615
"49",0.675,0.64,0.72,0.81,0.7,0.56,0.775
"50",0.67,0.7,0.675,0.65,0.715,0.745,0.695
"51",0.705,0.635,0.645,0.7,0.59,0.665,0.685
"52",0.72,0.605,0.65,0.64,0.675,0.69,0.955
"53",0.72,0.69,0.78,0.65,0.605,0.595,0.575
"54",0.695,0.56,0.645,0.665,0.715,0.655,0.725
"55",0.675,0.685,0.55,0.705,0.655,0.65,0.79
"56",0.625,0.715,0.515,0.64,0.56,0.595,0.845
"57",0.665,0.745,0.6,0.915,0.73,0.815,0.675
"58",0.75,0.585,0.68,0.6,0.575,0.695,0.705
"59",0.66,0.675,0.655,0.685,0.69,0.71,0.53
"60",0.755,0.67,0.8,0.655,0.61,0.595,0.665
"61",0.555,0.66,0.695,0.725,0.57,0.525,0.615
"62",0.595,0.67,0.84,0.64,0.64,0.83,0.575
"63",0.78,0.8,0.68,0.68,0.755,0.645,0.65
"64",0.69,0.65,0.68,0.6,0.595,0.58,0.565
"65",0.69,0.79,0.73,0.595,0.69,0.61,0.575
"66",0.745,0.79,0.525,0.64,0.56,0.75,0.485
"67",0.74,0.74,0.625,0.58,0.67,0.625,0.755
"68",0.655,0.675,0.695,0.58,0.665,0.735,0.745
"69",0.655,0.68,0.72,0.755,0.65,0.69,0.755
"70",0.615,0.68,0.565,0.675,0.615,0.825,0.63
"71",0.77,0.655,0.57,0.535,0.53,0.73,0.8
"72",0.53,0.67,0.695,0.745,0.575,0.795,0.695
"73",0.615,0.63,0.725,0.58,0.66,0.81,0.465
"74",0.68,0.68,0.645,0.61,0.725,0.535,0.58
"75",0.685,0.64,0.73,0.74,0.675,0.66,0.615
"76",0.71,0.61,0.67,0.78,0.685,0.815,0.735
