"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"1",0.54,0.685,0.895,0.795,0.97,0.62,0.605,0.58,0.81
"2",0.68,0.75,0.665,0.775,0.705,0.72,0.62,0.92,0.9
"3",0.8,0.57,0.755,0.945,0.625,0.99,0.775,0.7,0.99
"4",0.715,0.58,0.585,0.66,0.525,0.58,0.665,0.65,0.685
"5",0.8,0.73,0.545,0.635,0.59,0.565,0.54,0.635,0.655
"6",0.68,0.495,0.645,0.715,0.585,0.745,1,0.795,0.465
"7",0.67,0.665,0.7,0.685,0.975,0.625,0.515,0.595,0.655
"8",0.58,0.63,0.98,0.87,0.605,0.69,0.785,1,0.8
"9",0.635,0.63,0.535,0.805,0.835,0.865,0.845,0.935,0.72
"10",0.66,0.73,0.995,0.71,0.81,0.685,0.99,1,0.98
"11",0.67,0.74,0.76,0.625,0.515,0.86,0.68,0.65,0.755
"12",0.66,0.82,0.68,0.7,0.99,0.7,0.62,0.865,0.585
"13",0.715,0.705,0.84,0.73,0.565,0.62,0.565,0.59,0.675
"14",0.645,0.64,0.695,0.7,0.645,0.695,0.725,0.78,0.71
"15",0.77,0.615,0.96,0.965,0.94,0.7,0.985,0.605,0.895
"16",0.71,0.62,0.815,0.775,0.945,0.7,0.56,1,0.795
"17",0.71,0.65,0.74,0.71,0.655,0.67,0.82,0.975,0.58
"18",0.545,0.725,0.74,0.785,0.6,0.82,0.845,0.785,0.815
"19",0.855,0.61,0.655,0.925,0.71,0.69,0.675,0.635,0.51
"20",0.57,0.665,0.555,0.925,0.635,0.835,0.6,0.735,0.76
"21",0.655,0.56,0.61,0.55,0.98,0.84,0.76,0.975,0.63
"22",0.64,0.56,0.575,0.685,0.64,0.865,0.585,0.8,0.61
"23",0.695,0.725,0.39,0.72,0.765,0.92,0.71,0.71,0.885
"24",0.71,0.93,0.69,0.73,0.795,0.74,0.6,0.575,0.535
"25",0.6,0.675,0.56,0.52,0.605,0.595,0.57,0.71,0.755
"26",0.655,0.655,0.49,0.79,0.635,0.615,0.72,0.79,0.855
"27",0.79,0.93,0.59,0.675,0.855,0.61,0.8,0.65,0.615
"28",0.76,0.63,0.52,0.785,0.64,0.755,0.73,0.63,0.89
"29",0.73,0.66,0.71,0.425,0.635,0.865,0.705,0.48,0.66
"30",0.845,0.7,0.665,0.75,0.715,0.71,0.615,0.575,0.81
"31",0.605,0.72,0.72,0.67,0.565,0.675,0.925,0.81,0.945
"32",0.585,0.88,0.865,0.79,0.72,0.895,0.675,0.725,1
"33",0.615,0.775,0.865,0.845,0.645,0.545,0.75,0.735,0.725
"34",0.655,0.605,0.755,0.49,0.71,0.54,0.97,0.445,0.68
"35",0.82,0.94,0.695,0.58,0.695,0.68,0.765,0.695,0.565
"36",0.505,0.735,0.56,0.665,0.66,0.98,0.84,0.885,0.835
"37",0.68,0.835,0.69,0.465,0.79,0.785,0.94,0.875,0.915
"38",0.845,0.58,0.73,0.79,0.97,0.63,0.57,1,0.64
"39",0.68,0.76,0.775,0.88,0.565,0.99,0.655,0.59,0.69
"40",0.58,0.885,0.845,0.53,0.78,0.66,0.645,0.595,0.775
"41",0.75,0.63,0.645,0.955,0.635,0.65,0.61,0.74,0.67
"42",0.61,0.78,0.7,1,0.68,0.745,0.725,0.83,0.575
"43",0.64,0.765,0.555,0.73,0.995,0.635,0.93,0.66,0.645
"44",0.635,0.505,0.855,0.845,0.75,0.8,0.625,0.975,0.81
"45",0.675,0.845,0.67,0.56,0.615,0.58,0.65,0.795,0.505
"46",0.585,0.685,0.83,0.87,0.825,0.995,0.585,0.86,0.705
"47",0.525,0.445,0.915,0.645,0.545,0.615,0.68,0.59,0.605
"48",0.785,0.715,0.965,0.56,0.735,0.855,0.66,0.96,0.815
"49",0.53,0.68,0.785,0.925,0.625,0.835,0.955,0.57,0.59
"50",0.655,0.77,0.87,0.89,0.595,0.74,0.63,0.59,0.605
"51",0.58,0.61,0.63,0.86,0.89,0.52,0.965,0.63,0.59
"52",0.53,0.74,0.555,0.575,0.925,0.715,0.535,0.56,0.78
"53",0.81,0.76,0.71,0.955,0.82,0.49,0.88,0.67,1
"54",0.555,0.565,0.715,0.925,0.815,0.575,0.735,0.585,0.595
"55",0.66,0.685,0.905,0.775,0.665,0.49,0.965,0.665,0.755
"56",0.625,0.71,0.485,0.705,0.69,0.715,0.695,0.775,0.635
"57",0.735,0.54,0.865,0.895,0.685,0.64,0.505,0.785,0.615
"58",0.56,0.575,0.87,0.87,0.7,0.67,0.615,0.67,0.7
