"","pmiss20","pmiss25","pmiss30","pmiss35","pmiss40","pmiss45","pmiss50"
"1",0.835,0.88,0.5,0.87,0.8,0.79,0.745
"2",0.47,0.77,0.94,0.865,0.605,0.69,0.77
"3",0.815,0.81,0.495,0.61,0.7,0.58,0.57
"4",0.835,0.865,0.905,0.99,0.68,0.785,0.73
"5",0.87,0.88,0.85,0.725,0.645,0.45,0.825
"6",0.72,0.88,0.65,0.735,0.815,0.71,0.97
"7",0.995,0.53,0.7,0.79,0.585,0.675,0.685
"8",0.91,0.835,0.65,0.755,0.815,0.7,0.675
"9",0.825,0.815,0.59,0.75,0.695,0.88,1
"10",0.725,0.985,1,0.715,0.585,0.47,0.895
"11",0.87,0.55,1,0.515,0.575,0.635,0.95
"12",0.905,0.8,0.825,1,0.8,0.705,0.575
"13",0.975,0.635,0.65,0.815,0.935,0.955,0.89
"14",0.92,0.52,0.85,0.99,0.82,0.76,0.725
"15",0.865,0.585,0.805,0.92,0.545,0.755,0.885
"16",0.82,0.73,0.835,0.535,0.82,0.98,0.805
"17",0.885,0.82,0.855,0.735,0.655,0.64,0.73
"18",0.82,0.575,0.91,0.845,0.755,0.98,0.865
"19",0.67,0.56,0.945,0.875,0.7,0.87,0.75
"20",0.55,0.465,0.775,0.7,0.755,0.615,0.725
"21",0.775,0.59,0.59,0.81,0.89,0.985,1
"22",0.87,1,0.655,0.625,0.82,0.585,0.63
"23",0.935,0.95,0.735,0.68,0.885,0.69,0.715
"24",1,0.855,0.74,0.655,0.595,0.75,0.585
"25",0.665,0.54,0.79,0.645,0.875,0.83,0.85
"26",0.99,0.87,0.735,0.79,0.625,0.95,0.835
"27",0.83,0.745,0.485,0.605,0.675,0.66,0.745
"28",0.905,0.93,0.795,0.855,0.45,0.54,0.76
"29",0.77,0.83,0.79,0.835,0.77,0.65,0.6
"30",0.595,0.51,0.765,0.87,0.97,0.96,0.635
"31",0.675,0.775,1,0.585,0.705,0.9,0.535
"32",0.835,0.9,0.835,0.86,0.69,0.655,0.595
"33",0.76,0.87,0.95,0.545,0.695,0.67,0.62
"34",0.695,0.905,0.65,0.545,0.62,0.69,0.65
"35",0.95,0.7,0.6,0.84,0.63,0.885,0.465
"36",0.64,0.93,0.605,0.885,0.825,0.655,0.92
"37",0.83,0.485,0.63,0.785,0.805,0.75,0.7
"38",0.995,1,0.93,0.875,0.56,1,0.82
"39",0.54,0.605,0.635,0.845,0.99,0.855,0.945
"40",0.7,0.745,0.825,0.645,0.805,0.56,0.805
"41",0.96,0.99,0.61,0.685,0.805,0.73,0.96
"42",1,0.905,0.805,0.71,0.76,0.5,0.495
"43",0.53,0.975,0.585,0.685,1,0.725,0.855
"44",0.865,0.83,0.84,0.695,0.995,0.915,0.395
"45",0.835,0.61,0.785,0.595,0.645,0.655,0.8
"46",0.8,0.675,0.835,0.83,0.785,0.71,0.62
"47",0.48,0.89,0.855,0.985,0.875,0.87,0.805
"48",0.655,0.765,0.755,0.795,0.96,0.71,0.825
"49",0.9,0.98,0.87,0.71,0.69,0.8,0.705
"50",0.825,0.79,0.745,0.7,0.61,0.73,0.56
"51",0.845,0.77,0.695,0.895,0.675,0.74,0.95
"52",0.715,0.465,0.605,0.86,0.65,0.6,0.645
"53",0.835,0.925,0.74,0.605,0.65,0.85,0.975
"54",0.855,0.81,0.765,0.605,0.59,0.805,0.68
"55",0.84,1,0.63,0.955,0.665,0.79,1
"56",0.51,0.98,0.85,0.945,0.845,0.82,0.56
"57",1,0.555,0.895,0.735,0.78,0.67,0.73
"58",0.59,0.77,0.905,0.83,0.705,0.7,0.725
"59",0.655,1,0.86,0.875,0.585,0.685,0.765
"60",0.85,0.575,0.735,0.72,0.99,1,0.74
"61",0.59,0.56,0.96,0.705,0.86,0.55,0.73
"62",0.81,0.625,0.945,0.63,0.855,0.46,0.82
"63",0.995,0.635,0.585,0.875,0.74,0.875,0.695
"64",0.875,0.965,0.95,0.865,0.595,0.73,0.715
"65",0.815,0.965,0.615,0.89,0.63,0.825,0.86
"66",0.825,1,0.705,0.945,0.615,0.48,0.69
"67",1,0.92,0.57,0.67,0.59,0.865,0.675
"68",0.825,0.645,0.85,0.605,0.635,1,0.63
"69",1,0.995,0.735,0.955,0.485,0.87,0.865
"70",0.98,0.86,0.67,0.57,0.855,0.69,0.6
"71",0.84,0.695,0.44,0.525,0.7,0.855,0.805
"72",0.79,0.415,0.495,0.665,0.515,0.97,0.815
"73",0.875,0.98,0.55,0.985,1,0.62,0.985
"74",0.75,0.805,0.855,0.73,0.615,0.705,0.905
"75",0.765,0.915,0.635,0.455,0.98,0.885,0.605
"76",0.93,0.64,0.615,0.71,0.64,0.615,0.83
"77",0.615,0.99,0.865,0.785,0.635,0.645,0.63
"78",0.82,0.78,0.65,0.815,0.655,0.71,0.995
"79",1,0.66,0.665,0.605,0.72,0.655,0.99
"80",0.865,0.82,0.535,0.49,0.64,0.99,0.685
"81",0.82,0.585,0.815,0.5,1,0.695,0.7
"82",0.955,0.86,0.65,0.87,0.535,0.785,0.955
"83",0.765,0.82,0.815,0.62,0.64,0.945,0.795
"84",0.9,0.68,0.62,0.66,0.895,0.56,0.605
"85",0.74,0.605,0.665,0.595,0.605,0.72,0.85
"86",0.83,0.73,0.535,0.84,0.605,0.675,0.805
"87",0.815,0.84,0.595,0.705,0.585,0.86,0.97
"88",0.825,0.67,0.865,0.79,0.65,0.61,0.825
"89",0.61,0.935,0.615,0.66,1,0.985,0.645
"90",0.785,0.49,0.79,0.68,0.81,0.67,0.58
"91",0.885,0.625,0.64,0.625,0.97,0.635,0.68
"92",0.885,0.865,0.455,0.63,0.54,0.76,0.635
"93",0.925,0.65,0.57,0.725,0.835,0.57,0.63
"94",0.845,1,0.845,0.665,0.995,0.775,0.625
"95",0.53,0.875,0.73,0.95,0.985,0.625,0.915
"96",0.6,0.58,0.77,0.795,0.86,0.85,0.65
"97",0.95,0.615,0.91,0.6,0.97,0.71,0.635
"98",0.715,0.6,0.66,0.85,0.55,0.66,0.585
"99",0.985,0.81,0.79,0.645,0.875,0.985,0.645
"100",0.84,0.81,0.625,0.86,0.56,0.525,0.935
