"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"1",0.64,0.77,0.875,0.895,0.935,0.955,0.915,NA,NA
"2",0.62,0.755,0.79,0.835,0.88,0.87,0.895,NA,NA
"3",0.545,0.805,0.765,0.84,0.885,0.91,0.9,NA,NA
"4",0.62,0.78,0.75,0.965,0.895,0.89,0.915,NA,NA
"5",0.63,0.775,0.845,0.655,0.93,0.94,0.92,NA,NA
"6",0.62,0.485,0.88,0.815,0.84,0.96,0.88,NA,NA
"7",0.855,0.495,0.85,0.755,0.88,0.825,0.865,NA,NA
"8",0.48,0.815,0.725,0.84,0.675,0.925,0.91,NA,NA
"9",0.715,0.77,0.87,0.845,0.895,0.855,0.865,NA,NA
"10",0.66,0.825,0.895,0.81,0.86,0.89,0.88,NA,NA
"11",0.84,0.865,0.58,0.925,0.83,0.95,0.87,NA,NA
"12",0.61,0.86,0.925,0.895,0.905,0.955,0.95,NA,NA
"13",0.495,0.775,0.85,0.915,0.85,0.925,0.925,NA,NA
"14",0.685,0.855,0.835,0.835,0.89,0.95,0.93,NA,NA
"15",0.585,0.645,0.88,0.57,0.84,0.88,0.925,NA,NA
"16",0.645,0.695,0.735,0.585,0.905,0.945,0.95,NA,NA
"17",0.72,0.56,0.865,0.85,0.91,0.91,0.905,NA,NA
"18",0.595,0.93,0.865,0.825,0.91,0.925,0.92,NA,NA
"19",0.575,0.785,0.915,0.905,0.96,0.92,0.86,NA,NA
"20",0.6,0.795,0.775,0.885,0.91,0.875,0.905,NA,NA
"21",0.92,0.88,0.825,0.935,0.89,0.9,0.925,NA,NA
"22",0.63,0.91,0.79,0.865,0.965,0.895,0.93,NA,NA
"23",0.535,0.525,0.955,0.915,0.705,0.905,0.865,NA,NA
"24",0.67,0.54,0.66,0.715,0.935,0.915,0.89,NA,NA
"25",0.67,0.525,0.77,0.9,0.845,0.875,0.905,NA,NA
"26",0.605,0.625,0.92,0.86,0.89,0.9,0.965,NA,NA
"27",0.785,0.735,0.68,0.89,0.885,0.905,0.965,NA,NA
"28",0.85,0.91,0.835,0.97,0.88,0.96,0.94,NA,NA
"29",0.57,0.58,0.92,0.935,0.83,0.92,0.88,NA,NA
"30",0.56,0.925,0.87,0.82,0.91,0.775,0.92,NA,NA
"31",0.955,0.785,0.91,0.82,0.88,0.9,0.83,NA,NA
"32",0.865,0.68,0.92,0.97,0.925,0.97,0.88,NA,NA
"33",0.575,0.715,0.895,0.89,0.8,0.855,0.895,NA,NA
"34",0.585,0.82,0.86,0.805,0.91,0.97,0.855,NA,NA
"35",0.73,0.93,0.86,0.89,0.955,0.89,0.88,NA,NA
"36",0.795,0.875,0.835,0.88,0.895,0.91,0.9,NA,NA
"37",0.595,0.67,0.89,0.785,0.865,0.865,0.875,NA,NA
"38",0.56,0.925,0.835,0.87,0.925,0.855,0.895,NA,NA
"39",0.67,0.65,0.91,0.895,0.93,0.87,0.95,NA,NA
"40",0.675,0.715,0.96,0.865,0.935,0.87,0.875,NA,NA
"41",0.72,0.8,0.865,0.915,0.92,0.975,0.86,NA,NA
"42",0.805,0.725,0.8,0.905,0.84,0.93,0.9,NA,NA
"43",0.89,0.895,0.915,0.81,0.91,0.765,0.88,NA,NA
"44",0.525,0.55,0.55,0.89,0.955,0.94,0.915,NA,NA
"45",0.6,0.725,0.64,0.71,0.885,0.91,0.94,NA,NA
"46",0.515,0.755,0.67,0.865,0.85,0.89,0.915,NA,NA
"47",0.595,0.57,0.685,0.97,0.73,0.83,0.885,NA,NA
"48",0.635,0.87,0.865,0.915,0.925,0.98,0.83,NA,NA
"49",0.75,0.865,0.895,0.905,0.895,0.85,0.925,NA,NA
"50",0.655,0.76,0.85,0.885,0.905,0.94,0.945,NA,NA
"51",0.665,0.79,0.575,0.85,0.88,0.875,0.85,NA,NA
"52",0.655,0.785,0.72,0.805,0.855,0.935,0.895,NA,NA
"53",0.575,0.905,0.825,0.845,0.875,0.83,0.925,NA,NA
"54",0.515,0.63,0.87,0.935,0.915,0.905,0.925,NA,NA
"55",0.555,0.79,0.92,0.84,0.895,0.88,0.85,NA,NA
"56",0.745,0.705,0.745,0.94,0.91,0.94,0.88,NA,NA
"57",0.755,0.68,0.84,0.855,0.895,0.865,0.905,NA,NA
"58",0.65,0.795,0.88,0.86,0.87,0.805,0.96,NA,NA
"59",0.565,0.61,0.7,0.875,0.935,0.805,0.905,NA,NA
"60",0.875,0.805,0.8,0.905,0.895,0.9,0.915,NA,NA
"61",0.6,0.545,0.8,0.815,0.925,0.83,0.925,NA,NA
"62",0.9,0.79,0.81,0.88,0.935,0.94,0.935,NA,NA
"63",0.655,0.82,0.505,0.835,0.94,0.93,0.9,NA,NA
"64",0.645,0.855,0.91,0.885,0.75,0.915,0.91,NA,NA
"65",0.745,0.925,0.87,0.875,0.86,0.895,0.885,NA,NA
"66",0.585,0.8,0.92,0.89,0.9,0.925,0.93,NA,NA
"67",0.67,0.725,0.78,0.845,0.87,0.885,0.945,NA,NA
"68",0.5,0.655,0.845,0.855,0.88,0.915,0.83,NA,NA
"69",0.555,0.755,0.81,0.945,0.875,0.89,0.945,NA,NA
"70",0.63,0.89,0.795,0.955,0.92,0.86,0.865,NA,NA
"71",0.48,0.66,0.93,0.945,0.855,0.87,0.975,NA,NA
"72",0.925,0.87,0.855,0.945,0.885,0.96,0.935,NA,NA
"73",0.62,0.77,0.945,0.79,0.855,0.875,0.935,NA,NA
"74",0.625,0.8,0.855,0.935,0.96,0.875,0.925,NA,NA
"75",0.605,0.61,0.88,0.95,0.945,0.87,0.915,NA,NA
"76",0.815,0.62,0.85,0.915,0.94,0.84,0.845,NA,NA
"77",0.685,0.535,0.81,0.915,0.815,0.855,0.845,NA,NA
"78",0.615,0.675,0.865,0.905,0.875,0.91,0.94,NA,NA
"79",0.84,0.895,0.785,0.935,0.895,0.935,0.965,NA,NA
"80",0.775,0.67,0.835,0.905,0.87,0.945,0.905,NA,NA
"81",0.74,0.89,0.83,0.88,0.84,0.89,0.885,NA,NA
"82",0.83,0.89,0.82,0.9,0.925,0.92,0.945,NA,NA
"83",0.665,0.89,0.86,0.915,0.87,0.895,0.92,NA,NA
"84",0.77,0.73,0.78,0.77,0.865,0.88,0.845,NA,NA
"85",0.65,0.55,0.87,0.9,0.935,0.765,0.97,NA,NA
"86",0.59,0.85,0.7,0.88,0.875,0.845,0.87,NA,NA
"87",0.565,0.9,0.84,0.81,0.94,0.78,0.915,NA,NA
"88",0.645,0.715,0.915,0.87,0.895,0.835,0.885,NA,NA
"89",0.72,0.855,0.56,0.95,0.92,0.94,0.86,NA,NA
"90",0.62,0.86,0.87,0.945,0.93,0.91,0.96,NA,NA
"91",0.81,0.71,0.88,0.835,0.95,0.855,0.965,NA,NA
"92",0.645,0.84,0.81,0.89,0.89,0.9,0.925,NA,NA
"93",0.585,0.9,0.81,0.925,0.895,0.845,0.92,NA,NA
"94",0.76,0.665,0.905,0.855,0.965,0.845,0.91,NA,NA
"95",0.88,0.58,0.82,0.835,0.96,0.93,0.945,NA,NA
"96",0.71,0.88,0.89,0.825,0.89,0.95,0.87,NA,NA
"97",0.705,0.81,0.995,0.89,0.9,0.905,0.9,NA,NA
"98",0.78,0.815,0.865,0.855,0.825,0.91,0.9,NA,NA
"99",0.65,0.675,0.895,0.885,0.835,0.935,0.925,NA,NA
"100",0.9,0.63,1,0.88,0.925,0.93,0.89,NA,NA
