"","pmiss20","pmiss25","pmiss30","pmiss35","pmiss40","pmiss45","pmiss50"
"1",0.94,0.935,0.93,0.87,0.91,0.92,0.87
"2",0.92,0.875,0.915,0.985,0.905,0.915,0.83
"3",0.925,0.945,0.91,0.935,0.94,0.885,0.76
"4",0.935,0.94,0.935,0.94,0.885,0.875,0.91
"5",0.92,0.955,0.91,0.915,0.9,0.975,0.92
"6",0.92,0.9,0.915,0.935,0.955,0.91,0.915
"7",0.93,0.93,0.94,0.905,0.925,0.85,0.975
"8",0.93,0.91,0.885,0.935,0.935,0.925,0.905
"9",0.925,0.935,0.915,0.935,0.89,0.96,0.915
"10",0.925,0.925,0.94,0.93,0.93,0.91,0.85
"11",0.92,0.91,0.915,0.925,0.88,0.945,0.905
"12",0.93,0.92,0.91,0.865,0.955,0.975,0.995
"13",0.935,0.925,0.95,0.88,0.9,0.955,0.865
"14",0.93,0.94,0.905,0.895,0.91,0.945,0.92
"15",0.935,0.925,0.915,0.885,0.845,0.87,0.9
"16",0.935,0.915,0.91,0.93,0.885,0.905,0.915
"17",0.925,0.93,0.925,0.895,0.98,0.885,0.92
"18",0.925,0.93,0.895,0.91,0.915,0.935,0.895
"19",0.96,0.91,0.9,0.925,0.895,0.905,0.945
"20",0.925,0.945,0.925,0.895,0.88,0.91,0.91
"21",0.905,0.92,0.88,0.91,0.85,0.895,0.895
"22",0.95,0.95,0.905,0.91,0.9,0.93,0.84
"23",0.915,0.93,0.91,0.955,0.905,0.95,0.87
"24",0.915,0.915,0.915,0.925,0.935,0.88,0.92
"25",0.915,0.93,0.925,0.945,0.915,0.9,0.845
"26",0.91,0.88,0.875,0.94,0.9,0.925,0.91
"27",0.94,0.92,0.935,0.945,0.92,0.865,0.825
"28",0.93,0.885,0.92,0.945,0.88,0.96,0.825
"29",0.945,0.925,0.88,0.88,0.845,0.935,0.905
"30",0.925,0.925,0.945,0.935,0.9,0.905,0.91
"31",0.915,0.945,0.905,0.895,0.895,0.895,0.885
"32",0.92,0.92,0.865,0.92,0.925,0.89,0.93
"33",0.94,0.935,0.905,0.925,0.85,0.87,0.895
"34",0.93,0.95,0.915,0.915,0.94,0.885,0.965
"35",0.895,0.925,0.9,0.915,0.95,0.945,0.915
"36",0.925,0.94,0.92,0.905,0.93,0.9,0.855
"37",0.93,0.93,0.885,0.915,0.88,0.92,0.905
"38",0.94,0.92,0.9,0.92,0.895,0.94,0.925
"39",0.935,0.875,0.91,0.92,0.91,0.91,0.935
"40",0.925,0.92,0.945,0.905,0.94,0.925,0.865
