"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"1",0.725,0.75,0.925,0.895,0.905,0.865,0.865,0.92,0.865
"2",0.635,0.795,0.815,0.845,0.845,0.84,0.865,0.87,0.88
"3",0.855,0.94,0.86,0.795,0.85,0.84,0.885,0.865,0.885
"4",0.695,0.795,0.825,0.82,0.9,0.895,0.85,0.875,0.885
"5",0.675,0.74,0.945,0.845,0.88,0.83,0.89,0.855,0.89
"6",0.705,0.59,0.85,0.855,0.875,0.9,0.88,0.875,0.855
"7",0.7,0.655,0.78,0.83,0.885,0.825,0.84,0.89,0.9
"8",0.895,0.63,0.815,0.87,0.785,0.845,0.93,0.905,0.885
"9",0.725,0.89,0.81,0.94,0.94,0.86,0.845,0.91,0.86
"10",0.58,0.835,0.895,0.8,0.865,0.855,0.93,0.885,0.905
"11",0.635,0.845,0.765,0.905,0.81,0.93,0.87,0.9,0.88
"12",0.685,0.89,0.89,0.9,0.875,0.825,0.925,0.9,0.88
"13",0.695,0.79,0.815,0.87,0.855,0.91,0.895,0.855,0.915
"14",0.88,0.805,0.85,0.86,0.885,0.93,0.89,0.875,0.84
"15",0.55,0.795,0.865,0.87,0.87,0.89,0.9,0.88,0.905
"16",0.54,0.79,0.81,0.805,0.885,0.825,0.86,0.88,0.875
"17",0.915,0.87,0.93,0.815,0.88,0.825,0.875,0.875,0.9
"18",0.59,0.93,0.87,0.88,0.925,0.83,0.925,0.88,0.915
"19",0.75,0.795,0.895,0.9,0.905,0.845,0.92,0.87,0.885
"20",0.855,0.73,0.77,0.855,0.83,0.865,0.84,0.875,0.905
"21",0.525,0.91,0.855,1,0.885,0.87,0.875,0.935,0.875
"22",0.94,0.855,0.805,0.915,0.875,0.895,0.89,0.88,0.875
"23",0.645,0.81,0.345,0.835,0.88,0.815,0.865,0.885,0.87
"24",0.75,0.855,0.82,0.765,0.935,0.87,0.905,0.865,0.9
"25",0.51,0.85,0.735,0.85,0.895,0.86,0.865,0.885,0.905
"26",0.66,0.57,0.805,0.82,0.86,0.915,0.89,0.88,0.9
"27",0.775,0.955,0.735,0.9,0.84,0.845,0.9,0.855,0.89
"28",0.84,0.855,0.84,0.9,0.855,0.87,0.885,0.835,0.87
"29",0.48,0.64,0.75,0.925,0.825,0.84,0.89,0.91,0.87
"30",0.57,0.835,0.875,0.86,0.885,0.865,0.915,0.87,0.88
"31",0.94,0.775,0.855,0.815,0.88,0.87,0.8,0.895,0.86
"32",0.435,0.89,0.905,0.95,0.87,0.925,0.875,0.905,0.905
"33",0.73,0.62,0.825,0.86,0.84,0.87,0.88,0.895,0.895
"34",0.915,0.82,0.81,0.805,0.855,0.935,0.84,0.845,0.9
"35",0.48,0.87,0.85,0.84,0.825,0.905,0.87,0.875,0.91
"36",0.72,0.895,0.6,0.845,0.8,0.94,0.81,0.855,0.885
"37",0.855,0.715,0.785,0.88,0.835,0.845,0.93,0.825,0.88
"38",0.58,0.82,0.85,0.86,0.88,0.82,0.88,0.86,0.89
"39",0.4,0.83,0.8,0.855,0.925,0.9,0.9,0.87,0.85
"40",0.795,0.745,0.98,0.81,0.865,0.865,0.885,0.84,0.87
"41",0.895,0.74,0.84,0.84,0.92,0.955,0.865,0.87,0.89
"42",0.84,0.79,0.77,0.93,0.825,0.86,0.865,0.905,0.87
"43",0.54,0.835,0.61,0.84,0.895,0.885,0.885,0.87,0.88
"44",0.71,0.75,0.76,0.895,0.885,0.86,0.905,0.88,0.91
"45",0.69,0.83,0.785,0.82,0.84,0.865,0.875,0.855,0.905
"46",0.68,0.875,0.84,0.86,0.86,0.86,0.87,0.865,0.86
"47",0.62,0.68,0.935,0.945,0.825,0.82,0.85,0.88,0.87
"48",0.84,0.64,0.925,0.89,0.84,0.905,0.83,0.92,0.855
"49",0.78,0.86,0.855,0.88,0.89,0.86,0.9,0.88,0.81
"50",0.675,0.825,0.82,0.91,0.9,0.885,0.86,0.87,0.855
"51",0.73,0.715,0.855,0.83,0.805,0.85,0.865,0.875,0.885
"52",0.79,0.825,0.77,0.855,0.87,0.925,0.885,0.865,0.895
"53",0.835,0.7,0.79,0.905,0.83,0.845,0.88,0.88,0.885
"54",0.795,0.885,0.87,0.94,0.93,0.875,0.855,0.915,0.88
"55",0.56,0.82,0.865,0.8,0.88,0.85,0.875,0.835,0.89
"56",0.62,0.63,0.76,0.92,0.94,0.855,0.87,0.865,0.92
"57",0.645,0.61,0.77,0.885,0.865,0.88,0.92,0.885,0.88
"58",0.655,0.8,0.89,0.775,0.875,0.875,0.9,0.83,0.88
"59",0.555,0.88,0.925,0.855,0.875,0.86,0.845,0.89,0.87
"60",0.465,0.765,0.82,0.945,0.965,0.86,0.865,0.91,0.855
"61",0.74,0.795,0.83,0.81,0.83,0.795,0.895,0.925,0.91
"62",0.86,0.9,0.735,0.89,0.905,0.84,0.885,0.895,0.88
"63",0.725,0.735,0.665,0.875,0.865,0.95,0.91,0.85,0.86
"64",0.855,0.96,0.87,0.85,0.905,0.875,0.865,0.86,0.84
"65",0.845,0.66,0.855,0.84,0.86,0.94,0.85,0.87,0.885
"66",0.355,0.77,0.865,0.89,0.845,0.855,0.885,0.895,0.89
"67",0.595,0.88,0.845,0.79,0.905,0.97,0.92,0.855,0.92
"68",0.685,0.64,0.865,0.845,0.835,0.885,0.875,0.92,0.83
"69",0.5,0.865,0.845,0.87,0.865,0.87,0.83,0.935,0.86
"70",0.795,0.915,0.85,0.93,0.87,0.845,0.825,0.87,0.895
"71",0.78,0.825,0.86,0.86,0.9,0.87,0.905,0.91,0.89
"72",0.69,0.84,0.805,0.885,0.815,0.94,0.86,0.845,0.845
"73",0.67,0.84,0.93,0.77,0.795,0.89,0.915,0.925,0.895
"74",0.66,0.735,0.86,0.925,0.875,0.885,0.87,0.895,0.925
"75",0.74,0.85,0.905,0.835,0.805,0.905,0.89,0.89,0.85
"76",0.665,0.68,0.775,0.86,0.865,0.825,0.865,0.88,0.84
"77",0.46,0.835,0.78,0.86,0.83,0.835,0.835,0.95,0.91
"78",0.72,0.54,0.935,0.845,0.815,0.89,0.87,0.86,0.895
"79",0.725,0.865,0.865,0.65,0.825,0.89,0.89,0.875,0.84
"80",0.845,0.85,0.82,0.855,0.825,0.86,0.92,0.905,0.895
"81",0.715,0.855,0.83,0.93,0.85,0.855,0.895,0.905,0.925
"82",0.775,0.825,0.885,0.86,0.895,0.945,0.925,0.915,0.85
"83",0.655,0.575,0.81,0.855,0.84,0.875,0.9,0.88,0.905
"84",0.695,0.72,0.755,0.805,0.805,0.84,0.805,0.875,0.855
"85",0.875,0.785,0.855,0.89,0.87,0.82,0.89,0.88,0.875
"86",0.61,0.81,0.755,0.905,0.875,0.825,0.855,0.89,0.85
"87",0.815,0.855,0.865,0.79,0.885,0.845,0.915,0.88,0.885
"88",0.525,0.805,0.91,0.825,0.9,0.83,0.855,0.905,0.87
"89",0.705,0.785,0.905,0.9,0.87,0.91,0.87,0.905,0.905
"90",0.645,0.89,0.795,0.845,0.89,0.845,0.94,0.925,0.91
"91",0.81,0.79,0.92,0.77,0.915,0.88,0.875,0.88,0.875
"92",0.58,0.79,0.835,0.84,0.865,0.895,0.88,0.89,0.89
"93",0.79,0.93,0.845,0.9,0.86,0.91,0.9,0.86,0.915
"94",0.9,0.78,0.785,0.85,0.93,0.875,0.845,0.86,0.88
"95",0.7,0.76,0.845,0.83,0.87,0.905,0.85,0.865,0.895
"96",0.5,0.845,0.84,0.91,0.84,0.86,0.87,0.88,0.865
"97",0.855,0.93,0.95,0.84,0.855,0.875,0.815,0.855,0.84
"98",0.765,0.855,0.94,0.865,0.895,0.865,0.835,0.875,0.845
"99",0.73,0.57,0.855,0.855,0.815,0.89,0.89,0.895,0.9
"100",0.715,0.815,0.89,0.86,0.93,0.88,0.9,0.87,0.895
