"","pmiss20","pmiss25","pmiss30","pmiss35","pmiss40","pmiss45","pmiss50"
"1",0.93,0.91,0.925,0.89,0.905,0.93,0.92
"2",0.925,0.88,0.885,0.91,0.93,0.93,0.9
"3",0.935,0.915,0.905,0.9,0.93,0.92,0.9
"4",0.92,0.92,0.92,0.92,0.865,0.885,0.915
"5",0.905,0.93,0.9,0.935,0.92,0.945,0.915
"6",0.92,0.91,0.92,0.89,0.915,0.92,0.89
"7",0.905,0.925,0.915,0.965,0.955,0.915,0.935
"8",0.91,0.93,0.89,0.96,0.92,0.905,0.88
"9",0.925,0.92,0.9,0.92,0.9,0.94,0.945
"10",0.925,0.915,0.935,0.935,0.925,0.955,0.885
"11",0.92,0.92,0.96,0.92,0.905,0.95,0.895
"12",0.905,0.925,0.92,0.92,0.955,0.9,0.915
"13",0.94,0.905,0.955,0.88,0.92,0.945,0.925
"14",0.905,0.925,0.93,0.905,0.935,0.99,0.905
"15",0.92,0.905,0.93,0.945,0.91,0.93,0.925
"16",0.945,0.895,0.9,0.95,0.92,0.875,0.945
"17",0.94,0.94,0.925,0.92,0.945,0.87,0.9
"18",0.935,0.925,0.91,0.92,0.93,0.925,0.885
"19",0.915,0.905,0.89,0.94,0.885,0.885,0.905
"20",0.905,0.93,0.905,0.915,0.88,0.93,0.95
"21",0.915,0.935,0.93,0.895,0.935,0.895,0.87
"22",0.93,0.94,0.885,0.92,0.9,0.965,0.87
"23",0.91,0.925,0.915,0.935,0.89,0.975,0.96
"24",0.9,0.895,0.935,0.9,0.915,0.9,0.925
"25",0.92,0.92,0.89,0.95,0.94,0.925,0.925
"26",0.91,0.895,0.91,0.915,0.92,0.92,0.915
"27",0.895,0.92,0.96,0.94,0.9,0.935,0.855
"28",0.905,0.885,0.915,0.945,0.905,0.93,0.95
"29",0.91,0.885,0.91,0.9,0.87,0.93,0.955
"30",0.93,0.91,0.92,0.95,0.93,0.9,0.915
"31",0.92,0.94,0.885,0.92,0.92,0.92,0.92
"32",0.91,0.915,0.91,0.93,0.915,0.91,0.895
"33",0.925,0.915,0.935,0.925,0.9,0.91,0.955
"34",0.94,0.955,0.95,0.88,0.935,0.895,0.935
"35",0.91,0.9,0.93,0.925,0.895,0.955,0.915
"36",0.92,0.92,0.94,0.905,0.9,0.94,0.87
"37",0.925,0.915,0.89,0.905,0.9,0.915,0.88
"38",0.925,0.91,0.89,0.93,0.9,0.905,0.935
"39",0.925,0.885,0.905,0.94,0.905,0.945,0.945
"40",0.91,0.92,0.91,0.91,0.915,0.925,0.885
"41",0.92,0.915,0.885,0.92,0.925,0.89,0.95
"42",0.935,0.935,0.87,0.96,0.885,0.935,0.89
"43",0.915,0.92,0.935,0.91,0.925,0.94,0.925
"44",0.905,0.935,0.94,0.93,0.895,0.92,0.915
"45",0.9,0.9,0.885,0.945,0.915,0.895,0.92
"46",0.89,0.925,0.905,0.935,0.915,0.945,0.88
"47",0.925,0.925,0.905,0.88,0.91,0.925,0.98
"48",0.92,0.915,0.925,0.9,0.9,0.925,0.94
"49",0.915,0.935,0.885,0.92,0.925,0.95,0.915
"50",0.905,0.905,0.935,0.925,0.9,0.9,0.89
"51",0.95,0.925,0.955,0.905,0.935,0.935,0.92
"52",0.91,0.935,0.93,0.95,0.9,0.94,0.905
"53",0.935,0.935,0.94,0.905,0.88,0.945,0.945
"54",0.92,0.925,0.91,0.93,0.925,0.94,0.91
"55",0.915,0.885,0.92,0.89,0.915,0.915,0.98
"56",0.93,0.9,0.91,0.955,0.91,0.89,0.875
"57",0.92,0.945,0.9,0.9,0.935,0.885,0.92
"58",0.9,0.905,0.895,0.945,0.89,0.88,0.96
"59",0.935,0.9,0.925,0.91,0.895,0.935,0.93
