"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"1",0.18,0.44,0.13,0.635,0.53,0.46,0.435,0.445,0.695
"2",0.52,0.405,0.27,0.675,0.49,0.395,0.54,0.445,0.485
"3",0.33,0.615,0.275,0.23,0.19,0.33,0.475,0.415,0.38
"4",0.355,0.3,0.46,0.59,0.225,0.255,0.62,0.45,0.62
"5",0.59,0.47,0.095,0.51,0.305,0.655,0.405,0.46,0.62
"6",0.625,0.21,0.17,0.44,0.4,0.53,0.535,0.73,0.515
"7",0.645,0.585,0.355,0.315,0.46,0.59,0.655,0.525,0.375
"8",0.42,0.295,0.245,0.46,0.5,0.495,0.7,0.14,0.49
"9",0.295,0.52,0.22,0.565,0.26,0.495,0.375,0.64,0.275
"10",0.485,0.405,0.425,0.325,0.535,0.21,0.555,0.275,0.435
"11",0.605,0.38,0.65,0.2,0.3,0.4,0.2,0.4,0.39
"12",0.5,0.32,0.515,0.335,0.67,0.57,0.45,0.635,0.395
"13",0.505,0.44,0.62,0.365,0.3,0.25,0.425,0.48,0.325
"14",0.615,0.195,0.585,0.415,0.425,0.325,0.42,0.385,0.37
"15",0.295,0.365,0.515,0.255,0.285,0.28,0.38,0.505,0.34
"16",0.6475,0.3375,0.21,0.44,0.305,0.415,0.57,0.635,0.5375
"17",0.57,0.68,0.19,0.43,0.665,0.625,0.355,0.495,0.46
"18",0.52,0.675,0.45,0.3,0.295,0.395,0.155,0.515,0.2
"19",0.34,0.61,0.335,0.66,0.3025,0.655,0.275,0.58,0.525
"20",0.3875,0.55,0.395,0.555,0.475,0.7075,0.18,0.505,0.34
"21",0.4,0.18,0.57,0.405,0.51,0.535,0.61,0.445,0.415
"22",0.525,0.51,0.535,0.615,0.26,0.41,0.845,0.79,0.1725
"23",0.515,0.41,0.4,0.645,0.75,0.69,0.43,0.665,0.69
"24",0.37,0.41,0.155,0.63,0.33,0.685,0.575,0.65,0.585
"25",0.315,0.425,0.41,0.435,0.38,0.425,0.285,0.295,0.57
"26",0.505,0.37,0.29,0.35,0.255,0.77,0.465,0.33,0.39
"27",0.35,0.26,0.7,0.6,0.575,0.36,0.37,0.62,0.525
"28",0.47,0.68,0.59,0.635,0.06,0.6,0.4,0.3875,0.545
"29",0.455,0.205,0.61,0.285,0.345,0.41,0.58,0.405,0.51
"30",0.75,0.715,0.33,0.38,0.15,0.48,0.4,0.625,0.305
"31",0.5,0.305,0.28,0.675,0.185,0.4,0.395,0.42,0.5775
"32",0.4,0.615,0.72,0.695,0.425,0.21,0.53,0.395,0.715
"33",0.325,0.47,0.54,0.555,0.43,0.18,0.355,0.425,0.815
"34",0.23,0.34,0.445,0.4,0.68,0.26,0.26,0.535,0.75
"35",0.53,0.63,0.485,0.77,0.16,0.22,0.605,0.5,0.525
"36",0.335,0.27,0.335,0.575,0.455,0.44,0.46,0.555,0.315
"37",0.57,0.475,0.635,0.455,0.405,0.25,0.635,0.525,0.535
"38",0.6,0.625,0.065,0.39,0.645,0.175,0.52,0.32,0.4575
"39",0.565,0.655,0.47,0.4,0.345,0.385,0.555,0.505,0.54
"40",0.03,0.37,0.385,0.355,0.29,0.53,0.47,0.4,0.54
