"","pmiss20","pmiss25","pmiss30","pmiss35","pmiss40","pmiss45","pmiss50"
"1",0.14,0.31,0.585,0.755,0.365,0.455,0.63
"2",0.605,0.615,0.385,0.49,0.48,0.24,0.36
"3",0.535,0.37,0.305,0.445,0.315,0.515,0.555
"4",0.325,0.5875,0.64,0.335,0.445,0.505,0.77
"5",0.5,0.455,0.475,0.555,0.41,0.635,0.49
"6",0.715,0.425,0.35,0.44,0.56,0.17,0.7
"7",0.355,0.695,0.15,0.645,0.32,0.315,0.585
"8",0.63,0.6,0.555,0.5975,0.445,0.605,0.51
"9",0.525,0.59,0.565,0.505,0.48,0.7,0.35
"10",0.625,0.57,0.595,0.36,0.415,0.69,0.14
"11",0.095,0.345,0.485,0.725,0.19,0.44,0.83
"12",0.49,0.565,0.575,0.7,0.48,0.39,0.49
"13",0.435,0.135,0.3175,0.695,0.6825,0.62,0.375
"14",0.35,0.555,0.55,0.4,0.51,0.26,0.515
"15",0.62,0.195,0.535,0.44,0.41,0.23,0.4225
"16",0.605,0.555,0.345,0.575,0.4275,0.5575,0.72
"17",0.65,0.69,0.56,0.375,0.7075,0.38,0.45
"18",0.185,0.485,0.545,0.695,0.46,0.33,0.34
"19",0.57,0.24,0.2875,0.4575,0.6,0.5,0.285
"20",0.375,0.6175,0.6,0.36,0.655,0.505,0.435
"21",0.325,0.585,0.535,0.43,0.315,0.7,0.585
"22",0.36,0.67,0.715,0.615,0.4,0.61,0.4
"23",0.53,0.455,0.645,0.64,0.415,0.425,0.485
"24",0.42,0.51,0.42,0.595,0.59,0.375,0.57
"25",0.3,0.455,0.545,0.495,0.59,0.195,0.345
"26",0.265,0.55,0.635,0.355,0.575,0.265,0.475
"27",0.24,0.775,0.41,0.7275,0.285,0.22,0.345
"28",0.42,0.26,0.265,0.8075,0.78,0.335,0.215
"29",0.295,0.375,0.305,0.36,0.65,0.545,0.68
"30",0.55,0.52,0.52,0.3675,0.54,0.29,0.575
"31",0.265,0.35,0.61,0.57,0.3,0.485,0.43
"32",0.565,0.3525,0.265,0.31,0.345,0.35,0.115
"33",0.595,0.375,0.28,0.19,0.365,0.915,0.17
"34",0.59,0.61,0.525,0.52,0.44,0.49,0.485
"35",0.555,0.53,0.485,0.425,0.38,0.65,0.66
"36",0.57,0.44,0.225,0.63,0.27,0.645,0.4425
"37",0.15,0.55,0.585,0.39,0.47,0.655,0.39
"38",0.37,0.11,0.385,0.635,0.495,0.165,0.195
"39",0.41,0.4,0.31,0.59,0.385,0.365,0.5
"40",0.565,0.305,0.5,0.34,0.41,0.43,0.365
"41",0.58,0.36,0.125,0.13,0.295,0.3,0.46
"42",0.49,0.325,0.385,0.575,0.365,0.48,0.465
"43",0.695,0.49,0.43,0.445,0.115,0.135,0.455
"44",0.625,0.69,0.38,0.745,0.71,0.23,0.11
"45",0.805,0.585,0.575,0.69,0.075,0.32,0.535
"46",0.38,0.235,0.61,0.515,0.255,0.45,0.39
"47",0.43,0.51,0.43,0.355,0.355,0.565,0.415
"48",0.615,0.16,0.22,0.185,0.395,0.635,0.275
"49",0.61,0.73,0.665,0.405,0.38,0.285,0.405
"50",0.485,0.325,0.625,0.425,0.425,0.44,0.565
"51",0.515,0.27,0.47,0.615,0.585,0.4875,0.41
"52",0.495,0.415,0.52,0.4075,0.115,0.275,0.585
"53",0.415,0.685,0.5425,0.305,0.525,0.255,0.365
"54",0.57,0.455,0.44,0.5,0.59,0.34,0.595
"55",0.16,0.515,0.18,0.53,0.215,0.585,0.515
"56",0.38,0.485,0.37,0.55,0.685,0.3,0.605
"57",0.48,0.435,0.565,0.25,0.415,0.7,0.6475
"58",0.46,0.06,0.27,0.14,0.595,0.7,0.505
"59",0.805,0.4,0.505,0.435,0.225,0.735,0.49
"60",0.555,0.285,0.62,0.465,0.23,0.475,0.415
"61",0.565,0.555,0.635,0.395,0.505,0.14,0.315
"62",0.175,0.67,0.83,0.71,0.245,0.6,0.5
"63",0.445,0.535,0.695,0.27,0.62,0.525,0.545
"64",0.58,0.605,0.33,0.445,0.33,0.395,0.255
"65",0.775,0.405,0.735,0.24,0.405,0.255,0.595
"66",0.64,0.445,0.345,0.31,0.4,0.525,0.57
"67",0.32,0.53,0.34,0.27,0.335,0.24,0.6
"68",0.49,0.555,0.59,0.18,0.465,0.65,0.48
"69",0.37,0.52,0.61,0.16,0.485,0.565,0.54
"70",0.715,0.4575,0.325,0.665,0.175,0.43,0.465
"71",0.34,0.715,0.185,0.33,0.615,0.345,0.545
"72",0.205,0.65,0.655,0.37,0.24,0.54,0.27
"73",0.505,0.59,0.725,0.3,0.46,0.7,0.14
"74",0.64,0.4225,0.475,0.38,0.405,0.475,0.68
"75",0.455,0.42,0.125,0.495,0.465,0.41,0.575
"76",0.49,0.345,0.575,0.45,0.51,0.63,0.4825
"77",0.155,0.37,0.78,0.31,0.795,0.335,0.435
"78",0.38,0.775,0.4,0.635,0.295,0.28,0.49
"79",0.595,0.335,0.47,0.3,0.395,0.4,0.68
"80",0.82,0.455,0.58,0.465,0.6,0.48,0.53
"81",0.42,0.335,0.29,0.45,0.395,0.4425,0.52
"82",0.6,0.265,0.635,0.445,0.225,0.555,0.22
"83",0.62,0.785,0.4,0.645,0.565,0.45,0.41
"84",0.505,0.385,0.4575,0.22,0.67,0.625,0.62
"85",0.62,0.525,0.325,0.65,0.475,0.365,0.555
"86",0.44,0.44,0.415,0.25,0.475,0.485,0.45
"87",0.3825,0.195,0.4275,0.57,0.415,0.48,0.29
"88",0.62,0.135,0.715,0.415,0.555,0.61,0.445
"89",0.43,0.42,0.335,0.665,0.525,0.505,0.5175
"90",0.3875,0.215,0.67,0.355,0.45,0.395,0.175
"91",0.41,0.5,0.47,0.6275,0.2,0.365,0.455
"92",0.335,0.595,0.355,0.33,0.245,0.385,0.43
"93",0.65,0.55,0.56,0.43,0.78,0.41,0.41
"94",0.565,0.5125,0.36,0.36,0.54,0.51,0.53
"95",0.405,0.33,0.37,0.605,0.2775,0.2,0.655
"96",0.56,0.47,0.375,0.525,0.48,0.34,0.515
"97",0.615,0.515,0.615,0.59,0.74,0.21,0.565
"98",0.265,0.64,0.21,0.485,0.215,0.625,0.455
"99",0.47,0.49,0.59,0.535,0.9,0.085,0.335
"100",0.53,0.285,0.26,0.265,0.47,0.64,0.435
