"","pmiss20","pmiss25","pmiss30","pmiss35","pmiss40","pmiss45","pmiss50"
"1",0.835,0.925,0.4,0.74,0.89,0.695,0.725
"2",0.665,0.7,0.74,0.48,0.675,0.395,0.82
"3",0.845,0.61,0.6225,0.54,0.58,0.65,0.45
"4",0.7325,0.72,0.84,0.945,0.645,0.785,0.68
"5",0.62,0.895,0.63,0.535,0.525,0.645,0.645
"6",0.595,0.79,0.745,0.6975,0.71,0.455,0.92
"7",0.975,0.335,0.745,0.58,0.55,0.705,0.425
"8",0.7875,0.755,0.71,0.545,0.76,0.685,0.64
"9",0.57,0.37,0.56,0.73,0.735,0.89,0.98
"10",0.745,0.9125,0.995,0.715,0.44,0.435,0.74
"11",0.95,0.765,0.84,0.625,0.49,0.49,0.74
"12",0.7025,0.71,0.675,0.945,0.705,0.435,0.68
"13",0.83,0.58,0.555,0.535,0.91,0.845,0.775
"14",0.85,0.46,0.7225,0.965,0.83,0.575,0.66
"15",0.75,0.735,0.525,0.895,0.425,0.635,0.6675
"16",0.5,0.725,0.61,0.42,0.6375,0.95,0.795
"17",0.815,0.685,0.675,0.5375,0.645,0.575,0.73
"18",0.655,0.625,0.855,0.9,0.64,0.92,0.935
"19",0.62,0.53,0.66,0.84,0.685,0.83,0.395
"20",0.715,0.605,0.625,0.66,0.625,0.53,0.42
"21",0.87,0.51,0.445,0.985,0.85,0.965,0.98
"22",0.7075,0.95,0.7,0.795,0.825,0.3275,0.475
"23",0.73,0.81,0.685,0.45,0.875,0.42,0.895
"24",0.99,0.77,0.45,0.505,0.545,0.68,0.54
"25",0.67,0.685,0.935,0.495,0.795,0.93,0.825
"26",0.93,0.72,0.675,0.69,0.6075,0.965,0.575
"27",0.87,0.74,0.65,0.675,0.435,0.715,0.84
"28",0.75,0.765,0.57,0.895,0.58,0.855,0.77
"29",0.89,0.815,0.815,0.805,0.6,0.75,0.66
"30",0.595,0.575,0.81,0.78,0.955,0.91,0.545
"31",0.745,0.455,0.9025,0.64,0.615,0.85,0.365
"32",0.66,0.78,0.445,0.86,0.5,0.76,0.305
"33",0.89,0.575,0.515,0.5,0.765,0.545,0.42
"34",0.635,0.785,0.595,0.655,0.535,0.46,0.475
"35",0.83,0.585,0.645,0.635,0.53,0.77,0.43
"36",0.695,0.8325,0.55,0.925,0.81,0.525,0.82
"37",0.7,0.545,0.545,0.62,0.655,0.535,0.545
"38",0.8875,1,0.8,0.75,0.41,0.69,0.675
"39",0.695,0.345,0.525,0.7,0.915,0.795,0.85
"40",0.6,0.505,0.635,0.63,0.93,0.68,0.655
"41",0.995,0.9025,0.785,0.625,0.52,0.57,0.875
"42",0.95,0.735,0.7275,0.615,0.45,0.595,0.495
"43",0.46,0.8375,0.545,0.635,0.935,0.54,0.93
"44",0.95,0.91,0.595,0.695,0.96,0.75,0.66
"45",0.595,0.595,0.735,0.61,0.465,0.605,0.84
"46",0.51,0.445,0.62,0.59,0.615,0.66,0.275
"47",0.515,0.74,0.91,0.9125,0.665,0.71,0.465
"48",0.71,0.465,0.95,0.695,0.895,0.775,0.735
"49",0.7275,0.85,0.77,0.52,0.795,0.475,0.765
"50",0.59,0.64,0.685,0.765,0.615,0.485,0.71
"51",0.615,0.52,0.67,0.91,0.485,0.58,0.8175
"52",0.6525,0.385,0.665,0.88,0.51,0.74,0.52
"53",0.89,0.845,0.61,0.37,0.39,0.8,0.885
"54",0.525,0.825,0.67,0.57,0.87,0.85,0.47
"55",0.77,0.955,0.735,0.95,0.705,0.625,0.995
"56",0.75,0.91,0.795,0.825,0.605,0.4425,0.355
"57",0.9075,0.66,0.88,0.5425,0.6,0.59,0.54
"58",0.57,0.68,0.865,0.84,0.695,0.64,0.635
"59",0.635,0.97,0.72,0.83,0.65,0.65,0.845
"60",0.5375,0.68,0.65,0.27,0.8575,0.9,0.73
"61",0.66,0.33,0.8975,0.61,0.61,0.655,0.51
"62",0.735,0.345,0.955,0.58,0.7775,0.51,0.735
"63",0.91,0.68,0.75,0.8225,0.81,0.69,0.815
"64",0.705,0.82,0.79,0.915,0.78,0.585,0.67
"65",0.605,0.945,0.5,0.78,0.555,0.825,0.375
"66",0.65,0.99,0.66,0.875,0.41,0.75,0.625
"67",0.945,0.7675,0.415,0.64,0.43,0.69,0.44
"68",0.6425,0.54,0.915,0.52,0.6625,1,0.76
"69",1,0.92,0.475,0.8,0.605,0.795,0.72
"70",0.9,0.615,0.81,0.59,0.955,0.41,0.58
"71",0.88,0.415,0.59,0.57,0.685,0.46,0.625
"72",0.805,0.59,0.58,0.645,0.445,0.945,0.92
"73",0.735,0.965,0.44,0.95,0.4625,0.615,0.965
"74",0.655,0.935,0.575,0.78,0.475,0.685,0.825
"75",0.645,0.895,0.67,0.605,0.795,0.85,0.33
"76",0.7075,0.665,0.51,0.805,0.45,0.68,0.7
"77",0.67,0.905,0.94,0.61,0.615,0.59,0.665
"78",0.535,0.56,0.575,0.535,0.34,0.685,0.99
"79",0.93,0.795,0.625,0.545,0.465,0.425,0.885
"80",0.46,0.59,0.4,0.61,0.705,0.945,0.37
"81",0.41,0.68,0.86,0.62,0.845,0.55,0.35
"82",0.87,0.69,0.68,0.955,0.595,0.62,0.71
"83",0.47,0.87,0.905,0.54,0.405,0.845,0.665
"84",0.8475,0.635,0.5,0.59,0.735,0.625,0.58
"85",0.525,0.705,0.535,0.415,0.68,0.6525,0.75
"86",0.64,0.685,0.59,0.865,0.725,0.625,0.785
"87",0.555,0.81,0.625,0.495,0.855,0.595,0.93
"88",0.69,0.56,0.76,0.82,0.775,0.555,0.735
"89",0.72,0.8625,0.8,0.635,0.985,0.88,0.575
