"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"1",0.75,0.515,0.86,0.835,0.365,0.52,0.95,0.88,0.735
"2",0.4625,0.675,0.44,0.57,0.73,0.76,0.595,0.675,0.685
"3",0.42,0.43,0.555,0.895,0.965,0.65,0.65,0.775,0.955
"4",0.635,0.58,0.44,0.345,0.87,0.6425,0.765,0.74,0.735
"5",0.285,0.685,0.685,0.18,0.4275,0.94,0.56,0.64,0.8
"6",0.65,0.605,0.865,0.375,0.725,0.785,0.615,0.9,0.785
"7",0.235,0.525,0.795,0.675,0.915,0.75,0.53,0.75,0.765
"8",0.465,0.89,0.945,0.485,0.37,0.495,0.82,0.8,0.89
"9",0.495,0.445,0.58,0.615,0.51,0.735,0.61,0.55,0.775
"10",0.25,0.695,0.85,0.715,0.45,0.695,0.555,0.885,0.7625
"11",0.695,0.56,0.49,1,0.685,0.65,0.66,0.805,0.845
"12",0.51,0.3075,0.76,0.69,0.735,0.615,0.585,0.605,0.65
"13",0.6,0.63,0.74,0.56,0.67,0.685,0.615,0.46,0.745
"14",0.48,0.575,0.46,0.66,0.995,0.395,0.68,0.71,0.68
"15",0.61,0.305,0.75,0.725,0.94,0.6,0.79,0.63,0.795
"16",0.395,0.545,0.565,0.69,0.5425,0.845,0.7,1,0.55
"17",0.46,0.735,0.61,0.805,0.48,0.6825,0.88,0.965,0.805
"18",0.63,0.565,0.8975,0.55,0.675,0.785,0.62,0.47,0.615
"19",0.75,0.695,0.81,0.925,0.76,0.6825,0.685,0.38,0.745
"20",0.345,0.56,0.53,0.455,0.585,0.86,0.76,0.785,0.825
"21",0.815,0.465,0.45,0.385,0.61,0.6,0.865,0.86,0.795
"22",0.22,0.625,0.285,0.85,0.3,0.73,0.735,0.77,0.77
"23",0.595,0.825,0.815,0.4125,0.965,0.815,0.605,0.9,0.745
"24",0.825,0.82,0.545,0.965,0.495,0.855,0.925,0.28,0.525
"25",0.345,0.545,0.65,0.47,0.805,0.575,0.66,0.63,0.565
"26",0.15,0.43,0.67,0.285,0.68,0.955,0.87,0.7,0.76
"27",0.565,0.495,0.545,0.725,0.735,0.7,0.58,0.675,0.74
"28",0.7,0.51,0.615,0.9,0.65,0.79,0.555,0.615,0.765
"29",0.62,0.595,0.74,0.605,0.45,0.735,0.515,0.54,0.84
"30",0.695,0.56,0.465,0.51,0.615,0.76,0.665,0.72,0.685
"31",0.465,0.49,0.59,0.52,0.55,0.705,0.91,0.975,0.945
"32",0.255,0.68,0.775,0.62,0.865,0.95,0.91,0.6,0.925
"33",0.48,0.605,0.78,0.7475,0.505,0.43,0.62,0.855,0.71
"34",0.595,0.52,0.4975,0.475,0.475,0.805,0.735,0.86,0.885
"35",0.46,0.8875,0.83,0.37,0.845,0.55,0.545,0.735,0.65
"36",0.6625,0.67,0.765,0.305,0.775,0.38,1,0.85,0.81
"37",0.415,0.545,0.455,0.59,0.585,0.545,0.745,0.75,0.7475
"38",0.635,0.765,0.685,0.855,0.86,0.28,0.62,0.54,0.85
"39",0.45,0.5,0.735,0.855,0.5,0.935,0.695,0.775,0.83
"40",0.555,0.72,0.745,0.725,0.7,0.8625,0.885,0.705,0.38
"41",0.455,0.67,0.605,1,0.615,0.565,0.775,0.735,0.815
"42",0.635,0.8,0.66,0.575,0.375,0.98,0.84,0.48,0.6
"43",0.675,0.55,0.2,0.565,0.53,0.665,0.81,0.78,0.665
"44",0.16,0.525,0.665,0.48,0.695,0.36,0.575,0.82,0.72
"45",0.315,0.85,0.38,0.69,0.94,0.67,0.735,0.89,0.68
"46",0.59,0.445,0.8,0.445,0.485,0.63,0.67,0.745,0.745
"47",0.77,0.745,0.935,0.99,0.48,0.595,0.62,0.78,0.785
"48",0.6825,0.4775,0.915,0.415,0.66,0.65,0.79,0.985,0.845
"49",0.4,0.725,0.865,0.955,0.81,0.83,0.62,0.645,0.705
"50",0.57,0.795,0.8225,0.885,0.715,0.755,0.7725,0.715,0.81
"51",0.49,0.825,0.385,0.44,0.775,0.85,0.945,0.335,0.9025
"52",0.64,0.635,0.57,0.78,0.675,0.465,0.34,0.78,0.69
"53",0.655,0.54,0.555,0.915,0.725,0.93,0.625,0.65,0.955
"54",0.56,0.605,0.76,0.535,0.75,0.64,0.83,0.875,0.56
"55",0.47,0.56,0.73,0.565,0.42,0.835,0.94,0.855,0.455
"56",0.64,0.55,0.71,0.885,0.145,0.695,0.79,0.84,0.855
"57",0.58,0.32,0.795,0.615,0.935,0.605,0.62,0.6,0.745
"58",0.225,0.605,0.875,0.635,0.46,0.84,0.705,0.96,0.98
"59",0.485,0.665,0.715,0.525,0.93,0.865,0.98,0.905,0.72
"60",0.5,0.575,0.42,0.47,0.98,0.64,0.92,0.465,0.89
"61",0.44,0.575,0.635,0.62,0.675,0.965,0.685,0.53,0.675
"62",0.565,0.57,0.79,0.735,0.365,0.605,0.54,0.86,0.675
"63",0.41,0.515,0.855,0.7,0.66,0.84,0.69,0.645,0.625
"64",0.515,0.51,0.475,0.4,0.415,0.985,0.65,0.755,0.505
"65",0.605,0.575,0.47,0.545,0.3675,0.585,0.6975,0.795,0.795
"66",0.76,0.38,0.425,0.625,0.715,0.6,0.875,0.675,0.94
"67",0.8,0.645,0.595,0.585,0.5,0.785,0.53,0.835,0.81
"68",0.525,0.6175,0.655,0.555,0.875,0.685,0.77,0.96,0.765
"69",0.375,0.565,0.375,0.575,0.78,0.935,0.6175,0.98,0.91
"70",0.535,0.195,0.66,0.62,0.79,0.585,0.865,0.94,0.625
"71",0.47,0.455,0.695,0.505,0.665,0.935,0.605,0.76,0.84
"72",0.59,0.755,0.545,0.84,0.655,0.595,0.92,0.915,0.72
"73",0.68,0.58,0.745,0.51,0.645,0.875,0.72,0.905,0.74
"74",0.4,0.465,0.525,0.41,0.58,0.82,0.725,0.69,0.475
"75",0.675,0.74,0.555,0.735,0.605,0.77,0.78,0.62,1
"76",0.83,0.52,0.3,0.39,0.755,0.8,0.565,0.61,0.94
"77",0.62,0.415,0.67,0.7375,0.73,0.465,0.915,0.72,0.83
"78",0.735,0.54,0.705,0.72,0.7625,0.25,0.605,0.4075,0.715
"79",0.605,0.27,0.675,0.57,0.79,0.59,0.55,0.735,0.735
"80",0.765,0.785,0.3725,0.74,0.745,0.77,0.77,0.65,0.75
"81",0.525,0.805,0.445,0.47,0.345,0.55,0.925,0.545,0.855
"82",0.775,0.57,0.22,0.52,0.99,0.595,0.7,0.675,0.8275
"83",0.35,0.615,0.525,0.655,0.895,0.875,0.53,0.6725,0.62
"84",0.685,0.77,0.665,0.73,0.525,0.535,0.6375,0.895,0.88
"85",0.34,0.47,0.545,0.815,0.95,0.52,0.825,0.985,0.375
"86",0.5125,0.545,0.5225,0.695,0.615,0.535,1,0.545,0.825
"87",0.665,0.535,0.575,0.205,0.58,0.67,0.935,0.76,0.41
"88",0.69,0.825,0.6,0.485,0.875,0.68,0.855,0.84,0.865
"89",0.485,0.61,0.76,0.66,0.58,0.72,0.505,0.665,0.865
"90",0.405,0.4675,0.655,0.225,0.63,0.745,0.95,0.75,0.845
"91",0.57,0.5175,0.425,0.92,0.6,0.975,0.795,0.84,0.64
"92",0.67,0.22,0.49,0.51,0.955,0.635,1,0.76,0.74
"93",0.5275,0.69,0.46,0.595,0.535,0.605,0.74,0.9175,0.755
"94",0.67,0.655,0.44,0.455,0.76,0.64,0.73,0.59,0.82
"95",0.575,0.785,0.545,0.775,0.37,0.42,0.585,0.82,0.6
"96",0.48,0.1975,0.48,0.585,0.995,0.605,0.685,0.995,0.76
"97",0.525,0.6,0.68,0.39,1,0.55,0.75,0.735,0.695
"98",0.385,0.755,0.68,0.85,0.4925,0.295,0.935,0.58,0.8
"99",0.775,0.8,0.265,0.475,0.87,0.75,0.68,0.8,0.765
"100",0.27,0.62,0.59,0.76,0.97,0.63,0.745,0.805,0.525
