"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"1",0.44,0.63,0.945,0.92,0.82,0.885,0.83,NA,NA
"2",0.255,0.63,0.675,0.7,0.77,0.695,0.775,NA,NA
"3",0.325,0.585,0.635,0.79,0.645,0.785,0.82,NA,NA
"4",0.635,0.615,0.65,0.87,0.77,0.745,0.8,NA,NA
"5",0.495,0.405,0.76,0.32,0.825,0.9,0.83,NA,NA
"6",0.615,0.49,0.8,0.6625,0.755,0.89,0.6625,NA,NA
"7",0.775,0.505,0.62,0.575,0.745,0.59,0.615,NA,NA
"8",0.41,0.625,0.73,0.69,0.46,0.91,0.69,NA,NA
"9",0.6525,0.455,0.65,0.61,0.66,0.765,0.72,NA,NA
"10",0.35,0.745,0.83,0.6525,0.77,0.85,0.745,NA,NA
"11",0.75,0.725,0.425,0.87,0.73,0.905,0.67,NA,NA
"12",0.48,0.74,0.795,0.72,0.795,0.925,0.855,NA,NA
"13",0.44,0.44,0.795,0.85,0.5625,0.825,0.82,NA,NA
"14",0.49,0.7025,0.835,0.655,0.815,0.915,0.895,NA,NA
"15",0.42,0.195,0.7,0.395,0.575,0.72,0.765,NA,NA
"16",0.585,0.365,0.66,0.535,0.79,0.87,0.85,NA,NA
"17",0.69,0.295,0.685,0.765,0.79,0.745,0.815,NA,NA
"18",0.685,0.87,0.74,0.745,0.955,0.745,0.8,NA,NA
"19",0.26,0.66,0.755,0.825,0.88,0.885,0.7175,NA,NA
"20",0.365,0.57,0.62,0.715,0.715,0.79,0.815,NA,NA
"21",0.7825,0.8,0.565,0.895,0.77,0.76,0.895,NA,NA
"22",0.56,0.72,0.69,0.715,0.915,0.845,0.8825,NA,NA
"23",0.4775,0.72,0.945,0.81,0.375,0.765,0.84,NA,NA
"24",0.75,0.31,0.39,0.52,0.815,0.84,0.82,NA,NA
"25",0.345,0.375,0.68,0.88,0.685,0.73,0.86,NA,NA
"26",0.48,0.235,0.765,0.75,0.78,0.755,0.89,NA,NA
"27",0.475,0.44,0.5125,0.775,0.815,0.78,0.93,NA,NA
"28",0.735,0.725,0.765,0.915,0.815,0.945,0.88,NA,NA
"29",0.66,0.65,0.71,0.795,0.64,0.8,0.74,NA,NA
"30",0.51,0.875,0.785,0.62,0.755,0.5425,0.97,NA,NA
"31",0.69,0.68,0.86,0.605,0.725,0.805,0.84,NA,NA
"32",0.63,0.38,0.81,0.835,0.87,0.94,0.82,NA,NA
"33",0.705,0.485,0.905,0.7525,0.605,0.855,0.8,NA,NA
"34",0.35,0.52,0.715,0.44,0.75,0.95,0.715,NA,NA
"35",0.685,0.905,0.72,0.81,0.805,0.86,0.79,NA,NA
"36",0.68,0.705,0.775,0.785,0.875,0.85,0.765,NA,NA
"37",0.705,0.435,0.78,0.65,0.735,0.74,0.77,NA,NA
"38",0.11,0.835,0.675,0.55,0.885,0.725,0.8,NA,NA
"39",0.32,0.53,0.865,0.69,0.85,0.895,0.915,NA,NA
"40",0.32,0.6475,0.825,0.63,0.81,0.75,0.945,NA,NA
"41",0.575,0.485,0.785,0.815,0.86,0.91,0.575,NA,NA
"42",0.505,0.825,0.645,0.815,0.73,0.875,0.845,NA,NA
"43",0.75,0.7125,0.935,0.8,0.785,0.69,0.695,NA,NA
"44",0.52,0.485,0.3725,0.865,0.855,0.89,0.685,NA,NA
"45",0.49,0.5,0.45,0.62,0.735,0.785,0.825,NA,NA
"46",0.415,0.65,0.46,0.7,0.78,0.76,0.79,NA,NA
"47",0.23,0.395,0.63,0.955,0.675,0.69,0.79,NA,NA
"48",0.46,0.7125,0.795,0.875,0.8,0.9,0.8775,NA,NA
"49",0.59,0.79,0.785,0.905,0.7775,0.745,0.955,NA,NA
"50",0.435,0.595,0.63,0.815,0.795,0.99,0.95,NA,NA
"51",0.4,0.585,0.115,0.74,0.84,0.7875,0.77,NA,NA
"52",0.41,0.64,0.755,0.745,0.64,0.875,0.785,NA,NA
"53",0.505,0.735,0.515,0.64,0.89,0.595,0.845,NA,NA
"54",0.295,0.38,0.585,0.86,0.82,0.7675,0.865,NA,NA
"55",0.335,0.63,0.83,0.55,0.84,0.835,0.72,NA,NA
"56",0.805,0.575,0.66,0.895,0.85,0.81,0.695,NA,NA
"57",0.75,0.4275,0.67,0.585,0.81,0.785,0.81,NA,NA
"58",0.46,0.455,0.535,0.695,0.68,0.675,0.895,NA,NA
"59",0.605,0.325,0.65,0.72,0.88,0.63,0.755,NA,NA
"60",0.76,0.68,0.555,0.9025,0.845,0.91,0.885,NA,NA
"61",0.58,0.295,0.64,0.61,0.805,0.75,0.935,NA,NA
"62",0.92,0.725,0.57,0.695,0.7925,0.925,0.85,NA,NA
"63",0.41,0.495,0.46,0.66,0.94,0.855,0.79,NA,NA
"64",0.46,0.605,0.8,0.815,0.65,0.825,0.765,NA,NA
"65",0.53,0.805,0.74,0.77,0.745,0.8,0.78,NA,NA
"66",0.52,0.57,0.79,0.75,0.82,0.81,0.835,NA,NA
"67",0.555,0.52,0.525,0.785,0.755,0.895,0.925,NA,NA
"68",0.225,0.625,0.7,0.78,0.785,0.78,0.685,NA,NA
"69",0.34,0.45,0.65,0.805,0.7025,0.7475,0.8,NA,NA
"70",0.36,0.815,0.7475,0.845,0.83,0.655,0.705,NA,NA
"71",0.545,0.31,0.895,0.795,0.715,0.8275,0.945,NA,NA
"72",0.87,0.815,0.73,0.83,0.655,0.8875,0.84,NA,NA
"73",0.11,0.415,0.9,0.765,0.685,0.695,0.905,NA,NA
"74",0.16,0.705,0.81,0.8325,0.91,0.785,0.94,NA,NA
"75",0.66,0.765,0.63,0.87,0.895,0.66,0.935,NA,NA
"76",0.71,0.355,0.68,0.735,0.8075,0.58,0.7125,NA,NA
"77",0.445,0.495,0.68,0.7925,0.6,0.7,0.6475,NA,NA
"78",0.295,0.41,0.75,0.71,0.675,0.84,0.895,NA,NA
"79",0.44,0.77,0.685,0.86,0.75,0.85,0.915,NA,NA
"80",0.645,0.515,0.67,0.78,0.85,0.89,0.85,NA,NA
"81",0.33,0.845,0.805,0.815,0.725,0.745,0.75,NA,NA
"82",0.61,0.695,0.54,0.76,0.91,0.725,0.815,NA,NA
"83",0.48,0.765,0.915,0.87,0.79,0.875,0.875,NA,NA
"84",0.54,0.655,0.585,0.625,0.615,0.84,0.75,NA,NA
"85",0.695,0.19,0.785,0.73,0.79,0.5475,0.945,NA,NA
"86",0.535,0.82,0.315,0.735,0.71,0.62,0.68,NA,NA
"87",0.335,0.67,0.615,0.575,0.87,0.625,0.855,NA,NA
"88",0.53,0.58,0.845,0.7175,0.805,0.83,0.865,NA,NA
"89",0.625,0.67,0.58,0.825,0.865,0.7225,0.625,NA,NA
"90",0.645,0.76,0.7,0.785,0.835,0.8475,0.895,NA,NA
"91",0.63,0.25,0.74,0.735,0.915,0.73,0.925,NA,NA
"92",0.6,0.71,0.68,0.8,0.8,0.79,0.92,NA,NA
"93",0.3275,0.765,0.585,0.885,0.755,0.69,0.905,NA,NA
"94",0.515,0.51,0.805,0.73,0.965,0.72,0.945,NA,NA
"95",0.64,0.395,0.67,0.7,0.825,0.91,0.87,NA,NA
"96",0.675,0.605,0.7425,0.65,0.69,0.95,0.815,NA,NA
"97",0.3875,0.645,0.8575,0.885,0.895,0.845,0.875,NA,NA
"98",0.55,0.85,0.74,0.695,0.625,0.8,0.835,NA,NA
"99",0.56,0.54,0.69,0.855,0.71,0.84,0.825,NA,NA
"100",0.83,0.495,0.995,0.735,0.73,0.875,0.77,NA,NA
