"","pmiss20","pmiss25","pmiss30","pmiss35","pmiss40","pmiss45","pmiss50"
"1",0.785,0.755,0.765,0.62,0.84,0.79,0.65
"2",0.74,0.73,0.785,0.7875,0.735,0.745,0.7625
"3",0.7575,0.775,0.7675,0.795,0.8175,0.805,0.555
"4",0.72,0.755,0.8225,0.795,0.665,0.775,0.6925
"5",0.775,0.755,0.69,0.77,0.645,0.8125,0.79
"6",0.735,0.755,0.77,0.7775,0.7225,0.68,0.7975
"7",0.73,0.725,0.755,0.795,0.725,0.7175,0.8575
"8",0.7025,0.735,0.695,0.8225,0.7925,0.805,0.685
"9",0.7375,0.6825,0.68,0.73,0.685,0.795,0.83
"10",0.735,0.785,0.7375,0.7525,0.83,0.8,0.735
"11",0.73,0.7775,0.7675,0.785,0.6675,0.7575,0.765
"12",0.67,0.7625,0.7925,0.695,0.86,0.795,0.825
"13",0.795,0.75,0.775,0.6075,0.74,0.82,0.74
"14",0.7375,0.76,0.715,0.7125,0.775,0.805,0.775
"15",0.77,0.69,0.71,0.725,0.6925,0.76,0.83
"16",0.74,0.6925,0.6125,0.7325,0.735,0.65,0.715
"17",0.7325,0.73,0.605,0.805,0.8075,0.7625,0.7475
"18",0.7525,0.795,0.73,0.7,0.815,0.775,0.645
"19",0.78,0.7575,0.735,0.785,0.68,0.72,0.7925
"20",0.7375,0.72,0.75,0.7275,0.64,0.805,0.725
"21",0.745,0.74,0.57,0.735,0.6725,0.62,0.74
"22",0.795,0.785,0.76,0.7675,0.695,0.83,0.675
"23",0.76,0.695,0.7625,0.755,0.7,0.8225,0.7175
"24",0.68,0.735,0.765,0.7975,0.7975,0.67,0.86
"25",0.73,0.75,0.775,0.79,0.8,0.785,0.655
"26",0.77,0.635,0.635,0.7725,0.755,0.7,0.84
"27",0.7625,0.73,0.7775,0.805,0.7975,0.6,0.555
"28",0.775,0.63,0.815,0.76,0.715,0.8125,0.915
"29",0.7625,0.825,0.785,0.725,0.715,0.86,0.8
"30",0.745,0.705,0.725,0.78,0.735,0.68,0.805
"31",0.72,0.83,0.595,0.765,0.81,0.735,0.7075
"32",0.7575,0.7575,0.655,0.695,0.7925,0.7175,0.7775
"33",0.765,0.76,0.7825,0.675,0.645,0.705,0.7425
"34",0.8,0.845,0.69,0.7,0.7775,0.695,0.815
"35",0.7325,0.655,0.705,0.78,0.7425,0.74,0.725
"36",0.725,0.7675,0.7125,0.745,0.7625,0.82,0.72
"37",0.705,0.78,0.67,0.67,0.825,0.6575,0.735
"38",0.755,0.7625,0.7325,0.7275,0.745,0.8125,0.835
"39",0.745,0.715,0.715,0.8,0.8175,0.77,0.7875
"40",0.7225,0.705,0.775,0.77,0.7675,0.77,0.67
"41",0.76,0.73,0.58,0.78,0.7675,0.925,0.72
"42",0.74,0.7775,0.695,0.79,0.79,0.695,0.725
"43",0.78,0.765,0.735,0.69,0.775,0.835,0.77
"44",0.77,0.7525,0.7725,0.755,0.755,0.7625,0.675
"45",0.7225,0.7775,0.825,0.8075,0.84,0.7275,0.66
"46",0.675,0.765,0.765,0.7,0.8575,0.7425,0.74
"47",0.75,0.755,0.7675,0.7275,0.76,0.715,0.835
"48",0.77,0.73,0.66,0.755,0.665,0.7575,0.715
"49",0.765,0.735,0.655,0.73,0.8,0.78,0.6375
"50",0.7825,0.6425,0.795,0.785,0.7525,0.7775,0.685
