"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"1",0.835,0.685,0.735,0.72,0.76,0.6925,0.625,0.76,0.675
"2",0.505,0.6,0.645,0.63,0.66,0.7125,0.7525,0.565,0.695
"3",0.94,0.765,0.7,0.71,0.6725,0.64,0.705,0.72,0.68
"4",0.73,0.785,0.68,0.66,0.685,0.775,0.62,0.625,0.7075
"5",0.575,0.635,0.71,0.61,0.75,0.66,0.715,0.69,0.765
"6",0.625,0.58,0.795,0.725,0.745,0.77,0.68,0.635,0.575
"7",0.695,0.595,0.795,0.615,0.575,0.685,0.6475,0.6675,0.705
"8",0.5,0.735,0.71,0.62,0.635,0.66,0.76,0.71,0.625
"9",0.5475,0.87,0.6175,0.86,0.735,0.585,0.675,0.75,0.6375
"10",0.56,0.61,0.815,0.675,0.65,0.71,0.74,0.655,0.72
"11",0.55,0.625,0.42,0.795,0.66,0.8075,0.76,0.7825,0.7025
"12",0.44,0.83,0.745,0.765,0.83,0.7425,0.82,0.725,0.7225
"13",0.665,0.525,0.8,0.79,0.685,0.8,0.7275,0.735,0.725
"14",0.82,0.565,0.77,0.635,0.77,0.8,0.695,0.63,0.6475
"15",0.74,0.44,0.695,0.65,0.655,0.7,0.7475,0.6975,0.77
"16",0.545,0.7725,0.435,0.645,0.71,0.64,0.66,0.6025,0.645
"17",0.82,0.685,0.87,0.57,0.8175,0.7375,0.7,0.655,0.775
"18",0.485,0.91,0.72,0.71,0.64,0.665,0.805,0.7575,0.73
"19",0.645,0.585,0.775,0.8425,0.775,0.7275,0.745,0.605,0.72
"20",0.86,0.465,0.55,0.755,0.6875,0.62,0.615,0.69,0.7425
"21",0.74,0.715,0.6725,0.94,0.76,0.76,0.75,0.745,0.6
"22",0.83,0.775,0.59,0.74,0.6025,0.67,0.7475,0.705,0.755
"23",0.435,0.405,0.855,0.72,0.595,0.6,0.64,0.665,0.685
"24",0.8175,0.66,0.74,0.6,0.7925,0.59,0.8125,0.6275,0.735
"25",0.335,0.765,0.535,0.785,0.735,0.62,0.69,0.72,0.7
"26",0.3,0.495,0.625,0.925,0.725,0.77,0.775,0.66,0.69
"27",0.66,0.795,0.575,0.795,0.7175,0.725,0.7125,0.6175,0.75
"28",0.845,0.6575,0.54,0.8175,0.65,0.715,0.6325,0.59,0.765
"29",0.37,0.505,0.435,0.71,0.515,0.655,0.7225,0.755,0.645
"30",0.57,0.755,0.645,0.555,0.85,0.69,0.78,0.605,0.735
"31",0.85,0.45,0.67,0.64,0.75,0.79,0.65,0.68,0.65
"32",0.705,0.795,0.67,0.81,0.74,0.725,0.68,0.8,0.7575
"33",0.505,0.665,0.71,0.615,0.66,0.71,0.705,0.67,0.6475
"34",0.805,0.66,0.595,0.705,0.815,0.735,0.655,0.735,0.715
"35",0.595,0.78,0.73,0.535,0.535,0.8,0.5775,0.52,0.75
"36",0.59,0.8,0.745,0.76,0.555,0.745,0.585,0.58,0.635
"37",0.67,0.505,0.695,0.71,0.71,0.75,0.81,0.54,0.6775
"38",0.775,0.645,0.6925,0.7425,0.68,0.785,0.71,0.605,0.7375
"39",0.54,0.695,0.7525,0.7375,0.855,0.8375,0.665,0.68,0.7075
"40",0.755,0.69,0.88,0.53,0.69,0.6675,0.7225,0.68,0.675
"41",0.79,0.635,0.635,0.725,0.81,0.82,0.7025,0.725,0.755
"42",0.675,0.485,0.445,0.755,0.6525,0.615,0.76,0.7525,0.61
"43",0.74,0.63,0.495,0.76,0.765,0.73,0.7,0.62,0.6175
"44",0.76,0.605,0.51,0.7825,0.7475,0.6575,0.86,0.685,0.755
"45",0.61,0.585,0.5825,0.64,0.56,0.7125,0.64,0.545,0.7675
"46",0.565,0.74,0.74,0.82,0.765,0.77,0.72,0.6975,0.565
"47",0.455,0.67,0.8,0.79,0.665,0.535,0.685,0.62,0.75
"48",0.6575,0.25,0.7275,0.7775,0.7275,0.74,0.64,0.74,0.615
"49",0.63,0.91,0.84,0.655,0.695,0.7375,0.795,0.715,0.7075
"50",0.415,0.61,0.6475,0.765,0.7225,0.805,0.69,0.745,0.635
"51",0.465,0.575,0.73,0.625,0.585,0.7725,0.73,0.665,0.69
"52",0.52,0.8125,0.605,0.705,0.75,0.755,0.6475,0.6825,0.77
"53",0.645,0.62,0.495,0.73,0.645,0.625,0.665,0.68,0.66
"54",0.6225,0.82,0.625,0.86,0.75,0.675,0.7225,0.7,0.72
"55",0.34,0.6775,0.85,0.645,0.695,0.595,0.745,0.535,0.795
"56",0.43,0.705,0.525,0.78,0.745,0.735,0.63,0.5325,0.7675
"57",0.61,0.34,0.555,0.7575,0.685,0.685,0.8,0.7075,0.72
"58",0.52,0.63,0.815,0.5825,0.81,0.51,0.79,0.65,0.655
"59",0.465,0.76,0.705,0.69,0.75,0.635,0.65,0.715,0.67
"60",0.625,0.625,0.715,0.85,0.7675,0.76,0.635,0.8,0.465
"61",0.36,0.67,0.73,0.68,0.61,0.61,0.74,0.715,0.77
"62",0.775,0.74,0.49,0.6975,0.69,0.655,0.705,0.69,0.7525
"63",0.495,0.48,0.665,0.68,0.7725,0.805,0.77,0.68,0.665
"64",0.77,0.815,0.805,0.67,0.75,0.7775,0.705,0.57,0.625
"65",0.7525,0.97,0.715,0.7075,0.7075,0.675,0.6,0.675,0.635
"66",0.56,0.59,0.59,0.7075,0.745,0.76,0.62,0.715,0.63
"67",0.5025,0.825,0.8075,0.635,0.7475,0.8625,0.795,0.67,0.795
"68",0.44,0.565,0.67,0.69,0.715,0.59,0.755,0.8,0.68
"69",0.58,0.82,0.6575,0.71,0.73,0.65,0.68,0.82,0.7325
"70",0.745,0.865,0.77,0.815,0.635,0.48,0.47,0.755,0.69
"71",0.51,0.635,0.695,0.6875,0.7575,0.595,0.79,0.775,0.665
"72",0.665,0.575,0.61,0.7425,0.475,0.765,0.685,0.63,0.64
"73",0.505,0.7775,0.795,0.63,0.5875,0.695,0.7525,0.8,0.7775
"74",0.685,0.345,0.62,0.7375,0.765,0.6775,0.765,0.685,0.8125
"75",0.61,0.52,0.685,0.75,0.7,0.73,0.7475,0.7,0.745
"76",0.305,0.385,0.51,0.695,0.675,0.655,0.635,0.65,0.605
"77",0.585,0.735,0.715,0.835,0.68,0.6725,0.65,0.7725,0.695
"78",0.485,0.71,0.785,0.7775,0.6,0.635,0.66,0.775,0.7175
"79",0.7,0.67,0.62,0.785,0.655,0.74,0.695,0.7275,0.7075
"80",0.745,0.735,0.59,0.685,0.555,0.705,0.715,0.745,0.765
"81",0.6575,0.645,0.56,0.775,0.76,0.68,0.79,0.76,0.78
"82",0.79,0.72,0.755,0.745,0.695,0.7925,0.785,0.7725,0.565
"83",0.425,0.805,0.695,0.74,0.675,0.65,0.795,0.71,0.7875
"84",0.685,0.47,0.42,0.54,0.505,0.6775,0.66,0.7275,0.685
"85",0.69,0.615,0.64,0.675,0.63,0.525,0.7,0.67,0.635
"86",0.41,0.495,0.415,0.69,0.6,0.605,0.605,0.7675,0.7475
"87",0.64,0.64,0.69,0.43,0.67,0.615,0.8,0.72,0.695
"88",0.55,0.65,0.78,0.485,0.785,0.655,0.715,0.655,0.665
"89",0.69,0.605,0.81,0.65,0.595,0.795,0.625,0.805,0.715
"90",0.67,0.7,0.565,0.645,0.725,0.675,0.8025,0.82,0.775
"91",0.81,0.605,0.815,0.455,0.82,0.785,0.6,0.655,0.695
"92",0.52,0.635,0.73,0.695,0.7425,0.805,0.6875,0.72,0.71
"93",0.76,0.865,0.595,0.805,0.665,0.76,0.69,0.535,0.765
"94",0.92,0.655,0.7575,0.7475,0.755,0.765,0.625,0.6975,0.6225
"95",0.585,0.745,0.68,0.6625,0.69,0.7725,0.62,0.605,0.8
"96",0.34,0.62,0.5925,0.71,0.6775,0.745,0.6925,0.71,0.69
"97",0.825,0.805,0.895,0.75,0.7,0.82,0.6625,0.635,0.63
"98",0.8,0.71,0.79,0.635,0.885,0.74,0.685,0.7425,0.56
