"","pmiss20","pmiss25","pmiss30","pmiss35","pmiss40","pmiss45","pmiss50"
"1",0.9,0.88,0.865,0.81,0.765,0.84,0.83
"2",0.815,0.89,0.73,0.825,0.8125,0.76,0.85
"3",0.81,0.77,0.76,0.865,0.79,0.775,0.785
"4",0.835,0.795,0.78,0.725,0.74,0.86,0.805
"5",0.875,0.85,0.79,0.815,0.765,0.6825,0.7675
"6",0.82,0.865,0.925,0.925,0.79,0.83,0.765
"7",0.865,0.865,0.81,0.845,0.88,0.865,0.79
"8",0.845,0.81,0.865,0.8,0.725,0.73,0.75
"9",0.805,0.83,0.735,0.905,0.85,0.72,0.795
"10",0.855,0.79,0.795,0.815,0.9,0.85,0.825
"11",0.825,0.825,0.9,0.8,0.805,0.67,0.765
"12",0.83,0.745,0.765,0.805,0.89,0.76,0.78
"13",0.865,0.855,0.91,0.72,0.775,0.78,0.885
"14",0.82,0.83,0.815,0.915,0.78,0.8,0.66
"15",0.86,0.85,0.87,0.855,0.87,0.795,0.695
"16",0.855,0.82,0.84,0.83,0.85,0.745,0.83
"17",0.81,0.88,0.7425,0.875,0.85,0.85,0.855
"18",0.82,0.91,0.85,0.825,0.81,0.86,0.755
"19",0.8,0.78,0.82,0.82,0.865,0.665,0.69
"20",0.89,0.89,0.815,0.93,0.83,0.865,0.85
"21",0.845,0.825,0.825,0.785,0.875,0.785,0.83
"22",0.82,0.7675,0.885,0.86,0.86,0.935,0.755
"23",0.87,0.9,0.825,0.88,0.7575,0.855,0.855
"24",0.865,0.81,0.79,0.885,0.88,0.915,0.715
"25",0.845,0.855,0.83,0.895,0.845,0.69,0.8
"26",0.87,0.85,0.86,0.83,0.825,0.835,0.63
"27",0.795,0.785,0.85,0.765,0.705,0.875,0.68
"28",0.885,0.84,0.895,0.815,0.795,0.705,0.82
"29",0.855,0.875,0.9,0.8,0.79,0.62,0.845
"30",0.85,0.85,0.83,0.805,0.78,0.8,0.84
"31",0.845,0.855,0.765,0.74,0.83,0.745,0.71
"32",0.8,0.9,0.89,0.76,0.855,0.835,0.815
"33",0.835,0.75,0.885,0.77,0.86,0.675,0.885
"34",0.87,0.845,0.88,0.765,0.755,0.79,0.87
"35",0.835,0.77,0.865,0.845,0.83,0.8,0.885
"36",0.86,0.795,0.83,0.88,0.755,0.835,0.69
"37",0.865,0.82,0.845,0.865,0.825,0.845,0.84
"38",0.795,0.785,0.805,0.775,0.795,0.8,0.685
"39",0.8,0.815,0.805,0.825,0.785,0.835,0.725
"40",0.82,0.87,0.735,0.93,0.7,0.6925,0.87
"41",0.815,0.835,0.86,0.885,0.79,0.875,0.725
"42",0.81,0.905,0.775,0.795,0.88,0.82,0.8125
"43",0.84,0.9,0.84,0.77,0.8,0.685,0.795
"44",0.81,0.865,0.86,0.865,0.89,0.865,0.6625
"45",0.86,0.805,0.845,0.9,0.775,0.87,0.825
"46",0.89,0.795,0.9,0.83,0.88,0.745,0.69
"47",0.845,0.88,0.865,0.845,0.81,0.77,0.915
"48",0.89,0.83,0.85,0.7225,0.7,0.89,0.92
"49",0.895,0.88,0.86,0.79,0.79,0.845,0.88
