,seq_depth,n_samples,fold,metric,method name,test statistic name,sample size,number of groups,test statistic,p-value,number of permutations
0,100000,4,18,Jaccard,PERMANOVA,pseudo-F,464,2,2.988547876261105,0.5,1
1,50000,5,12,Jaccard,PERMANOVA,pseudo-F,482,2,4.055368814476454,0.5,1
2,100000,5,16,Jaccard,PERMANOVA,pseudo-F,482,2,3.7727624184546213,0.5,1
3,100000,4,19,CTF,PERMANOVA,pseudo-F,465,2,12.795200916068575,0.5,1
4,50000,3,17,Jaccard,PERMANOVA,pseudo-F,406,2,2.856751912393742,0.5,1
5,50000,2,19,Jaccard,PERMANOVA,pseudo-F,292,2,2.054047636087538,0.5,1
6,10000,2,3,Bray-Curtis,PERMANOVA,pseudo-F,291,2,2.2552553558050326,0.5,1
7,150000,6,15,Jaccard,PERMANOVA,pseudo-F,487,2,4.106802459853938,0.5,1
8,100000,3,13,Jaccard,PERMANOVA,pseudo-F,406,2,2.565082209652221,0.5,1
9,10000,3,12,Jaccard,PERMANOVA,pseudo-F,406,2,2.89417091015282,0.5,1
10,100000,4,10,Bray-Curtis,PERMANOVA,pseudo-F,464,2,6.19257375877262,0.5,1
11,10000,5,20,Bray-Curtis,PERMANOVA,pseudo-F,482,2,6.043953740732759,0.5,1
12,50000,3,7,Jaccard,PERMANOVA,pseudo-F,406,2,2.7320856099176214,0.5,1
13,50000,5,5,CTF,PERMANOVA,pseudo-F,483,2,10.515403019879558,0.5,1
14,10000,5,17,Jaccard,PERMANOVA,pseudo-F,482,2,4.024906148094178,0.5,1
15,20000,6,15,Jaccard,PERMANOVA,pseudo-F,487,2,4.166267665154518,0.5,1
16,50000,3,1,FT-SVD,PERMANOVA,pseudo-F,407,2,14.082046985177984,0.5,1
17,50000,6,1,Bray-Curtis,PERMANOVA,pseudo-F,487,2,5.78658920864441,0.5,1
18,20000,3,9,Bray-Curtis,PERMANOVA,pseudo-F,406,2,4.903848303072021,0.5,1
19,10000,4,19,Jaccard,PERMANOVA,pseudo-F,464,2,4.38515912023192,0.5,1
20,50000,2,3,Jaccard,PERMANOVA,pseudo-F,291,2,2.0180832926187087,0.5,1
21,50000,5,9,FT-SVD,PERMANOVA,pseudo-F,483,2,16.08952227075073,0.5,1
22,100000,6,9,CTF,PERMANOVA,pseudo-F,488,2,11.308310779399845,0.5,1
23,10000,6,6,Jaccard,PERMANOVA,pseudo-F,487,2,4.178387778957956,0.5,1
24,20000,6,16,Bray-Curtis,PERMANOVA,pseudo-F,487,2,5.756153461765432,0.5,1
25,10000,4,15,CTF,PERMANOVA,pseudo-F,465,2,4.865607984123135,0.5,1
26,10000,2,10,Bray-Curtis,PERMANOVA,pseudo-F,291,2,3.283239515014271,0.5,1
27,20000,5,15,CTF,PERMANOVA,pseudo-F,483,2,8.830601542167505,0.5,1
28,100000,3,20,Bray-Curtis,PERMANOVA,pseudo-F,406,2,5.082132389581019,0.5,1
29,20000,2,7,Bray-Curtis,PERMANOVA,pseudo-F,291,2,2.5671233782365714,1.0,1
30,100000,2,13,CTF,PERMANOVA,pseudo-F,292,2,4.039606105569073,0.5,1
31,100000,3,1,Jaccard,PERMANOVA,pseudo-F,406,2,2.9383943983999203,0.5,1
32,150000,6,9,Bray-Curtis,PERMANOVA,pseudo-F,487,2,5.841995505585083,0.5,1
33,150000,3,12,FT-SVD,PERMANOVA,pseudo-F,407,2,10.779603973874135,0.5,1
34,100000,2,5,Jaccard,PERMANOVA,pseudo-F,291,2,2.2538978733912303,0.5,1
35,100000,2,2,FT-SVD,PERMANOVA,pseudo-F,292,2,8.17111777428198,0.5,1
36,50000,2,1,CTF,PERMANOVA,pseudo-F,292,2,2.6156376812464823,0.5,1
37,150000,6,9,Jaccard,PERMANOVA,pseudo-F,487,2,4.039565688297065,0.5,1
38,50000,4,9,CTF,PERMANOVA,pseudo-F,465,2,8.200553586364745,0.5,1
39,20000,2,14,Bray-Curtis,PERMANOVA,pseudo-F,292,2,3.3590650859047457,0.5,1
40,100000,4,20,Jaccard,PERMANOVA,pseudo-F,464,2,4.311388424890646,0.5,1
41,10000,3,11,CTF,PERMANOVA,pseudo-F,407,2,2.156154606194881,0.5,1
42,150000,6,20,FT-SVD,PERMANOVA,pseudo-F,488,2,16.034433257411767,0.5,1
43,10000,6,12,Bray-Curtis,PERMANOVA,pseudo-F,487,2,5.720685166969025,0.5,1
44,50000,4,11,Bray-Curtis,PERMANOVA,pseudo-F,464,2,6.206209747018935,0.5,1
45,100000,5,17,CTF,PERMANOVA,pseudo-F,483,2,11.115741545759741,0.5,1
46,150000,5,5,Jaccard,PERMANOVA,pseudo-F,482,2,3.6978854353379194,0.5,1
47,20000,2,11,CTF,PERMANOVA,pseudo-F,292,2,2.9298964667918455,0.5,1
48,50000,4,16,FT-SVD,PERMANOVA,pseudo-F,465,2,13.285194632800328,0.5,1
